date,stock_id,TaiwanStockPrice_volume,TaiwanStockPrice_turnover,TaiwanStockPrice_open,TaiwanStockPrice_high,TaiwanStockPrice_low,TaiwanStockPrice_close,TaiwanStockPrice_spread,TaiwanStockPrice_transactions,TaiwanStockInstitutionalInvestorsBuySell_buy,TaiwanStockInstitutionalInvestorsBuySell_name,TaiwanStockInstitutionalInvestorsBuySell_sell,TaiwanStockInstitutionalInvestorsBuySell_foreign,TaiwanStockInstitutionalInvestorsBuySell_investment_trust,TaiwanStockInstitutionalInvestorsBuySell_dealer,TaiwanStockInstitutionalInvestorsBuySell_dealer_self,TaiwanStockInstitutionalInvestorsBuySell_dealer_hedging
2024-09-30,1519,8229916,5338267544,668.0,677.0,628.0,629.0,-31.0,16292,31000,Investment_Trust,254000,,,,,
2024-10-01,1519,5145132,3284925804,635.0,651.0,622.0,649.0,20.0,6716,12000,Dealer_Hedging,20340,,,,,
2024-10-01,1519,5145132,3284925804,635.0,651.0,622.0,649.0,20.0,6716,33000,Investment_Trust,0,,,,,
2024-10-01,1519,5145132,3284925804,635.0,651.0,622.0,649.0,20.0,6716,17159,Dealer_self,17213,,,,,
2024-10-01,1519,5145132,3284925804,635.0,651.0,622.0,649.0,20.0,6716,0,Foreign_Dealer_Self,0,,,,,
2024-10-01,1519,5145132,3284925804,635.0,651.0,622.0,649.0,20.0,6716,1519463,Foreign_Investor,906800,,,,,
2024-10-04,1519,4272681,2704171306,644.0,646.0,624.0,631.0,-18.0,7404,0,Foreign_Dealer_Self,0,,,,,
2024-10-04,1519,4272681,2704171306,644.0,646.0,624.0,631.0,-18.0,7404,14034,Dealer_self,26229,,,,,
2024-10-04,1519,4272681,2704171306,644.0,646.0,624.0,631.0,-18.0,7404,16000,Dealer_Hedging,12000,,,,,
2024-10-04,1519,4272681,2704171306,644.0,646.0,624.0,631.0,-18.0,7404,1160101,Foreign_Investor,1611614,,,,,
