mkt_price,stock_id,date,mkt_ret_1d,mkt_ret_5d,mkt_ret_20d
50058.43,TAIEX,2025-06-25,,,
50224.51,TAIEX,2025-06-26,0.003317722909008669,,
50427.06,TAIEX,2025-06-27,0.004032891510539205,,
49791.93,TAIEX,2025-06-30,-0.01259502338625329,,
50527.22,TAIEX,2025-07-01,0.014767252444321866,,
50672.94,TAIEX,2025-07-02,0.0028839900552612985,0.012275854436505584,
51049.21,TAIEX,2025-07-03,0.007425462189484033,0.01642026970497068,
50678.19,TAIEX,2025-07-04,-0.007267889160282759,0.004980064275014406,
50415.15,TAIEX,2025-07-07,-0.0051903984731893615,0.012516486105278446,
50278.7,TAIEX,2025-07-08,-0.0027065277005028365,-0.004918536978682053,
50715.81,TAIEX,2025-07-09,0.008693741087180129,0.0008460136712018507,
51118.84,TAIEX,2025-07-10,0.007946831569879187,0.0013639780125882517,
51254.2,TAIEX,2025-07-11,0.002647947410387319,0.011366033396220221,
50982.13,TAIEX,2025-07-14,-0.005308247909439623,0.011246222613638945,
51498.65,TAIEX,2025-07-15,0.010131393097934538,0.024263753836117674,
51974.2,TAIEX,2025-07-16,0.009234222644671108,0.024812578168425192,
52160.94,TAIEX,2025-07-17,0.0035929364954150333,0.020385830351393075,
52773.96,TAIEX,2025-07-18,0.011752472252225532,0.02965142368820506,
52680.96,TAIEX,2025-07-21,-0.001762232737509195,0.033322067948122314,
51905.67,TAIEX,2025-07-22,-0.014716702201326592,0.007903508150213678,
52657.75,TAIEX,2025-07-23,0.014489361181543314,0.013151717582954747,0.051925719604070775
52799.26,TAIEX,2025-07-24,0.0026873537133660363,0.01223750952340974,0.051264810746784795
52783.23,TAIEX,2025-07-25,-0.0003036027398868324,0.0001756548115776635,0.04672431825293821
52894.49,TAIEX,2025-07-28,0.0021078664568272565,0.004053267062711141,0.0623104989101646
52418.25,TAIEX,2025-07-29,-0.009003584305283918,0.009875221724331862,0.03742596564782308
53024.7,TAIEX,2025-07-30,0.011569443848278071,0.006968584871172689,0.046410569428180004
53241.87,TAIEX,2025-07-31,0.004095638447742411,0.008382882638885425,0.04295188897144553
52997.73,TAIEX,2025-08-01,-0.00458548882674481,0.00406379071534646,0.04576998507642038
52873.7,TAIEX,2025-08-04,-0.0023402889142611905,-0.00039304661033690014,0.04876609511228258
53516.83,TAIEX,2025-08-05,0.012163514185691726,0.02095796788332316,0.06440361425414753
53036.14,TAIEX,2025-08-06,-0.008982034249786497,0.00021574850965677683,0.04575161078961387
54325.17,TAIEX,2025-08-07,0.02430474766828805,0.020346768436194873,0.06272305866095551
54367.25,TAIEX,2025-08-08,0.0007745949069279945,0.02584110677947904,0.06073746151534909
54627.86,TAIEX,2025-08-11,0.004793510799240286,0.03317641852187392,0.07150995848937658
54696.4,TAIEX,2025-08-12,0.0012546711513137243,0.02204110370513357,0.06209386071285361
55197.85,TAIEX,2025-08-13,0.009167879421680292,0.04075918798012079,0.06202404269810802
54902.49,TAIEX,2025-08-14,-0.005350933052646112,0.010627118147996661,0.05255944390572709
55122.88,TAIEX,2025-08-15,0.0040142077344762495,0.013898624631556666,0.04450907227731249
55458.79,TAIEX,2025-08-18,0.006093839799371947,0.015210736792545143,0.05272929726413489
55173.11,TAIEX,2025-08-19,-0.0051512122785224435,0.008715564461280856,0.06294957757023467
53523.93,TAIEX,2025-08-20,-0.029891010312813604,-0.030325818849828323,0.01644924061510422
54300.41,TAIEX,2025-08-21,0.014507155958092044,-0.010966351435062305,0.028431269680673665
53853.13,TAIEX,2025-08-22,-0.00823713854094299,-0.02303489948275561,0.0202696955074555
55019.08,TAIEX,2025-08-25,0.021650552159178105,-0.00792858985924505,0.04016656555342535
55085.2,TAIEX,2025-08-26,0.0012017649150075638,-0.0015933486439319022,0.05087827235743281
55573.36,TAIEX,2025-08-27,0.008861908461801127,0.03828997609106799,0.04806552418024057
54944.81,TAIEX,2025-08-28,-0.011310275282977345,0.011867313709049254,0.03198497723690008
54937.67,TAIEX,2025-08-29,-0.00012994857931070136,0.020138848011248323,0.03660420927462349
54572.57,TAIEX,2025-09-01,-0.006645713223731531,-0.008115548278888052,0.03213071905313991
54454.98,TAIEX,2025-09-02,-0.0021547455067627563,-0.011440822580293664,0.017529999441297184
54644.67,TAIEX,2025-09-03,0.003483427961960439,-0.016711064438068912,0.03032894173671008
54829.75,TAIEX,2025-09-04,0.0033869725995234745,-0.0020941013355036953,0.00928814396715194
55543.47,TAIEX,2025-09-05,0.013017020869144913,0.011027042100620665,0.021634715752590017
55664.43,TAIEX,2025-09-08,0.0021777537485503373,0.02000748727794943,0.018975116360040456
56362.76,TAIEX,2025-09-09,0.012545354367232475,0.035034077691333154,0.030465624794319135
57137.59,TAIEX,2025-09-10,0.013747197617717699,0.045620551830581,0.03514158613061924
57190.09,TAIEX,2025-09-11,0.0009188346935877778,0.043048527487358434,0.04166659836375364
57777.38,TAIEX,2025-09-12,0.010269086829553853,0.040219129269381204,0.04815604699899567
57511.37,TAIEX,2025-09-15,-0.0046040509278889585,0.03317989603055316,0.037010904853856275
58222.31,TAIEX,2025-09-16,0.012361729515398379,0.03299252910964601,0.05526605261149853
57787.89,TAIEX,2025-09-17,-0.00746140096468173,0.011381299071241857,0.0796645537799634
58542.19,TAIEX,2025-09-18,0.01305290779781032,0.023642207941970472,0.0781169055629598
58108.3,TAIEX,2025-09-19,-0.00741157787230029,0.005727500970102994,0.07901434884100533
58794.92,TAIEX,2025-09-22,0.011816212141811056,0.022318195515077965,0.06862782874595497
