date,stock_id,BadDebts,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent,Expense,GrossProfit,Income,IncomeAfterTax,IncomeAfterTaxes,IncomeBeforeTaxFromContinuingOperations,IncomeFromContinuingOperations,NetChangeInProvisionsForInsuranceLiabilities,NetInterestIncome,NetNonInterestIncome,NoncontrollingInterests,OTHNOE,OperatingExpenses,OperatingIncome,OtherComprehensiveIncome,OtherComprehensiveIncomeAfterTax,OtherComprehensiveIncomeAfterTaxThePeriod,PreTaxIncome,RealizedGain,Revenue,TAX,TotalConsolidatedProfitForThePeriod,TotalNonbusinessIncome,TotalNonoperatingIncomeAndExpense,UnrealizedGain
2025-06-30,2301,,-17268000.0,31479435000.0,1.38,3155195000.0,,8941941000.0,,,3154115000.0,,3154115000.0,,,,-1080000.0,,5215295000.0,3726646000.0,-10022620000.0,,,4262317000.0,,40421376000.0,1108202000.0,-6868505000.0,,535671000.0,
2025-06-30,2317,,-17498359000.0,1679939050000.0,3.2,44360558000.0,,113528996000.0,,,49536711000.0,,49536711000.0,,,,5176153000.0,,56932779000.0,56596217000.0,-247554459000.0,,,65149410000.0,,1793468046000.0,15612699000.0,-198017748000.0,,8553193000.0,
2025-06-30,2331,,-1575000.0,4819211000.0,-0.09,-54941000.0,,555660000.0,,,-55057000.0,,-55057000.0,,,,-116000.0,,458433000.0,97227000.0,-791633000.0,,,52755000.0,,5374871000.0,107812000.0,-846690000.0,,-44472000.0,
2025-06-30,2344,,-866839000.0,16255341000.0,-0.29,-1312433000.0,,4762616000.0,,,-1630984000.0,,-1630984000.0,,,,-318551000.0,,6057638000.0,-1295022000.0,-1943198000.0,,,-1818604000.0,,21017957000.0,-187620000.0,-3574182000.0,,-523582000.0,
2025-06-30,2356,,-25817000.0,177074625000.0,0.62,2189738000.0,,9502764000.0,,,2194406000.0,,2194406000.0,,,,4668000.0,,5867583000.0,3635181000.0,-6783182000.0,,,2912053000.0,,186577389000.0,717647000.0,-4588776000.0,,-723128000.0,
2025-06-30,2375,,,1170713000.0,0.2,21121000.0,,305546000.0,,,21121000.0,,21121000.0,,,,,,152142000.0,153404000.0,-793647000.0,,,98215000.0,,1476259000.0,77094000.0,-772526000.0,,-55189000.0,
2025-06-30,2431,,,106876000.0,-0.2,-21974000.0,,-1081000.0,,,-21974000.0,,-21974000.0,,,,,,26344000.0,-27425000.0,-71434000.0,,,-21962000.0,,105795000.0,12000.0,-93408000.0,,5463000.0,
2025-06-30,2492,,-406867000.0,7931564000.0,-0.45,-214892000.0,,1622923000.0,,,-249622000.0,,-249622000.0,,,,-34730000.0,,1067858000.0,555065000.0,-4398176000.0,,,-227046000.0,,9554487000.0,22576000.0,-4647798000.0,,-782111000.0,
2025-06-30,2753,,-44294000.0,1348316000.0,2.88,192581000.0,,759451000.0,,,183760000.0,,183760000.0,,,,-8821000.0,,518319000.0,241132000.0,-158397000.0,,,233156000.0,,2107767000.0,49396000.0,25363000.0,,-7976000.0,
2025-06-30,2812,28515000.0,,,0.37,2045478000.0,,,,2045478000.0,,2468383000.0,2045478000.0,,3159463000.0,1467733000.0,,,2130298000.0,,400101000.0,,2445579000.0,,,,422905000.0,,,,
2025-06-30,2832,,,978834000.0,0.62,,,,,,222947000.0,,222947000.0,,,,,,414851000.0,286250000.0,,-8048000.0,,285983000.0,,1679935000.0,63036000.0,214899000.0,,-267000.0,
