date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2025-06-25,1313,議借,430,1.5,7.78,2025-12-25,183
2025-06-27,1313,議借,500,1.6,7.78,2025-12-26,182
2025-07-18,1313,議借,3172,0.37,9.54,2026-01-16,182
2025-08-21,1313,議借,946,0.45,11.0,2026-02-20,183
2025-06-27,1316,競價,10,4.0,13.7,2025-12-26,182
2025-06-30,1316,競價,8,4.0,13.6,2025-12-30,183
2025-07-03,1316,競價,5,4.0,13.9,2026-01-02,183
2025-07-30,1316,競價,18,4.0,14.0,2026-01-30,184
2025-07-31,1316,議借,723,0.37,13.85,2026-01-30,183
2025-08-08,1316,競價,39,3.0,13.4,2026-02-06,182
2025-08-11,1316,議借,100,10.0,12.95,2026-02-11,184
2025-08-18,1316,競價,2,3.0,13.35,2026-02-11,177
2025-08-19,1316,議借,150,16.0,13.15,2026-02-19,184
2025-08-21,1316,競價,6,4.0,13.3,2026-02-20,183
2025-08-22,1316,議借,200,16.0,13.15,2026-02-20,182
2025-08-25,1316,競價,20,4.0,13.2,2026-02-25,184
2025-08-26,1316,競價,14,4.0,13.05,2026-02-26,184
2025-08-26,1316,議借,30,4.0,13.05,2026-02-26,184
2025-08-29,1316,議借,148,16.0,12.95,2026-02-27,182
2025-08-29,1316,議借,120,16.0,12.95,2026-02-27,182
2025-08-29,1316,議借,74,10.0,12.95,2026-02-27,182
2025-08-29,1316,議借,176,12.0,12.95,2026-02-27,182
2025-09-03,1316,競價,2,6.0,13.6,2026-03-03,181
2025-09-04,1316,競價,20,3.0,14.95,2026-03-04,181
2025-09-05,1316,議借,239,9.2,14.8,2026-03-05,181
2025-09-08,1316,競價,2,6.5,14.6,2026-03-06,179
2025-09-10,1316,議借,1063,0.41,13.95,2026-03-10,181
2025-09-10,1316,競價,1,6.0,13.95,2026-03-10,181
2025-09-12,1316,議借,4140,0.18,14.05,2026-03-12,181
2025-09-15,1316,競價,23,6.0,14.0,2026-03-13,179
2025-09-23,1316,競價,34,6.0,14.85,2026-03-23,181
2025-09-23,1316,競價,7,2.5,14.85,2026-03-23,181
2025-08-01,1414,議借,428,0.37,17.85,2026-01-30,182
2025-06-30,1419,競價,50,2.0,62.8,2025-12-30,183
2025-07-03,1419,議借,72,2.0,61.2,2026-01-02,183
2025-07-09,1419,競價,4,2.5,58.6,2026-01-09,184
2025-07-10,1419,議借,134,3.0,57.0,2026-01-09,183
