date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance
2023-07-17,6768,6,0,49011,1,1099,1094, ,0,0,0,49011,0,0,0
2023-07-18,6768,2,1,49011,1,1099,1099, ,0,0,0,49011,0,0,0
2023-07-19,6768,4,4,49011,61,1038,1099, ,0,0,0,49011,0,0,0
2023-07-20,6768,2,0,49011,0,1040,1038, ,0,0,0,49011,0,0,0
2023-07-21,6768,2,0,49011,2,1040,1040, ,0,0,0,49011,0,0,0
2023-07-24,6768,31,0,49011,3,1068,1040, ,0,0,0,49011,0,0,0
2023-07-25,6768,0,0,49011,6,1062,1068, ,0,0,0,49011,0,0,0
2023-07-26,6768,3,0,49011,2,1063,1062, ,0,0,0,49011,0,0,0
2023-07-27,6768,5,0,49011,8,1060,1063, ,0,0,0,49011,0,0,0
2023-07-28,6768,9,0,49011,8,1061,1060, ,0,0,0,49011,0,0,0
2023-07-31,6768,28,2,49011,0,1087,1061, ,0,0,0,49011,0,0,0
2023-08-01,6768,4,0,49011,0,1091,1087, ,0,0,0,49011,0,0,0
2023-08-02,6768,7,0,49011,3,1095,1091, ,0,0,0,49011,0,0,0
2023-08-04,6768,0,0,49011,1,1094,1095, ,0,0,0,49011,0,0,0
2023-08-07,6768,0,0,49011,12,1082,1094, ,0,0,0,49011,0,0,0
2023-08-08,6768,0,3,49011,1,1078,1082, ,0,0,0,49011,0,0,0
2023-08-09,6768,6,0,49011,0,1084,1078, ,0,0,0,49011,0,0,0
2023-08-10,6768,2,0,49011,6,1080,1084, ,0,0,0,49011,0,0,0
2023-08-11,6768,7,0,49011,0,1087,1080, ,0,0,0,49011,0,0,0
2023-08-14,6768,0,0,49011,21,1066,1087, ,0,0,0,49011,0,0,0
2023-08-15,6768,7,0,49011,2,1071,1066, ,0,0,0,49011,0,0,0
2023-08-16,6768,4,0,49011,17,1058,1071, ,0,0,0,49011,0,0,0
2023-08-17,6768,0,0,49011,2,1056,1058, ,0,0,0,49011,0,0,0
2023-08-18,6768,1,0,49011,0,1057,1056, ,0,0,0,49011,0,0,0
2023-08-21,6768,0,1,49011,0,1056,1057, ,0,0,0,49011,0,0,0
2023-08-22,6768,0,0,49011,0,1056,1056, ,0,0,0,49011,0,0,0
2023-08-23,6768,51,0,49011,13,1094,1056, ,0,0,0,49011,0,0,0
2023-08-24,6768,21,0,49011,0,1115,1094, ,0,0,0,49011,0,0,0
2023-08-25,6768,4,0,49011,0,1119,1115, ,0,0,0,49011,0,0,0
