date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance
2023-07-17,3037,4586,4,381285,2077,28561,26056, ,23,141,2,381285,72,576,647
2023-07-18,3037,9906,6,381285,7079,31382,28561, ,88,61,1,381285,886,1400,576
2023-07-19,3037,8048,5,381285,6569,32856,31382, ,154,108,1,381285,318,1609,1400
2023-07-20,3037,5384,3,381285,7195,31042,32856, ,77,291,1,381285,121,1438,1609
2023-07-21,3037,3836,26,381285,5047,29805,31042, ,40,343,15,381285,63,1143,1438
2023-07-24,3037,5228,1,381285,3134,31898,29805, ,30,49,0,381285,235,1329,1143
2023-07-25,3037,6766,6,381285,5898,32760,31898, ,65,153,0,381285,70,1246,1329
2023-07-26,3037,2838,2,381285,5350,30246,32760, ,63,50,0,381285,329,1525,1246
2023-07-27,3037,4035,42,381285,2686,31553,30246, ,42,421,1,381285,106,1209,1525
2023-07-28,3037,2011,13,381285,1572,31979,31553, ,19,171,0,381285,118,1156,1209
2023-07-31,3037,2130,8,381285,2984,31117,31979, ,14,305,0,381285,74,925,1156
2023-08-01,3037,1307,29,381285,944,31451,31117, ,10,72,0,381285,85,938,925
2023-08-02,3037,2710,39,381285,2528,31594,31451, ,41,328,3,381285,113,720,938
2023-08-04,3037,965,17,381285,938,31604,31594, ,12,207,0,381285,135,648,720
2023-08-07,3037,1105,4,381285,1265,31440,31604, ,4,92,1,381285,105,660,648
2023-08-08,3037,819,49,381285,634,31576,31440, ,3,43,0,381285,48,665,660
2023-08-09,3037,1528,3,381285,1770,31331,31576, ,33,55,0,381285,224,834,665
2023-08-10,3037,1833,5,381285,1548,31611,31331, ,24,289,0,381285,112,657,834
2023-08-11,3037,727,40,381285,807,31491,31611, ,3,94,0,381285,205,768,657
2023-08-14,3037,742,8,381285,1820,30405,31491, ,7,211,0,381285,120,677,768
2023-08-15,3037,969,15,381285,804,30555,30405, ,5,68,0,381285,173,782,677
2023-08-16,3037,1299,5,381285,1219,30630,30555, ,27,170,0,381285,151,763,782
2023-08-17,3037,1053,2,381285,946,30735,30630, ,14,89,0,381285,119,793,763
2023-08-18,3037,1077,15,381285,781,31016,30735, ,3,149,0,381285,164,808,793
2023-08-21,3037,373,12,381285,495,30882,31016, ,8,128,0,381285,116,796,808
2023-08-22,3037,573,19,381285,775,30661,30882, ,20,80,0,381285,118,834,796
2023-08-23,3037,387,25,381285,596,30427,30661, ,8,44,1,381285,101,890,834
2023-08-24,3037,2573,7,381285,4095,28898,30427, ,35,230,0,381285,430,1090,890
2023-08-25,3037,3891,5,381285,1179,31605,28898, ,10,374,0,381285,73,789,1090
2023-08-28,3037,1445,7,381285,788,32255,31605, ,10,128,1,381285,803,1463,789
