date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance
2023-07-17,2492,379,5,121451,377,6637,6640, ,4,6,0,121451,3,134,137
2023-07-18,2492,242,5,121451,415,6459,6637, ,5,19,0,121451,4,119,134
2023-07-19,2492,267,2,121451,127,6597,6459, ,1,5,1,121451,2,115,119
2023-07-20,2492,162,3,121451,154,6602,6597, ,1,4,0,121451,2,113,115
2023-07-21,2492,196,0,121451,126,6672,6602,X ,6,22,0,121451,1,92,113
2023-07-24,2492,219,9,121451,187,6695,6672,X ,0,92,0,121451,0,0,92
2023-07-25,2492,132,3,121451,103,6721,6695,X ,0,0,0,121451,0,0,0
2023-07-26,2492,544,3,121451,60,7202,6721,X ,0,0,0,121451,0,0,0
2023-07-27,2492,62,0,121451,141,7123,7202, ,0,0,0,121451,0,0,0
2023-07-28,2492,62,1,121451,129,7055,7123, ,24,0,0,121451,36,36,0
2023-07-31,2492,214,1,121451,72,7196,7055, ,20,9,0,121451,14,41,36
2023-08-01,2492,83,1,121451,80,7198,7196, ,1,6,0,121451,3,38,41
2023-08-02,2492,163,2,121451,42,7317,7198, ,1,6,0,121451,12,44,38
2023-08-04,2492,53,5,121451,29,7336,7317, ,0,16,0,121451,6,34,44
2023-08-07,2492,58,2,121451,69,7323,7336, ,0,1,0,121451,9,42,34
2023-08-08,2492,151,11,121451,36,7427,7323, ,1,3,0,121451,14,53,42
2023-08-09,2492,77,4,121451,71,7429,7427, ,0,4,0,121451,29,78,53
2023-08-10,2492,94,7,121451,51,7465,7429, ,0,6,0,121451,7,79,78
2023-08-11,2492,87,5,121451,140,7407,7465, ,0,6,0,121451,13,86,79
2023-08-14,2492,59,3,121451,72,7391,7407, ,0,16,0,121451,11,81,86
2023-08-15,2492,67,11,121451,28,7419,7391, ,0,7,0,121451,8,82,81
2023-08-16,2492,61,3,121451,61,7416,7419, ,1,10,0,121451,7,79,82
2023-08-17,2492,48,1,121451,181,7282,7416, ,1,11,0,121451,31,99,79
2023-08-18,2492,90,7,121451,165,7200,7282, ,3,26,0,121451,22,95,99
2023-08-21,2492,28,17,121451,92,7119,7200, ,0,2,0,121451,6,99,95
2023-08-22,2492,81,3,121451,187,7010,7119, ,0,8,0,121451,19,110,99
2023-08-23,2492,35,1,121451,46,6998,7010, ,1,6,0,121451,7,111,110
2023-08-24,2492,102,2,121451,59,7039,6998, ,1,17,0,121451,3,97,111
2023-08-25,2492,37,0,121451,34,7042,7039, ,0,5,0,121451,6,98,97
2023-08-28,2492,64,0,121451,31,7075,7042, ,0,2,0,121451,42,138,98
2023-08-29,2492,34,0,121451,49,7060,7075, ,0,14,0,121451,3,127,138
2023-08-30,2492,53,0,121451,88,7025,7060, ,0,6,0,121451,4,125,127
2023-08-31,2492,624,0,121451,272,7377,7025, ,0,8,0,121451,41,158,125
2023-09-01,2492,4185,11,121451,2213,9338,7377, ,38,41,0,121451,282,399,158
2023-09-04,2492,1695,1,121451,3373,7659,9338, ,23,54,0,121451,37,382,399
2023-09-05,2492,673,1,121451,589,7742,7659, ,11,20,0,121451,60,422,382
2023-09-06,2492,1225,3,121451,785,8179,7742, ,8,25,0,121451,22,419,422
2023-09-07,2492,1143,5,121451,947,8370,8179, ,2,67,1,121451,10,361,419
2023-09-08,2492,226,12,121451,272,8312,8370, ,6,49,0,121451,25,337,361
2023-09-11,2492,292,4,121451,289,8311,8312, ,2,88,0,121451,6,255,337
2023-09-12,2492,303,1,121451,385,8228,8311, ,0,10,0,121451,6,251,255
2023-09-13,2492,448,0,121451,190,8486,8228, ,4,9,0,121451,5,247,251
2023-09-14,2492,165,1,121451,247,8403,8486, ,1,4,0,121451,10,253,247
2023-09-15,2492,563,6,121451,408,8552,8403, ,0,8,0,121451,12,257,253
2023-09-18,2492,408,2,121451,761,8197,8552, ,0,6,0,121451,3,254,257
2023-09-19,2492,947,9,121451,497,8638,8197, ,2,16,0,121451,10,248,254
2023-09-20,2492,294,1,121451,658,8273,8638, ,1,35,1,121451,14,226,248
2023-09-21,2492,349,2,121451,676,7944,8273, ,0,79,12,121451,5,140,226
2023-09-22,2492,82,0,121451,324,7702,7944, ,0,15,0,121451,25,150,140
2023-09-25,2492,116,86,121451,61,7671,7702, ,0,1,0,121451,9,158,150
2023-09-26,2492,93,27,121451,107,7630,7671, ,0,23,0,121451,6,141,158
2023-09-27,2492,67,50,121451,97,7550,7630, ,1,3,0,121451,1,139,141
2023-09-28,2492,40,1,121451,42,7547,7550, ,0,5,0,121451,3,137,139
2023-10-02,2492,41,9,121451,93,7486,7547, ,0,2,0,121451,6,141,137
2023-10-03,2492,185,6,121451,56,7609,7486, ,0,18,0,121451,1,124,141
2023-10-04,2492,110,7,121451,106,7606,7609, ,5,18,0,121451,1,107,124
2023-10-05,2492,64,5,121451,210,7455,7606, ,0,7,0,121451,2,102,107
2023-10-06,2492,54,14,121451,31,7464,7455, ,0,1,0,121451,0,101,102
2023-10-11,2492,56,1,121451,290,7229,7464, ,0,8,0,121451,8,101,101
2023-10-12,2492,365,2,121451,606,6986,7229, ,1,3,0,121451,70,168,101
2023-10-13,2492,683,5,121451,216,7448,6986, ,3,15,0,121451,1,154,168
2023-10-16,2492,118,12,121451,472,7082,7448, ,0,1,0,121451,13,166,154
2023-10-17,2492,230,9,121451,425,6878,7082, ,1,11,0,121451,3,158,166
2023-10-18,2492,164,2,121451,120,6920,6878, ,1,27,1,121451,8,138,158
2023-10-19,2492,104,0,121451,100,6924,6920, ,1,4,0,121451,8,142,138
2023-10-20,2492,74,0,121451,134,6864,6924, ,1,9,0,121451,15,148,142
2023-10-23,2492,96,7,121451,69,6884,6864, ,1,0,0,121451,8,156,148
2023-10-24,2492,187,0,121451,231,6840,6884, ,1,11,0,121451,9,154,156
2023-10-25,2492,349,3,121451,216,6970,6840, ,1,4,0,121451,3,153,154
2023-10-26,2492,160,0,121451,206,6924,6970, ,2,23,0,121451,12,142,153
2023-10-27,2492,135,0,121451,183,6876,6924, ,0,16,0,121451,10,136,142
2023-10-30,2492,31,4,121451,120,6783,6876, ,1,0,0,121451,3,139,136
2023-10-31,2492,125,0,121451,161,6747,6783, ,1,11,0,121451,1,129,139
2023-11-01,2492,1010,0,121451,917,6840,6747, ,8,1,2,121451,131,257,129
2023-11-02,2492,1233,0,121451,1315,6758,6840, ,23,22,0,121451,318,553,257
2023-11-03,2492,1283,13,121451,1161,6867,6758, ,7,16,3,121451,117,651,553
2023-11-06,2492,683,0,121451,681,6869,6867, ,8,15,0,121451,51,687,651
