date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance
2023-07-17,2812,608,0,1253861,90,3933,3415, ,0,0,0,1253861,0,0,0
2023-07-18,2812,159,0,1253861,763,3329,3933, ,0,0,0,1253861,5,5,0
2023-07-19,2812,23,0,1253861,66,3286,3329, ,0,0,0,1253861,2,7,5
2023-07-20,2812,51,147,1253861,706,2484,3286, ,0,0,0,1253861,51,58,7
2023-07-21,2812,20,36,1253861,332,2136,2484, ,0,0,0,1253861,35,93,58
2023-07-24,2812,26,6,1253861,12,2144,2136, ,0,0,0,1253861,48,141,93
2023-07-25,2812,1,0,1253861,12,2133,2144, ,0,0,0,1253861,24,165,141
2023-07-26,2812,5,3,1253861,48,2087,2133, ,1,0,0,1253861,26,191,165
2023-07-27,2812,10,0,1253861,33,2064,2087, ,0,0,0,1253861,0,191,191
2023-07-28,2812,7,0,1253861,158,1913,2064, ,0,0,0,1253861,0,191,191
2023-07-31,2812,43,0,1253861,2,1954,1913, ,0,0,0,1253861,0,191,191
2023-08-01,2812,1,139,1253861,5,1811,1954, ,0,0,0,1253861,0,191,191
2023-08-02,2812,119,0,1253861,24,1906,1811, ,0,0,0,1253861,0,191,191
2023-08-04,2812,2,0,1253861,21,1887,1906, ,0,0,0,1253861,0,191,191
2023-08-07,2812,1,4,1253861,6,1878,1887, ,0,0,0,1253861,0,191,191
2023-08-08,2812,23,8,1253861,30,1863,1878, ,0,0,0,1253861,15,206,191
2023-08-09,2812,4,0,1253861,11,1856,1863, ,0,0,0,1253861,25,231,206
2023-08-10,2812,36,0,1253861,22,1870,1856, ,0,0,0,1253861,30,261,231
2023-08-11,2812,4,30,1253861,10,1834,1870, ,0,0,0,1253861,5,266,261
2023-08-14,2812,35,0,1253861,5,1864,1834, ,0,4,0,1253861,1,263,266
2023-08-15,2812,2,0,1253861,3,1863,1864, ,0,18,0,1253861,2,247,263
2023-08-16,2812,22,200,1253861,22,1663,1863, ,1,39,0,1253861,0,208,247
2023-08-17,2812,9,0,1306523,2,1670,1663, ,0,4,0,1306523,9,213,208
2023-08-18,2812,13,0,1306523,9,1674,1670, ,0,5,3,1306523,23,228,213
2023-08-21,2812,2,4,1306523,7,1665,1674, ,0,198,0,1306523,1,31,228
2023-08-22,2812,6,0,1306523,7,1664,1665, ,0,0,0,1306523,0,31,31
2023-08-23,2812,6,0,1306523,3,1667,1664, ,0,0,0,1306523,0,31,31
2023-08-24,2812,0,0,1306523,3,1664,1667, ,0,0,1,1306523,0,30,31
2023-08-25,2812,14,0,1306523,5,1673,1664, ,0,1,0,1306523,0,29,30
2023-08-28,2812,18,0,1306523,7,1684,1673, ,0,0,0,1306523,1,30,29
2023-08-29,2812,2,0,1306523,5,1681,1684, ,0,0,0,1306523,1,31,30
2023-08-30,2812,7,0,1306523,27,1661,1681, ,0,0,0,1306523,3,34,31
2023-08-31,2812,11,0,1306523,3,1669,1661, ,0,2,0,1306523,4,36,34
2023-09-01,2812,15,26,1306523,10,1648,1669, ,0,0,0,1306523,2,38,36
2023-09-04,2812,52,0,1306523,25,1675,1648, ,0,0,0,1306523,0,38,38
