date,stock_id,volume,turnover,open,high,low,close,spread,transactions
2024-09-19,2379,2629145,1235136498,467.0,474.0,463.5,473.0,8.0,2970
2024-09-20,2379,4792118,2258635467,476.0,478.0,468.5,470.0,-3.0,3690
2024-09-23,2379,2344615,1121794134,474.5,481.0,471.0,480.5,10.5,2609
2024-09-24,2379,1828580,874423314,480.5,482.5,472.0,481.0,0.5,2225
2024-09-25,2379,3723307,1824187379,485.0,494.5,479.0,490.0,9.0,3896
2024-09-26,2379,3079207,1516494785,487.0,495.5,487.0,491.0,1.0,4088
2024-09-27,2379,2651472,1307509100,497.0,497.0,490.0,494.0,3.0,2815
2024-09-30,2379,2919981,1400900108,488.0,489.5,471.0,471.0,-23.0,3364
2024-10-01,2379,2119158,1005312911,471.5,479.0,471.0,473.5,2.5,2687
2024-10-04,2379,3085803,1475403057,472.0,484.5,472.0,481.0,7.5,3042
2024-10-07,2379,2104374,1003670604,477.5,483.5,472.5,479.5,-1.5,2591
2024-10-08,2379,2764827,1311401453,475.0,479.0,472.0,474.0,-5.5,2649
2024-10-09,2379,2560730,1239418328,480.0,492.0,478.5,480.0,6.0,2877
2024-10-11,2379,1171450,567725066,480.0,489.0,478.0,483.5,3.5,1762
2024-10-14,2379,890833,432193018,484.0,489.5,483.0,485.0,1.5,1412
2024-10-15,2379,1248850,610767896,488.0,492.0,484.0,489.5,4.5,1567
2024-10-16,2379,3126425,1492562000,479.0,480.0,473.5,477.5,-12.0,3298
2024-10-17,2379,5501530,2578019322,475.0,478.0,463.0,467.0,-10.5,7480
2024-10-18,2379,3346055,1567787183,473.0,478.0,464.0,465.0,-2.0,3460
2024-10-21,2379,2692269,1276239756,470.5,476.0,468.5,476.0,11.0,2524
2024-10-22,2379,3372800,1619076130,477.0,483.0,474.0,481.0,5.0,2608
2024-10-23,2379,2711936,1289589575,478.0,480.5,471.5,473.5,-7.5,2980
2024-10-24,2379,4349493,2107986232,480.0,491.0,478.0,483.0,9.5,4133
2024-10-25,2379,2084231,1018939527,485.5,491.0,484.0,489.5,6.5,2399
2024-10-28,2379,1311909,636203714,488.5,490.5,481.5,483.0,-6.5,1912
2024-10-29,2379,2004515,966090751,481.0,486.0,476.5,484.0,1.0,2725
2024-10-30,2379,1536394,740755848,487.0,487.5,478.5,478.5,-5.5,2230
2024-11-01,2379,4431957,2106425014,453.0,489.0,452.0,486.0,7.5,4213
2024-11-04,2379,1902767,916364347,484.5,487.0,474.0,482.5,-3.5,2028
2024-11-05,2379,1398132,671374459,482.0,484.5,477.0,479.5,-3.0,1705
2024-11-06,2379,2532232,1247697602,483.0,498.0,480.0,491.0,11.5,2819
2024-11-07,2379,1748823,862654867,485.0,498.5,485.0,495.0,4.0,2132
2024-11-08,2379,2061144,1032013740,494.0,505.0,494.0,500.0,5.0,2666
2024-11-11,2379,1228505,609180765,497.0,502.0,492.0,499.0,-1.0,1646
2024-11-12,2379,2249202,1116782363,491.5,506.0,490.0,490.0,-9.0,4149
2024-11-13,2379,1602858,794540314,489.0,499.0,489.0,495.0,5.0,1801
2024-11-14,2379,2395173,1173853243,494.0,495.5,485.0,487.0,-8.0,2447
2024-11-15,2379,1620518,797334648,488.0,501.0,487.5,488.0,1.0,3364
2024-11-18,2379,3182870,1579977882,489.0,501.0,488.0,497.0,9.0,3435
2024-11-19,2379,5145978,2596408412,499.0,510.0,496.5,503.0,6.0,4414
2024-11-20,2379,4203226,2099119639,502.0,505.0,496.0,496.0,-7.0,3331
2024-11-21,2379,3760078,1887281958,494.0,508.0,493.5,500.0,4.0,2992
2024-11-22,2379,3819550,1876830754,506.0,506.0,484.5,484.5,-15.5,10436
2024-11-25,2379,2644530,1297224091,490.0,497.0,488.0,488.0,3.5,2084
2024-11-26,2379,2025404,983083472,486.0,495.0,481.5,481.5,-6.5,2712
2024-11-27,2379,1386215,665762595,485.0,485.0,477.5,477.5,-4.0,1897
2024-11-28,2379,2085601,986443422,480.0,480.0,468.5,471.5,-6.0,2700
2024-11-29,2379,2105815,1002142801,472.0,480.5,468.0,476.0,4.5,1893
2024-12-02,2379,1564914,768254465,479.5,497.5,479.5,492.0,16.0,2193
2024-12-03,2379,1811608,897832946,499.0,504.0,489.0,490.0,-2.0,3459
2024-12-04,2379,2745548,1387266670,490.5,511.0,490.5,508.0,18.0,3635
2024-12-05,2379,1538755,790200887,508.0,516.0,507.0,513.0,5.0,2436
2024-12-06,2379,5624284,2972919712,519.0,537.0,517.0,524.0,11.0,7248
2024-12-09,2379,3681780,1938321884,528.0,534.0,518.0,519.0,-5.0,5069
2024-12-10,2379,3187655,1668266712,520.0,528.0,518.0,521.0,2.0,3620
2024-12-11,2379,3796610,2004292916,516.0,537.0,516.0,527.0,6.0,3771
2024-12-12,2379,2890895,1527446134,527.0,534.0,525.0,525.0,-2.0,3413
2024-12-13,2379,1909519,1014678211,522.0,535.0,522.0,534.0,9.0,2517
2024-12-16,2379,3172849,1702122125,530.0,544.0,529.0,533.0,-1.0,3774
2024-12-17,2379,4703088,2568528122,537.0,554.0,535.0,545.0,12.0,6278
2024-12-18,2379,2267956,1229081207,539.0,550.0,534.0,548.0,3.0,3194
2024-12-19,2379,2658845,1421897730,539.0,542.0,529.0,535.0,-13.0,4607
2024-12-20,2379,3115147,1663390069,532.0,545.0,529.0,529.0,-6.0,3096
2024-12-23,2379,1516550,815611256,539.0,542.0,535.0,537.0,8.0,1675
2024-12-24,2379,985542,525556502,541.0,542.0,530.0,532.0,-5.0,1500
2024-12-25,2379,666315,354636214,534.0,535.0,526.0,535.0,3.0,1356
2024-12-26,2379,1962247,1074523400,538.0,553.0,536.0,553.0,18.0,2908
2024-12-27,2379,1866941,1041743763,552.0,565.0,548.0,558.0,5.0,2973
2024-12-30,2379,3300295,1857085769,561.0,568.0,554.0,564.0,6.0,4064
2024-12-31,2379,5525767,3120840377,557.0,568.0,551.0,568.0,4.0,4500
2025-01-02,2379,4217125,2295678831,563.0,564.0,536.0,545.0,-23.0,16910
2025-01-03,2379,2938621,1579466270,549.0,552.0,533.0,537.0,-8.0,6560
2025-01-06,2379,2071254,1116375051,539.0,545.0,536.0,540.0,3.0,2603
2025-01-07,2379,2333173,1265388788,540.0,547.0,537.0,543.0,3.0,2961
2025-01-08,2379,2193132,1185712631,543.0,547.0,537.0,540.0,-3.0,2115
2025-01-09,2379,3124283,1667649033,538.0,543.0,527.0,529.0,-11.0,3708
2025-01-10,2379,1897895,1008906749,531.0,541.0,525.0,525.0,-4.0,2055
2025-01-13,2379,2798190,1438395733,521.0,525.0,507.0,515.0,-10.0,4343
2025-01-14,2379,1166996,604466080,515.0,521.0,513.0,519.0,4.0,1953
2025-01-15,2379,1592148,827347903,517.0,523.0,513.0,521.0,2.0,1845
2025-01-16,2379,1682907,890822826,530.0,537.0,526.0,526.0,5.0,1896
2025-01-17,2379,2663261,1428859747,525.0,544.0,525.0,538.0,12.0,2918
2025-01-20,2379,1995288,1076080235,539.0,546.0,534.0,538.0,0.0,2152
2025-01-21,2379,1427420,772467464,534.0,544.0,534.0,540.0,2.0,1692
2025-01-22,2379,2081753,1129947869,540.0,549.0,537.0,542.0,2.0,2242
2025-02-03,2379,3239470,1710553780,532.0,536.0,523.0,529.0,-13.0,3706
2025-02-04,2379,6709542,3787427587,536.0,576.0,536.0,569.0,40.0,8505
2025-02-05,2379,6304345,3634345686,578.0,585.0,566.0,566.0,-3.0,6108
2025-02-06,2379,7191467,3910128647,555.0,564.0,535.0,539.0,-27.0,16090
2025-02-07,2379,4053383,2232680778,543.0,556.0,541.0,553.0,14.0,4574
2025-02-10,2379,3577925,1974828653,552.0,560.0,547.0,557.0,4.0,3235
2025-02-11,2379,2316898,1290414505,559.0,560.0,552.0,559.0,2.0,2854
2025-02-12,2379,2362789,1324581576,560.0,568.0,556.0,557.0,-2.0,3168
2025-02-13,2379,2936027,1626685542,557.0,561.0,548.0,555.0,-2.0,3667
2025-02-14,2379,2500099,1370970136,555.0,557.0,544.0,548.0,-7.0,3305
2025-02-17,2379,1575348,870090581,549.0,560.0,548.0,550.0,2.0,2431
2025-02-18,2379,1089745,599162602,550.0,552.0,546.0,551.0,1.0,1598
2025-02-19,2379,2366249,1316359084,553.0,563.0,550.0,553.0,2.0,2950
2025-02-20,2379,1510453,839419626,554.0,560.0,550.0,555.0,2.0,1899
2025-02-21,2379,1821862,1022322102,560.0,567.0,555.0,566.0,11.0,2576
2025-02-24,2379,1887173,1064475875,561.0,568.0,560.0,568.0,2.0,2577
2025-02-25,2379,2189765,1232248089,564.0,570.0,558.0,560.0,-8.0,2693
2025-02-26,2379,2553060,1422173684,559.0,564.0,552.0,562.0,2.0,2918
2025-02-27,2379,2315448,1284711317,563.0,567.0,550.0,550.0,-12.0,2613
2025-03-03,2379,2077459,1147719690,556.0,556.0,546.0,555.0,5.0,2819
2025-03-04,2379,4167045,2276320662,545.0,553.0,542.0,548.0,-7.0,5192
2025-03-05,2379,2392072,1328540605,551.0,562.0,550.0,555.0,7.0,2782
