date,stock_id,country,revenue,revenue_month,revenue_year
2023-08-01,3711,Taiwan,48353336000,7,2023
2023-09-01,3711,Taiwan,52278801000,8,2023
2023-10-01,3711,Taiwan,53534708000,9,2023
2023-11-01,3711,Taiwan,56166613000,10,2023
2023-12-01,3711,Taiwan,54509085000,11,2023
2024-01-01,3711,Taiwan,49905503000,12,2023
2024-02-01,3711,Taiwan,47390354000,1,2024
2024-03-01,3711,Taiwan,39751076000,2,2024
2024-04-01,3711,Taiwan,45661425000,3,2024
2024-05-01,3711,Taiwan,45819887000,4,2024
2024-06-01,3711,Taiwan,47492772000,5,2024
2024-07-01,3711,Taiwan,46925404000,6,2024
2024-08-01,3711,Taiwan,51595954000,7,2024
2024-09-01,3711,Taiwan,52929761000,8,2024
2024-10-01,3711,Taiwan,55579391000,9,2024
2024-11-01,3711,Taiwan,56425583000,10,2024
2024-12-01,3711,Taiwan,52933333000,11,2024
2025-01-01,3711,Taiwan,52904645000,12,2024
2025-02-01,3711,Taiwan,49444261000,1,2025
2025-03-01,3711,Taiwan,44960788000,2,2025
2025-04-01,3711,Taiwan,53748213000,3,2025
2025-05-01,3711,Taiwan,52210767000,4,2025
2025-06-01,3711,Taiwan,49026935000,5,2025
2025-07-01,3711,Taiwan,49512621000,6,2025
2025-08-01,3711,Taiwan,51542033000,7,2025
2025-09-01,3711,Taiwan,56465628000,8,2025
