date,stock_id,country,revenue,revenue_month,revenue_year
2023-08-01,3419,Taiwan,106974000,7,2023
2023-09-01,3419,Taiwan,93571000,8,2023
2023-10-01,3419,Taiwan,164964000,9,2023
2023-11-01,3419,Taiwan,113287000,10,2023
2023-12-01,3419,Taiwan,105273000,11,2023
2024-01-01,3419,Taiwan,98046000,12,2023
2024-02-01,3419,Taiwan,118031000,1,2024
2024-03-01,3419,Taiwan,64094000,2,2024
2024-04-01,3419,Taiwan,146281000,3,2024
2024-05-01,3419,Taiwan,114948000,4,2024
2024-06-01,3419,Taiwan,153729000,5,2024
2024-07-01,3419,Taiwan,132021000,6,2024
2024-08-01,3419,Taiwan,133112000,7,2024
2024-09-01,3419,Taiwan,97021000,8,2024
2024-10-01,3419,Taiwan,123960000,9,2024
2024-11-01,3419,Taiwan,125954000,10,2024
2024-12-01,3419,Taiwan,127091000,11,2024
2025-01-01,3419,Taiwan,143004000,12,2024
2025-02-01,3419,Taiwan,142370000,1,2025
2025-03-01,3419,Taiwan,104378000,2,2025
2025-04-01,3419,Taiwan,166529000,3,2025
2025-05-01,3419,Taiwan,143598000,4,2025
2025-06-01,3419,Taiwan,160284000,5,2025
2025-07-01,3419,Taiwan,167374000,6,2025
2025-08-01,3419,Taiwan,160888000,7,2025
2025-09-01,3419,Taiwan,147692000,8,2025
