date,stock_id,country,revenue,revenue_month,revenue_year
2023-08-01,2492,Taiwan,2878994000,7,2023
2023-09-01,2492,Taiwan,2866961000,8,2023
2023-10-01,2492,Taiwan,2935063000,9,2023
2023-11-01,2492,Taiwan,2725831000,10,2023
2023-12-01,2492,Taiwan,2807530000,11,2023
2024-01-01,2492,Taiwan,2519566000,12,2023
2024-02-01,2492,Taiwan,2975688000,1,2024
2024-03-01,2492,Taiwan,2348804000,2,2024
2024-04-01,2492,Taiwan,2829125000,3,2024
2024-05-01,2492,Taiwan,3005965000,4,2024
2024-06-01,2492,Taiwan,3007412000,5,2024
2024-07-01,2492,Taiwan,2851405000,6,2024
2024-08-01,2492,Taiwan,3128959000,7,2024
2024-09-01,2492,Taiwan,3076398000,8,2024
2024-10-01,2492,Taiwan,3182121000,9,2024
2024-11-01,2492,Taiwan,2772231000,10,2024
2024-12-01,2492,Taiwan,2869217000,11,2024
2025-01-01,2492,Taiwan,2685318000,12,2024
2025-02-01,2492,Taiwan,2894858000,1,2025
2025-03-01,2492,Taiwan,2777229000,2,2025
2025-04-01,2492,Taiwan,3062399000,3,2025
2025-05-01,2492,Taiwan,3193018000,4,2025
2025-06-01,2492,Taiwan,3176437000,5,2025
2025-07-01,2492,Taiwan,3147542000,6,2025
2025-08-01,2492,Taiwan,3130662000,7,2025
2025-09-01,2492,Taiwan,3139068000,8,2025
