date,stock_id,country,revenue,revenue_month,revenue_year
2023-08-01,3037,Taiwan,8568959000,7,2023
2023-09-01,3037,Taiwan,9217841000,8,2023
2023-10-01,3037,Taiwan,8758856000,9,2023
2023-11-01,3037,Taiwan,8789447000,10,2023
2023-12-01,3037,Taiwan,8715320000,11,2023
2024-01-01,3037,Taiwan,8184615000,12,2023
2024-02-01,3037,Taiwan,9222048000,1,2024
2024-03-01,3037,Taiwan,8279814000,2,2024
2024-04-01,3037,Taiwan,8900957000,3,2024
2024-05-01,3037,Taiwan,9361971000,4,2024
2024-06-01,3037,Taiwan,9643831000,5,2024
2024-07-01,3037,Taiwan,8871595000,6,2024
2024-08-01,3037,Taiwan,10051113000,7,2024
2024-09-01,3037,Taiwan,10823395000,8,2024
2024-10-01,3037,Taiwan,10837646000,9,2024
2024-11-01,3037,Taiwan,10479818000,10,2024
2024-12-01,3037,Taiwan,9583655000,11,2024
2025-01-01,3037,Taiwan,9317439000,12,2024
2025-02-01,3037,Taiwan,9493871000,1,2025
2025-03-01,3037,Taiwan,9985276000,2,2025
2025-04-01,3037,Taiwan,10610385000,3,2025
2025-05-01,3037,Taiwan,10915988000,4,2025
2025-06-01,3037,Taiwan,10621322000,5,2025
2025-07-01,3037,Taiwan,10928735000,6,2025
2025-08-01,3037,Taiwan,11311474000,7,2025
2025-09-01,3037,Taiwan,11356606000,8,2025
