date,stock_id,country,revenue,revenue_month,revenue_year
2023-08-01,3149,Taiwan,164089000,7,2023
2023-09-01,3149,Taiwan,162737000,8,2023
2023-10-01,3149,Taiwan,159050000,9,2023
2023-11-01,3149,Taiwan,165786000,10,2023
2023-12-01,3149,Taiwan,160557000,11,2023
2024-01-01,3149,Taiwan,168112000,12,2023
2024-02-01,3149,Taiwan,165282000,1,2024
2024-03-01,3149,Taiwan,89129000,2,2024
2024-04-01,3149,Taiwan,158480000,3,2024
2024-05-01,3149,Taiwan,162836000,4,2024
2024-06-01,3149,Taiwan,198739000,5,2024
2024-07-01,3149,Taiwan,203112000,6,2024
2024-08-01,3149,Taiwan,203386000,7,2024
2024-09-01,3149,Taiwan,206819000,8,2024
2024-10-01,3149,Taiwan,229111000,9,2024
2024-11-01,3149,Taiwan,168518000,10,2024
2024-12-01,3149,Taiwan,199957000,11,2024
2025-01-01,3149,Taiwan,177812000,12,2024
2025-02-01,3149,Taiwan,178998000,1,2025
2025-03-01,3149,Taiwan,100543000,2,2025
2025-04-01,3149,Taiwan,191136000,3,2025
2025-05-01,3149,Taiwan,210504000,4,2025
2025-06-01,3149,Taiwan,195382000,5,2025
2025-07-01,3149,Taiwan,160864000,6,2025
2025-08-01,3149,Taiwan,172365000,7,2025
2025-09-01,3149,Taiwan,162698000,8,2025
