date,stock_id,type,value,origin_name
2024-03-31,2239,UnappropriatedRetainedEarningsAaccumulatedDeficit_per,2.88,未分配盈餘
2024-03-31,2239,RetainedEarnings,3074251000.0,保留盈餘合計
2024-03-31,2239,RetainedEarnings_per,7.97,保留盈餘合計
2024-03-31,2239,OtherEquityInterest,-1386752000.0,其他權益合計
2024-03-31,2239,OtherEquityInterest_per,-3.59,其他權益合計
2024-03-31,2239,EquityAttributableToOwnersOfParent,12112852000.0,歸屬於母公司業主之權益合計
2024-03-31,2239,EquityAttributableToOwnersOfParent_per,31.4,歸屬於母公司業主之權益合計
2024-03-31,2239,NoncontrollingInterests,5645094000.0,非控制權益
2024-03-31,2239,NoncontrollingInterests_per,14.63,非控制權益
2024-03-31,2239,TotalLiabilitiesEquity,38575568000.0,負債及權益總計
2024-03-31,2239,TotalLiabilitiesEquity_per,100.0,負債及權益總計
2024-03-31,2239,NumberOfSharesInEntityHeldByEntityAndByItsSubsidiaries,0.0,母公司暨子公司所持有之母公司庫藏股股數
2024-03-31,2239,CurrentIncomeTaxAssets,41414000.0,本期所得稅資產
2024-03-31,2239,CurrentIncomeTaxAssets_per,0.11,本期所得稅資產
2024-03-31,2239,Equity,17757946000.0,權益總額
2024-03-31,2239,Equity_per,46.03,權益總額
2024-03-31,2239,Liabilities,20817622000.0,負債總額
2024-03-31,2239,Liabilities_per,53.97,負債總額
2024-03-31,2239,CurrentContractLiabilities,148377000.0,合約負債
2024-03-31,2239,CurrentContractLiabilities_per,0.38,合約負債
2024-03-31,2239,OtherPayables,1185628000.0,其他應付款
2024-03-31,2239,OtherPayables_per,3.07,其他應付款
2024-06-30,2239,CashAndCashEquivalents,5217876000.0,現金及約當現金
2024-06-30,2239,CashAndCashEquivalents_per,13.9,現金及約當現金
2024-06-30,2239,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,0.0,透過損益按公允價值衡量之金融資產－流動
2024-06-30,2239,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,0.0,透過損益按公允價值衡量之金融資產－流動
2024-06-30,2239,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncomeNonCurrent,78500000.0,透過其他綜合損益按公允價值衡量之金融資產－非流動
2024-06-30,2239,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncomeNonCurrent_per,0.21,透過其他綜合損益按公允價值衡量之金融資產－非流動
2024-06-30,2239,FinancialAssetsAtAmortizedCost,243082000.0,按攤銷後成本衡量之金融資產－流動
2024-06-30,2239,FinancialAssetsAtAmortizedCost_per,0.65,按攤銷後成本衡量之金融資產－流動
2024-06-30,2239,BillsReceivableNet,1645484000.0,應收票據淨額
2024-06-30,2239,BillsReceivableNet_per,4.38,應收票據淨額
2024-06-30,2239,OtherReceivable,128752000.0,其他應收款淨額
2024-06-30,2239,OtherReceivable_per,0.34,其他應收款淨額
2024-06-30,2239,Prepayments,1425250000.0,預付款項
2024-06-30,2239,Prepayments_per,3.8,預付款項
2024-06-30,2239,AccountsReceivableNet,4062860000.0,應收帳款淨額
2024-06-30,2239,AccountsReceivableNet_per,10.83,應收帳款淨額
2024-06-30,2239,Inventories,4804182000.0,存貨
2024-06-30,2239,Inventories_per,12.8,存貨
2024-06-30,2239,OtherCurrentAssets,1925862000.0,其他流動資產
2024-06-30,2239,OtherCurrentAssets_per,5.13,其他流動資產
2024-06-30,2239,CurrentAssets,19493985000.0,流動資產合計
2024-06-30,2239,CurrentAssets_per,51.95,流動資產合計
