stock_id,stock_name,industry,score_total,tech_score,chip_score,fund_score,risk_score
2344,華邦電,電子工業,72.85714285714288,92.85714285714286,69.44444444444444,72.22222222222223,25.0
3535,晶彩科,電子工業,67.61904761904763,72.61904761904762,69.44444444444444,80.55555555555556,8.333333333333343
6231,系微,資訊服務業,60.05952380952381,73.80952380952381,65.27777777777777,47.22222222222222,41.66666666666666
2308,台達電,電子零組件業,59.94047619047619,84.52380952380952,51.388888888888886,47.22222222222222,50.0
3035,智原,電子工業,55.05952380952381,57.14285714285713,65.27777777777777,41.666666666666664,58.33333333333333
2454,聯發科,電子工業,51.964285714285715,44.04761904761905,43.05555555555555,63.888888888888886,66.66666666666667
3293,鈊象,文化創意業,46.7857142857143,35.11904761904761,54.16666666666668,36.111111111111114,91.66666666666669
2379,瑞昱,半導體業,45.833333333333336,24.999999999999996,50.00000000000001,52.77777777777778,75.0
8358,金居,電子零組件業,44.226190476190474,65.47619047619047,51.388888888888886,30.555555555555557,0.0
6643,M31,半導體業,43.86904761904763,22.619047619047617,54.166666666666664,41.66666666666667,83.33333333333334
2383,台光電,電子零組件業,40.833333333333336,45.83333333333333,34.72222222222223,44.444444444444436,33.33333333333334
8932,智通*,其他,30.95238095238095,30.952380952380945,41.666666666666664,25.0,16.666666666666657
