date,stock_id,dividend_yield,PER,PBR
2023-07-17,3380,3.62,26.38,2.62
2023-07-18,3380,3.91,24.41,2.42
2023-07-19,3380,3.94,24.24,2.4
2023-07-20,3380,3.86,24.75,2.46
2023-07-21,3380,3.86,24.72,2.45
2023-07-24,3380,3.89,24.55,2.44
2023-07-25,3380,3.8,25.11,2.49
2023-07-26,3380,3.92,24.38,2.42
2023-07-27,3380,3.84,24.86,2.47
2023-07-28,3380,3.94,24.24,2.4
2023-07-31,3380,3.85,24.94,2.42
2023-08-01,3380,3.93,24.4,2.37
2023-08-02,3380,4.08,23.52,2.28
2023-08-04,3380,4.28,22.41,2.17
2023-08-07,3380,4.28,22.44,2.18
2023-08-08,3380,4.36,22.02,2.13
2023-08-09,3380,4.41,21.76,2.11
2023-08-10,3380,4.56,21.08,2.04
2023-08-11,3380,4.6,20.85,2.02
2023-08-14,3380,4.71,20.37,1.98
2023-08-15,3380,4.63,20.74,2.01
2023-08-16,3380,4.68,20.51,1.99
2023-08-17,3380,4.48,21.45,2.08
2023-08-18,3380,4.64,20.68,2.01
2023-08-21,3380,4.51,21.31,2.07
2023-08-22,3380,4.43,21.68,2.1
2023-08-23,3380,4.34,22.1,2.14
2023-08-24,3380,4.28,22.44,2.18
2023-08-25,3380,4.27,22.5,2.18
2023-08-28,3380,4.33,22.16,2.15
2023-08-29,3380,4.32,22.24,2.16
2023-08-30,3380,4.32,22.22,2.15
2023-08-31,3380,4.25,22.59,2.19
2023-09-01,3380,4.38,21.93,2.13
2023-09-04,3380,4.41,21.76,2.11
2023-09-05,3380,4.4,21.85,2.12
2023-09-06,3380,4.34,22.13,2.15
2023-09-07,3380,4.4,21.82,2.12
2023-09-08,3380,4.51,21.31,2.07
2023-09-11,3380,4.65,20.65,2.0
2023-09-12,3380,4.43,21.68,2.1
2023-09-13,3380,4.33,22.16,2.15
2023-09-14,3380,4.21,22.81,2.21
2023-09-15,3380,4.28,22.41,2.17
2023-09-18,3380,4.25,22.61,2.19
2023-09-19,3380,4.31,22.3,2.16
2023-09-20,3380,4.36,22.05,2.14
2023-09-21,3380,4.46,21.51,2.09
2023-09-22,3380,4.34,22.13,2.15
2023-09-25,3380,4.28,22.44,2.18
2023-09-26,3380,4.3,22.33,2.17
2023-09-27,3380,4.26,22.53,2.18
2023-09-28,3380,4.29,22.36,2.17
2023-10-02,3380,4.26,22.53,2.18
2023-10-03,3380,4.41,21.76,2.11
2023-10-04,3380,4.41,21.79,2.11
2023-10-05,3380,4.48,21.45,2.08
2023-10-06,3380,4.52,21.25,2.06
2023-10-11,3380,4.62,20.77,2.01
2023-10-12,3380,4.62,20.8,2.02
2023-10-13,3380,4.62,20.8,2.02
2023-10-16,3380,4.73,20.28,1.97
2023-10-17,3380,4.82,19.91,1.93
2023-10-18,3380,4.91,19.55,1.9
2023-10-19,3380,4.84,19.86,1.93
2023-10-20,3380,4.91,19.57,1.9
2023-10-23,3380,4.9,19.6,1.9
2023-10-24,3380,4.79,20.03,1.94
2023-10-25,3380,4.79,20.06,1.94
2023-10-26,3380,4.9,19.6,1.9
2023-10-27,3380,4.94,19.43,1.88
2023-10-30,3380,4.87,19.72,1.91
2023-10-31,3380,4.78,20.09,1.95
2023-11-01,3380,5.04,25.23,1.79
2023-11-02,3380,4.8,26.47,1.88
2023-11-03,3380,4.91,25.86,1.84
2023-11-06,3380,4.89,25.98,1.85
2023-11-07,3380,5.04,25.23,1.79
2023-11-08,3380,5.01,25.38,1.8
2023-11-09,3380,5.17,24.59,1.75
2023-11-10,3380,5.22,24.36,1.73
2023-11-13,3380,5.14,24.74,1.76
2023-11-14,3380,5.04,25.23,1.79
2023-11-15,3380,4.99,25.45,1.81
2023-11-16,3380,4.93,25.79,1.83
2023-11-17,3380,4.84,26.28,1.87
2023-11-20,3380,4.75,26.73,1.9
2023-11-21,3380,4.78,26.58,1.89
2023-11-22,3380,4.66,27.26,1.94
2023-11-23,3380,4.71,26.95,1.92
2023-11-24,3380,4.71,26.95,1.92
2023-11-27,3380,4.74,26.8,1.9
2023-11-28,3380,4.7,27.03,1.92
2023-11-29,3380,4.69,27.07,1.92
2023-11-30,3380,4.73,26.88,1.91
2023-12-01,3380,4.69,27.07,1.92
2023-12-04,3380,4.51,28.16,2.0
2023-12-05,3380,4.51,28.2,2.0
2023-12-06,3380,4.56,27.89,1.98
2023-12-07,3380,4.6,27.59,1.96
2023-12-08,3380,4.62,27.48,1.95
2023-12-11,3380,4.54,27.97,1.99
2023-12-12,3380,4.41,28.8,2.05
2023-12-13,3380,4.46,28.46,2.02
2023-12-14,3380,4.54,28.01,1.99
2023-12-15,3380,4.6,27.59,1.96
2023-12-18,3380,4.48,28.35,2.01
2023-12-19,3380,4.6,27.59,1.96
2023-12-20,3380,4.52,28.08,2.0
2023-12-21,3380,4.6,27.63,1.96
2023-12-22,3380,4.62,27.52,1.96
2023-12-25,3380,4.65,27.33,1.94
2023-12-26,3380,4.44,28.65,2.04
2023-12-27,3380,4.5,28.23,2.01
2023-12-28,3380,4.44,28.65,2.04
2023-12-29,3380,4.48,28.38,2.02
2024-01-02,3380,4.55,27.93,1.98
2024-01-03,3380,4.62,27.52,1.96
2024-01-04,3380,4.48,28.35,2.01
2024-01-05,3380,4.46,28.5,2.02
2024-01-08,3380,4.59,27.67,1.97
2024-01-09,3380,4.57,27.78,1.97
2024-01-10,3380,4.62,27.52,1.96
2024-01-11,3380,4.48,28.38,2.02
2024-01-12,3380,4.51,28.2,2.0
2024-01-15,3380,4.47,28.42,2.02
2024-01-16,3380,4.48,28.38,2.02
2024-01-17,3380,4.52,28.08,2.0
2024-01-18,3380,4.61,27.56,1.96
2024-01-19,3380,4.45,28.53,2.03
2024-01-22,3380,4.34,29.25,2.08
2024-01-23,3380,4.31,29.51,2.1
2024-01-24,3380,4.36,29.14,2.07
2024-01-25,3380,4.32,29.4,2.09
2024-01-26,3380,4.32,29.4,2.09
2024-01-29,3380,4.36,29.17,2.07
2024-01-30,3380,4.32,29.44,2.09
2024-01-31,3380,4.39,28.95,2.06
2024-02-01,3380,4.41,28.8,2.05
2024-02-02,3380,4.31,29.51,2.1
2024-02-05,3380,4.48,28.35,2.01
2024-02-15,3380,4.51,28.2,2.0
2024-02-16,3380,4.49,28.31,2.01
2024-02-19,3380,4.46,28.46,2.02
2024-02-20,3380,4.51,28.16,2.0
2024-02-21,3380,4.37,29.06,2.06
2024-02-22,3380,4.38,29.02,2.06
2024-02-23,3380,4.44,28.61,2.03
2024-02-26,3380,4.4,28.87,2.05
2024-02-27,3380,4.51,28.2,2.0
2024-02-29,3380,2.73,36.63,2.0
2024-03-01,3380,2.76,36.29,1.98
2024-03-04,3380,2.7,37.08,2.03
2024-03-05,3380,2.74,36.53,2.0
2024-03-06,3380,2.76,36.24,1.98
2024-03-07,3380,2.85,35.05,1.92
2024-03-08,3380,2.87,34.9,1.91
2024-03-11,3380,2.85,35.05,1.92
2024-03-12,3380,2.84,35.2,1.92
2024-03-13,3380,2.87,34.85,1.9
2024-03-14,3380,2.88,34.75,1.9
2024-03-15,3380,2.9,34.46,1.88
2024-03-18,3380,2.86,34.95,1.91
2024-03-19,3380,2.85,35.05,1.92
2024-03-20,3380,2.84,35.2,1.92
2024-03-21,3380,2.82,35.45,1.94
2024-03-22,3380,2.79,35.84,1.96
