date,stock_id,dividend_yield,PER,PBR
2023-07-17,3026,5.12,15.27,1.82
2023-07-18,3026,5.14,15.2,1.81
2023-07-19,3026,5.16,15.13,1.8
2023-07-20,3026,5.59,13.98,1.66
2023-07-21,3026,5.58,13.99,1.67
2023-07-24,3026,5.68,13.76,1.64
2023-07-25,3026,5.67,13.78,1.64
2023-07-26,3026,5.7,13.71,1.63
2023-07-27,3026,5.67,13.78,1.64
2023-07-28,3026,5.64,13.86,1.65
2023-07-31,3026,5.64,13.85,1.65
2023-08-01,3026,5.68,13.75,1.64
2023-08-02,3026,5.69,13.74,1.64
2023-08-04,3026,5.68,13.76,1.64
2023-08-07,3026,5.68,13.76,1.64
2023-08-08,3026,5.69,13.74,1.64
2023-08-09,3026,5.71,13.69,1.63
2023-08-10,3026,5.73,15.61,1.58
2023-08-11,3026,5.74,15.58,1.58
2023-08-14,3026,5.83,15.35,1.56
2023-08-15,3026,5.83,15.35,1.56
2023-08-16,3026,5.85,15.28,1.55
2023-08-17,3026,5.86,15.25,1.55
2023-08-18,3026,5.86,15.27,1.55
2023-08-21,3026,5.88,15.22,1.54
2023-08-22,3026,5.88,15.2,1.54
2023-08-23,3026,5.85,15.28,1.55
2023-08-24,3026,5.82,15.37,1.56
2023-08-25,3026,5.8,15.43,1.57
2023-08-28,3026,5.81,15.4,1.56
2023-08-29,3026,5.8,15.41,1.56
2023-08-30,3026,5.75,15.54,1.58
2023-08-31,3026,5.61,15.93,1.62
2023-09-01,3026,5.51,16.23,1.65
2023-09-04,3026,5.51,16.23,1.65
2023-09-05,3026,5.47,16.34,1.66
2023-09-06,3026,5.51,16.23,1.65
2023-09-07,3026,5.52,16.2,1.64
2023-09-08,3026,5.57,16.07,1.63
2023-09-11,3026,5.59,16.0,1.62
2023-09-12,3026,5.57,16.05,1.63
2023-09-13,3026,5.56,16.1,1.63
2023-09-14,3026,5.56,16.1,1.63
2023-09-15,3026,5.55,16.11,1.64
2023-09-18,3026,5.54,16.15,1.64
2023-09-19,3026,5.54,16.13,1.64
2023-09-20,3026,5.55,16.11,1.64
2023-09-21,3026,5.59,16.0,1.62
2023-09-22,3026,5.61,15.93,1.62
2023-09-25,3026,5.54,16.15,1.64
2023-09-26,3026,5.6,15.97,1.62
2023-09-27,3026,5.61,15.93,1.62
2023-09-28,3026,5.62,15.92,1.62
2023-10-02,3026,5.6,15.97,1.62
2023-10-03,3026,5.58,16.02,1.63
2023-10-04,3026,5.6,15.97,1.62
2023-10-05,3026,5.64,15.87,1.61
2023-10-06,3026,5.65,15.82,1.61
2023-10-11,3026,5.71,15.67,1.59
2023-10-12,3026,5.68,15.76,1.6
2023-10-13,3026,5.67,15.77,1.6
2023-10-16,3026,5.7,15.69,1.59
2023-10-17,3026,5.7,15.69,1.59
2023-10-18,3026,5.88,15.22,1.54
2023-10-19,3026,5.82,15.37,1.56
2023-10-20,3026,5.74,15.59,1.58
2023-10-23,3026,5.75,15.56,1.58
2023-10-24,3026,5.74,15.59,1.58
2023-10-25,3026,5.75,15.56,1.58
2023-10-26,3026,5.75,15.56,1.58
2023-10-27,3026,5.75,15.54,1.58
2023-10-30,3026,5.78,15.48,1.57
2023-10-31,3026,5.8,15.43,1.57
2023-11-01,3026,5.74,15.58,1.58
2023-11-02,3026,5.69,15.71,1.59
2023-11-03,3026,5.69,15.72,1.6
2023-11-06,3026,5.67,15.77,1.6
2023-11-07,3026,5.68,16.56,1.64
2023-11-08,3026,5.69,16.53,1.64
2023-11-09,3026,5.74,16.38,1.62
2023-11-10,3026,5.77,16.31,1.61
2023-11-13,3026,5.76,16.32,1.62
2023-11-14,3026,5.75,16.36,1.62
2023-11-15,3026,5.72,16.43,1.63
2023-11-16,3026,5.72,16.43,1.63
2023-11-17,3026,5.72,16.43,1.63
2023-11-20,3026,5.71,16.46,1.63
2023-11-21,3026,5.68,16.55,1.64
2023-11-22,3026,5.66,16.6,1.64
2023-11-23,3026,5.65,16.63,1.65
2023-11-24,3026,5.59,16.82,1.67
2023-11-27,3026,5.61,16.77,1.66
2023-11-28,3026,5.59,16.82,1.67
2023-11-29,3026,5.51,17.08,1.69
2023-11-30,3026,5.5,17.09,1.69
2023-12-01,3026,5.47,17.18,1.7
2023-12-04,3026,5.52,17.03,1.69
2023-12-05,3026,5.51,17.06,1.69
2023-12-06,3026,5.51,17.06,1.69
2023-12-07,3026,5.54,16.97,1.68
2023-12-08,3026,5.56,16.91,1.67
2023-12-11,3026,5.58,16.85,1.67
2023-12-12,3026,5.58,16.84,1.67
2023-12-13,3026,5.57,16.87,1.67
2023-12-14,3026,5.52,17.04,1.69
2023-12-15,3026,5.53,16.99,1.68
2023-12-18,3026,5.57,16.87,1.67
2023-12-19,3026,5.61,16.75,1.66
2023-12-20,3026,5.57,16.87,1.67
2023-12-21,3026,5.55,16.94,1.68
2023-12-22,3026,5.6,16.8,1.66
2023-12-25,3026,5.63,16.7,1.65
2023-12-26,3026,5.61,16.77,1.66
2023-12-27,3026,5.63,16.7,1.65
2023-12-28,3026,5.64,16.68,1.65
2023-12-29,3026,5.67,16.58,1.64
2024-01-02,3026,5.66,16.6,1.64
2024-01-03,3026,5.68,16.56,1.64
2024-01-04,3026,5.68,16.55,1.64
2024-01-05,3026,5.71,16.48,1.63
2024-01-08,3026,5.7,16.5,1.63
2024-01-09,3026,5.77,16.29,1.61
2024-01-10,3026,5.8,16.21,1.6
2024-01-11,3026,5.78,16.26,1.61
2024-01-12,3026,5.77,16.31,1.61
2024-01-15,3026,5.78,16.27,1.61
2024-01-16,3026,5.83,16.12,1.6
2024-01-17,3026,5.81,16.19,1.6
2024-01-18,3026,5.8,16.22,1.61
2024-01-19,3026,5.81,16.19,1.6
2024-01-22,3026,5.82,16.15,1.6
2024-01-23,3026,5.81,16.19,1.6
2024-01-24,3026,5.77,16.29,1.61
2024-01-25,3026,5.79,16.24,1.61
2024-01-26,3026,5.79,16.24,1.61
2024-01-29,3026,5.81,16.19,1.6
2024-01-30,3026,5.82,16.15,1.6
2024-01-31,3026,5.85,16.07,1.59
2024-02-01,3026,5.85,16.07,1.59
2024-02-02,3026,5.83,16.14,1.6
2024-02-05,3026,5.83,16.14,1.6
2024-02-15,3026,5.79,16.24,1.61
2024-02-16,3026,5.77,16.31,1.61
2024-02-19,3026,5.72,16.43,1.63
2024-02-20,3026,5.73,16.41,1.62
2024-02-21,3026,5.72,16.43,1.63
2024-02-22,3026,5.74,16.39,1.62
2024-02-23,3026,5.74,16.38,1.62
2024-02-26,3026,5.75,16.36,1.62
2024-02-27,3026,5.74,16.39,1.62
2024-02-29,3026,5.16,18.89,1.63
2024-03-01,3026,5.17,18.87,1.63
2024-03-04,3026,5.17,18.87,1.63
2024-03-05,3026,5.18,18.83,1.63
2024-03-06,3026,5.14,18.95,1.64
2024-03-07,3026,5.17,18.85,1.63
2024-03-08,3026,5.26,18.52,1.6
2024-03-11,3026,5.25,18.56,1.61
2024-03-12,3026,5.22,18.65,1.61
2024-03-13,3026,5.22,18.65,1.61
2024-03-14,3026,5.23,18.64,1.61
2024-03-15,3026,5.24,18.62,1.61
2024-03-18,3026,5.24,18.6,1.61
2024-03-19,3026,5.22,18.65,1.61
2024-03-20,3026,5.22,18.65,1.61
2024-03-21,3026,5.19,18.77,1.62
2024-03-22,3026,5.19,18.79,1.63
2024-03-25,3026,5.19,18.79,1.63
2024-03-26,3026,5.19,18.79,1.63
2024-03-27,3026,5.19,18.79,1.63
2024-03-28,3026,5.19,18.79,1.63
2024-03-29,3026,5.18,18.81,1.63
2024-04-01,3026,5.12,19.04,1.65
2024-04-02,3026,5.12,19.03,1.65
2024-04-03,3026,5.15,18.91,1.64
2024-04-08,3026,5.13,18.99,1.64
2024-04-09,3026,5.13,18.99,1.64
2024-04-10,3026,5.11,19.06,1.65
2024-04-11,3026,5.13,19.01,1.64
2024-04-12,3026,5.13,19.01,1.64
2024-04-15,3026,5.14,18.97,1.64
2024-04-16,3026,5.22,18.67,1.62
2024-04-17,3026,5.19,18.79,1.63
2024-04-18,3026,5.18,18.81,1.63
2024-04-19,3026,5.25,18.56,1.61
2024-04-22,3026,5.29,18.44,1.6
2024-04-23,3026,5.26,18.52,1.6
