date,stock_id,dividend_yield,PER,PBR
2024-01-23,3149,0.0,0.0,2.97
2024-01-24,3149,0.0,0.0,3.22
2024-01-25,3149,0.0,0.0,3.03
2024-01-26,3149,0.0,0.0,3.05
2024-01-29,3149,0.0,0.0,3.05
2024-01-30,3149,0.0,0.0,3.01
2024-01-31,3149,0.0,0.0,2.96
2024-02-01,3149,0.0,0.0,2.88
2024-02-02,3149,0.0,0.0,2.85
2024-02-05,3149,0.0,0.0,2.78
2024-02-15,3149,0.0,0.0,2.94
2024-02-16,3149,0.0,0.0,2.94
2024-02-19,3149,0.0,0.0,3.04
2024-02-20,3149,0.0,0.0,3.05
2024-02-21,3149,0.0,0.0,3.09
2024-02-22,3149,0.0,0.0,2.98
2024-02-23,3149,0.0,0.0,2.94
2024-02-26,3149,0.0,0.0,3.02
2024-02-27,3149,0.0,0.0,2.82
2024-02-29,3149,0.0,0.0,2.8
2024-03-01,3149,0.0,0.0,2.78
2024-03-04,3149,0.0,0.0,2.8
2024-03-05,3149,0.0,0.0,2.81
2024-03-06,3149,0.0,0.0,2.55
2024-03-07,3149,0.0,0.0,2.61
2024-03-08,3149,0.0,0.0,2.52
2024-03-11,3149,0.0,0.0,2.49
2024-03-12,3149,0.0,0.0,2.54
2024-03-13,3149,0.0,0.0,2.61
2024-03-14,3149,0.0,0.0,2.66
2024-03-15,3149,0.0,0.0,2.68
2024-03-18,3149,0.0,0.0,2.64
2024-03-19,3149,0.0,0.0,2.62
2024-03-20,3149,0.0,0.0,2.55
2024-03-21,3149,0.0,0.0,2.55
2024-03-22,3149,0.0,0.0,2.55
2024-03-25,3149,0.0,0.0,2.58
2024-03-26,3149,0.0,0.0,2.51
2024-03-27,3149,0.0,0.0,2.52
2024-03-28,3149,0.0,0.0,2.77
2024-03-29,3149,0.0,0.0,2.68
2024-04-01,3149,0.0,0.0,2.66
2024-04-02,3149,0.0,0.0,2.66
2024-04-03,3149,0.0,0.0,2.59
2024-04-08,3149,0.0,0.0,2.58
2024-04-09,3149,0.0,0.0,2.62
2024-04-10,3149,0.0,0.0,2.71
2024-04-11,3149,0.0,0.0,2.65
2024-04-12,3149,0.0,0.0,2.65
2024-04-15,3149,0.0,0.0,2.58
2024-04-16,3149,0.0,0.0,2.51
2024-04-17,3149,0.0,0.0,2.55
2024-04-18,3149,0.0,0.0,2.53
2024-04-19,3149,0.0,0.0,2.42
2024-04-22,3149,0.0,0.0,2.44
2024-04-23,3149,0.0,0.0,2.46
2024-04-24,3149,0.0,0.0,2.46
2024-04-25,3149,0.0,0.0,2.41
2024-04-26,3149,0.0,0.0,2.41
2024-04-29,3149,0.0,0.0,2.46
2024-04-30,3149,0.0,0.0,2.5
2024-05-02,3149,0.0,0.0,2.47
2024-05-03,3149,0.0,0.0,2.46
2024-05-06,3149,0.0,0.0,2.49
2024-05-07,3149,0.0,0.0,2.52
2024-05-08,3149,0.0,0.0,2.59
2024-05-09,3149,0.0,0.0,2.56
2024-05-10,3149,0.0,0.0,2.53
2024-05-13,3149,0.0,0.0,2.49
2024-05-14,3149,0.0,0.0,2.5
2024-05-15,3149,0.0,0.0,2.48
2024-05-16,3149,0.0,0.0,2.54
2024-05-17,3149,0.0,0.0,2.56
2024-05-20,3149,0.0,0.0,2.59
2024-05-21,3149,0.0,0.0,2.59
2024-05-22,3149,0.0,0.0,2.65
2024-05-23,3149,0.0,0.0,2.7
2024-05-24,3149,0.0,0.0,2.65
2024-05-27,3149,0.0,0.0,2.76
2024-05-28,3149,0.0,0.0,2.67
2024-05-29,3149,0.0,0.0,2.71
2024-05-30,3149,0.0,0.0,2.67
2024-05-31,3149,0.0,0.0,2.65
2024-06-03,3149,0.0,0.0,2.64
2024-06-04,3149,0.0,0.0,2.52
2024-06-05,3149,0.0,0.0,2.52
2024-06-06,3149,0.0,0.0,2.52
2024-06-07,3149,0.0,0.0,2.59
2024-06-11,3149,0.0,0.0,2.55
2024-06-12,3149,0.0,0.0,2.59
2024-06-13,3149,0.0,0.0,2.58
2024-06-14,3149,0.0,0.0,2.83
2024-06-17,3149,0.0,0.0,3.06
2024-06-18,3149,0.0,0.0,2.97
2024-06-19,3149,0.0,0.0,2.81
2024-06-20,3149,0.0,0.0,2.89
2024-06-21,3149,0.0,0.0,2.88
2024-06-24,3149,0.0,0.0,3.15
2024-06-25,3149,0.0,0.0,3.25
2024-06-26,3149,0.0,0.0,3.49
2024-06-27,3149,0.0,0.0,3.33
2024-06-28,3149,0.0,0.0,3.27
2024-07-01,3149,0.0,0.0,3.21
2024-07-02,3149,0.0,0.0,3.24
2024-07-03,3149,0.0,0.0,3.26
2024-07-04,3149,0.0,0.0,3.23
2024-07-05,3149,0.0,0.0,3.39
2024-07-08,3149,0.0,0.0,3.36
2024-07-09,3149,0.0,0.0,3.2
2024-07-10,3149,0.0,0.0,3.17
2024-07-11,3149,0.0,0.0,3.23
