date,stock_id,dividend_yield,PER,PBR
2023-07-17,3231,1.86,32.59,4.1
2023-07-18,3231,1.95,31.07,3.91
2023-07-19,3231,2.03,29.91,3.76
2023-07-20,3231,1.93,31.43,3.95
2023-07-21,3231,1.76,34.46,4.34
2023-07-24,3231,1.65,36.92,4.64
2023-07-25,3231,1.71,35.51,4.47
2023-07-26,3231,1.66,36.57,4.6
2023-07-27,3231,1.69,35.98,4.53
2023-07-28,3231,1.66,36.68,4.61
2023-07-31,3231,1.84,33.06,4.16
2023-08-01,3231,1.93,31.54,3.97
2023-08-02,3231,2.14,28.39,3.57
2023-08-04,3231,2.28,26.64,3.35
2023-08-07,3231,2.08,29.21,3.67
2023-08-08,3231,2.02,30.14,3.79
2023-08-09,3231,2.17,30.53,3.58
2023-08-10,3231,2.29,28.88,3.39
2023-08-11,3231,2.26,29.26,3.43
2023-08-14,3231,2.33,28.37,3.33
2023-08-15,3231,2.23,29.64,3.48
2023-08-16,3231,2.03,32.57,3.82
2023-08-17,3231,2.02,32.82,3.85
2023-08-18,3231,2.16,30.66,3.6
2023-08-21,3231,2.15,30.79,3.61
2023-08-22,3231,2.11,31.42,3.69
2023-08-23,3231,2.04,32.44,3.8
2023-08-24,3231,2.12,31.17,3.66
2023-08-25,3231,2.34,28.24,3.31
2023-08-28,3231,2.37,27.86,3.27
2023-08-29,3231,2.37,27.86,3.27
2023-08-30,3231,2.32,28.5,3.34
2023-08-31,3231,2.22,29.77,3.49
2023-09-01,3231,2.39,27.74,3.25
2023-09-04,3231,2.31,28.63,3.36
2023-09-05,3231,2.31,28.63,3.36
2023-09-06,3231,2.29,28.88,3.39
2023-09-07,3231,2.36,27.99,3.28
2023-09-08,3231,2.39,27.74,3.25
2023-09-11,3231,2.54,26.08,3.06
2023-09-12,3231,2.55,25.95,3.04
2023-09-13,3231,2.55,25.95,3.04
2023-09-14,3231,2.45,26.97,3.16
2023-09-15,3231,2.49,26.59,3.12
2023-09-18,3231,2.57,25.7,3.01
2023-09-19,3231,2.64,25.04,2.94
2023-09-20,3231,2.63,25.11,2.95
2023-09-21,3231,2.59,25.57,3.0
2023-09-22,3231,2.54,26.08,3.06
2023-09-25,3231,2.52,26.21,3.07
2023-09-26,3231,2.56,25.83,3.03
2023-09-27,3231,2.52,26.21,3.07
2023-09-28,3231,2.56,25.83,3.03
2023-10-02,3231,2.34,28.24,3.31
2023-10-03,3231,2.41,27.48,3.22
2023-10-04,3231,2.45,26.97,3.16
2023-10-05,3231,2.43,27.23,3.19
2023-10-06,3231,2.4,27.61,3.24
2023-10-11,3231,2.65,24.99,2.93
2023-10-12,3231,2.54,26.08,3.06
2023-10-13,3231,2.62,25.22,2.96
2023-10-16,3231,2.65,24.94,2.92
2023-10-17,3231,2.75,24.1,2.83
2023-10-18,3231,2.86,23.16,2.72
2023-10-19,3231,2.84,23.33,2.74
2023-10-20,3231,2.84,23.26,2.73
2023-10-23,3231,2.81,23.54,2.76
2023-10-24,3231,2.7,24.48,2.87
2023-10-25,3231,2.73,24.25,2.84
2023-10-26,3231,2.79,23.72,2.78
2023-10-27,3231,2.76,23.99,2.81
2023-10-30,3231,2.77,23.84,2.8
2023-10-31,3231,2.91,22.75,2.67
2023-11-01,3231,2.91,22.77,2.67
2023-11-02,3231,2.8,23.61,2.77
2023-11-03,3231,2.85,23.21,2.72
2023-11-06,3231,2.82,23.44,2.75
2023-11-07,3231,2.78,23.77,2.79
2023-11-08,3231,2.67,24.76,2.9
2023-11-09,3231,2.64,25.09,2.94
2023-11-10,3231,2.65,23.03,2.68
2023-11-13,3231,2.6,23.47,2.73
2023-11-14,3231,2.65,23.03,2.68
2023-11-15,3231,2.63,23.24,2.7
2023-11-16,3231,2.63,23.24,2.7
2023-11-17,3231,2.63,23.24,2.7
2023-11-20,3231,2.61,23.4,2.72
2023-11-21,3231,2.54,24.06,2.8
2023-11-22,3231,2.66,22.91,2.66
2023-11-23,3231,2.73,22.32,2.6
2023-11-24,3231,2.71,22.54,2.62
2023-11-27,3231,2.8,21.76,2.53
2023-11-28,3231,2.81,21.71,2.53
2023-11-29,3231,2.79,21.9,2.55
2023-11-30,3231,2.84,21.48,2.5
2023-12-01,3231,2.8,21.78,2.53
2023-12-04,3231,2.85,21.43,2.49
2023-12-05,3231,2.91,20.94,2.44
2023-12-06,3231,2.85,21.41,2.49
2023-12-07,3231,2.78,21.92,2.55
2023-12-08,3231,2.81,21.74,2.53
2023-12-11,3231,2.83,21.55,2.51
2023-12-12,3231,2.87,21.24,2.47
2023-12-13,3231,2.8,21.81,2.54
2023-12-14,3231,2.79,21.85,2.54
2023-12-15,3231,2.84,21.5,2.5
2023-12-18,3231,2.82,21.67,2.52
2023-12-19,3231,2.83,21.6,2.51
2023-12-20,3231,2.76,22.11,2.57
2023-12-21,3231,2.73,22.35,2.6
2023-12-22,3231,2.76,22.11,2.57
2023-12-25,3231,2.69,22.68,2.64
2023-12-26,3231,2.68,22.77,2.65
2023-12-27,3231,2.69,22.7,2.64
2023-12-28,3231,2.71,22.51,2.62
2023-12-29,3231,2.64,23.15,2.69
2024-01-02,3231,2.77,22.0,2.56
2024-01-03,3231,2.78,21.95,2.55
2024-01-04,3231,2.76,22.11,2.57
2024-01-05,3231,2.78,21.97,2.56
2024-01-08,3231,2.75,22.16,2.58
2024-01-09,3231,2.77,22.07,2.57
2024-01-10,3231,2.75,22.18,2.58
2024-01-11,3231,2.66,22.91,2.66
2024-01-12,3231,2.61,23.36,2.72
2024-01-15,3231,2.64,23.15,2.69
2024-01-16,3231,2.64,23.15,2.69
2024-01-17,3231,2.66,22.98,2.67
2024-01-18,3231,2.66,22.93,2.67
2024-01-19,3231,2.43,25.12,2.92
2024-01-22,3231,2.23,27.35,3.18
2024-01-23,3231,2.22,27.46,3.19
2024-01-24,3231,2.24,27.23,3.17
2024-01-25,3231,2.26,27.0,3.14
2024-01-26,3231,2.3,26.53,3.08
2024-01-29,3231,2.23,27.35,3.18
2024-01-30,3231,2.2,27.7,3.22
2024-01-31,3231,2.27,26.88,3.13
2024-02-01,3231,2.26,27.0,3.14
2024-02-02,3231,2.17,28.17,3.28
2024-02-05,3231,2.09,29.23,3.4
2024-02-15,3231,1.99,30.63,3.56
2024-02-16,3231,2.06,29.58,3.44
2024-02-19,3231,2.12,28.76,3.34
2024-02-20,3231,2.13,28.64,3.33
2024-02-21,3231,2.19,27.82,3.24
2024-02-22,3231,2.18,27.93,3.25
2024-02-23,3231,2.24,27.23,3.17
2024-02-26,3231,2.22,27.46,3.19
2024-02-27,3231,2.29,26.64,3.1
2024-02-29,3231,2.25,27.11,3.15
2024-03-01,3231,2.2,27.7,3.22
2024-03-04,3231,2.23,27.35,3.18
2024-03-05,3231,2.14,28.52,3.32
2024-03-06,3231,2.18,28.05,3.26
2024-03-07,3231,2.24,27.23,3.17
2024-03-08,3231,2.24,27.23,3.17
2024-03-11,3231,2.15,28.4,3.3
2024-03-12,3231,2.12,28.76,3.34
2024-03-13,3231,2.23,29.13,3.2
2024-03-14,3231,2.25,28.88,3.18
2024-03-15,3231,2.18,29.88,3.29
2024-03-18,3231,2.17,30.0,3.3
2024-03-19,3231,2.12,30.63,3.37
2024-03-20,3231,2.17,30.0,3.3
2024-03-21,3231,2.16,30.13,3.31
2024-03-22,3231,2.11,30.75,3.38
2024-03-25,3231,2.13,30.5,3.36
2024-03-26,3231,2.22,29.25,3.22
2024-03-27,3231,2.22,29.25,3.22
2024-03-28,3231,2.16,30.13,3.31
2024-03-29,3231,2.08,31.25,3.44
2024-04-01,3231,2.12,30.63,3.37
2024-04-02,3231,2.08,31.25,3.44
2024-04-03,3231,2.01,32.38,3.56
2024-04-08,3231,1.97,33.0,3.63
2024-04-09,3231,2.06,31.5,3.47
2024-04-10,3231,2.07,31.38,3.45
2024-04-11,3231,2.11,30.75,3.38
2024-04-12,3231,2.12,30.63,3.37
2024-04-15,3231,2.18,29.88,3.29
2024-04-16,3231,2.28,28.5,3.14
2024-04-17,3231,2.27,28.63,3.15
2024-04-18,3231,2.2,29.5,3.25
2024-04-19,3231,2.26,28.75,3.16
2024-04-22,3231,2.4,27.13,2.98
2024-04-23,3231,2.34,27.75,3.05
2024-04-24,3231,2.25,28.88,3.18
2024-04-25,3231,2.32,28.0,3.08
2024-04-26,3231,2.3,28.25,3.11
2024-04-29,3231,2.28,28.5,3.14
2024-04-30,3231,2.29,28.38,3.12
2024-05-02,3231,2.27,28.63,3.15
2024-05-03,3231,2.34,27.75,3.05
2024-05-06,3231,2.28,28.5,3.14
2024-05-07,3231,2.27,28.63,3.15
2024-05-08,3231,2.26,28.75,3.16
2024-05-09,3231,2.32,28.0,3.08
2024-05-10,3231,2.28,28.5,3.14
2024-05-13,3231,2.34,21.51,2.82
2024-05-14,3231,2.33,21.61,2.83
2024-05-15,3231,2.26,22.29,2.92
2024-05-16,3231,2.32,21.71,2.85
2024-05-17,3231,2.32,21.71,2.85
2024-05-20,3231,2.34,21.51,2.82
2024-05-21,3231,2.31,21.8,2.86
2024-05-22,3231,2.26,22.29,2.92
2024-05-23,3231,2.28,22.09,2.9
2024-05-24,3231,2.26,22.29,2.92
2024-05-27,3231,2.23,22.58,2.96
2024-05-28,3231,2.18,23.06,3.02
2024-05-29,3231,2.24,22.48,2.95
2024-05-30,3231,2.28,22.09,2.9
2024-05-31,3231,2.32,21.71,2.85
2024-06-03,3231,2.28,22.09,2.9
2024-06-04,3231,2.31,21.8,2.86
2024-06-05,3231,2.32,21.71,2.85
2024-06-06,3231,2.32,21.71,2.85
