date,stock_id,buy,name,sell,foreign,investment_trust,dealer,dealer_self,dealer_hedging
2024-10-18,1519,17000,Investment_Trust,51000,,,,,
2024-10-18,1519,23146,Dealer_Hedging,17387,,,,,
2024-10-18,1519,1251658,Foreign_Investor,783500,,,,,
2024-10-18,1519,0,Foreign_Dealer_Self,0,,,,,
2024-10-21,1519,482649,Foreign_Investor,581000,,,,,
2024-10-21,1519,0,Foreign_Dealer_Self,0,,,,,
2024-10-21,1519,52000,Investment_Trust,209000,,,,,
2024-10-21,1519,18767,Dealer_self,8461,,,,,
2024-10-21,1519,12000,Dealer_Hedging,11467,,,,,
2024-10-22,1519,34000,Dealer_Hedging,17733,,,,,
2024-10-22,1519,107106,Dealer_self,117548,,,,,
2024-10-22,1519,7000,Investment_Trust,207000,,,,,
2024-10-22,1519,457251,Foreign_Investor,2193376,,,,,
2024-10-22,1519,0,Foreign_Dealer_Self,0,,,,,
2024-10-23,1519,2494143,Foreign_Investor,970625,,,,,
2024-10-23,1519,0,Foreign_Dealer_Self,0,,,,,
2024-10-23,1519,40000,Investment_Trust,55000,,,,,
2024-10-23,1519,29276,Dealer_self,44645,,,,,
2024-10-23,1519,42889,Dealer_Hedging,32300,,,,,
2024-10-24,1519,35859,Dealer_Hedging,18478,,,,,
2024-10-24,1519,40000,Dealer_self,55805,,,,,
2024-10-24,1519,5000,Investment_Trust,279000,,,,,
2024-10-24,1519,532058,Foreign_Investor,2063145,,,,,
2024-10-24,1519,0,Foreign_Dealer_Self,0,,,,,
2024-10-25,1519,1376789,Foreign_Investor,705025,,,,,
2024-10-25,1519,0,Foreign_Dealer_Self,0,,,,,
2024-10-25,1519,14729,Dealer_self,15265,,,,,
2024-10-25,1519,27234,Dealer_Hedging,17000,,,,,
2024-10-25,1519,0,Investment_Trust,313300,,,,,
2024-10-28,1519,22000,Dealer_Hedging,14599,,,,,
2024-10-28,1519,85000,Dealer_self,82118,,,,,
2024-10-28,1519,776527,Foreign_Investor,1329100,,,,,
2024-10-28,1519,0,Foreign_Dealer_Self,0,,,,,
2024-10-28,1519,0,Investment_Trust,39000,,,,,
2024-10-29,1519,875943,Foreign_Investor,869500,,,,,
2024-10-29,1519,0,Foreign_Dealer_Self,0,,,,,
