date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2023-07-17,2375,538903,35363592,65.4,66.7,64.7,66.1,0.1,528
2023-07-18,2375,679888,44540572,66.6,66.7,64.8,64.9,-1.2,619
2023-07-19,2375,384093,24676723,65.1,65.1,63.5,63.7,-1.2,465
2023-07-20,2375,165045,10559504,63.7,64.3,63.6,63.9,0.2,225
2023-07-21,2375,336801,21377363,63.6,64.0,62.9,63.9,0.0,302
2023-07-24,2375,359540,22523202,63.7,63.7,62.3,62.3,-1.6,393
2023-07-25,2375,175083,11039576,63.3,63.5,62.5,63.1,0.8,225
2023-07-26,2375,231984,14621789,63.5,63.6,62.6,62.6,-0.5,300
2023-07-27,2375,491653,31863012,63.2,65.6,63.0,65.0,2.4,509
2023-07-28,2375,291904,19162049,65.6,66.0,64.8,65.5,0.5,339
2023-07-31,2375,284024,18408202,65.5,65.6,64.1,64.3,-1.2,301
2023-08-01,2375,221256,14198142,64.3,65.3,63.8,63.9,-0.4,241
2023-08-02,2375,325377,20599799,63.9,64.6,62.7,62.8,-1.1,331
2023-08-04,2375,414453,26063919,62.8,63.2,62.6,62.8,0.0,400
2023-08-07,2375,232787,14393598,61.8,62.3,61.4,62.2,0.0,247
2023-08-08,2375,197445,12150690,62.1,62.2,61.2,61.2,-1.0,266
2023-08-09,2375,236302,14336141,61.0,61.5,60.2,60.4,-0.8,289
2023-08-10,2375,421998,24873129,60.1,60.1,58.6,58.6,-1.8,417
2023-08-11,2375,218301,12857310,59.2,59.4,58.6,58.8,0.2,214
2023-08-14,2375,283479,16380828,59.2,59.2,57.0,57.5,-1.3,353
2023-08-15,2375,237721,13973287,58.7,59.4,57.9,59.3,1.8,261
2023-08-16,2375,179758,10640268,58.3,59.8,58.3,59.8,0.5,200
2023-08-17,2375,327654,19836984,58.6,61.7,58.6,60.9,1.1,339
2023-08-18,2375,262776,16086355,60.3,61.8,60.3,61.2,0.3,261
2023-08-21,2375,99527,6051775,62.3,62.3,60.5,60.7,-0.5,126
2023-08-22,2375,151493,9213851,60.9,61.3,60.4,60.7,0.0,162
2023-08-23,2375,133396,8174283,60.7,61.8,60.7,61.5,0.8,165
2023-08-24,2375,213441,13177623,61.6,62.8,61.1,61.5,0.0,244
2023-08-25,2375,103340,6331942,60.9,61.7,60.6,61.6,0.1,131
2023-08-28,2375,129208,7970859,61.6,62.4,61.2,61.8,0.2,154
2023-08-29,2375,97884,6051139,61.8,62.3,61.4,62.0,0.2,126
2023-08-30,2375,296509,18656302,62.2,63.3,62.2,62.8,0.8,301
2023-08-31,2375,262253,16680524,62.8,64.2,62.8,63.9,1.1,282
2023-09-01,2375,3318984,223748505,64.0,69.3,63.8,66.7,2.8,2680
2023-09-04,2375,1461323,98231436,66.9,68.2,66.5,66.6,-0.1,1128
2023-09-05,2375,889419,60070392,66.3,68.6,66.2,67.9,1.3,751
2023-09-06,2375,285158,19198836,67.3,68.0,66.9,67.5,-0.4,325
2023-09-07,2375,386485,26085518,67.5,68.1,66.8,67.4,-0.1,338
2023-09-08,2375,310995,20771910,66.8,67.7,66.2,67.7,0.3,334
2023-09-11,2375,386358,26107237,67.7,68.3,67.0,67.5,-0.2,355
2023-09-12,2375,449246,30496458,67.5,68.3,67.1,68.0,0.5,442
2023-09-13,2375,374547,25427159,67.8,68.7,67.4,67.9,-0.1,399
2023-09-14,2375,759668,51941823,68.5,68.8,68.0,68.4,0.5,577
2023-09-15,2375,535238,36726216,68.8,69.0,68.1,68.6,0.2,470
2023-09-18,2375,512243,35336777,68.3,69.3,67.9,68.8,0.2,465
2023-09-19,2375,593082,40532447,68.9,69.6,67.2,67.4,-1.4,570
2023-09-20,2375,196484,13229728,67.7,68.1,66.8,66.9,-0.5,203
2023-09-21,2375,201592,13444481,66.9,67.2,66.1,66.8,-0.1,230
2023-09-22,2375,181981,12144866,66.3,67.2,66.3,66.9,0.1,178
2023-09-25,2375,97382,6517484,67.1,67.2,66.7,66.9,0.0,124
