date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2023-07-17,3380,28459823,1349177496,46.45,48.8,45.8,46.7,0.0,16521
2023-07-18,3380,16910401,753248589,47.55,47.55,42.4,43.2,-3.5,10145
2023-07-19,3380,8529495,367464842,43.5,44.0,42.55,42.9,-0.3,5441
2023-07-20,3380,7416809,323789441,42.85,44.45,42.2,43.8,0.9,5052
2023-07-21,3380,4359738,189797462,42.6,44.15,42.25,43.75,-0.05,2892
2023-07-24,3380,4481852,195523111,43.95,44.2,43.0,43.45,-0.3,3329
2023-07-25,3380,5312572,236372985,44.0,45.0,43.75,44.45,1.0,4207
2023-07-26,3380,4862136,212713151,44.85,44.95,43.05,43.15,-1.3,3536
2023-07-27,3380,3482834,152802830,43.45,44.15,43.3,44.0,0.85,2692
2023-07-28,3380,6208048,263943276,44.0,44.0,41.85,42.9,-1.1,5117
2023-07-31,3380,10494831,467872834,43.5,45.45,43.5,43.9,1.0,6430
2023-08-01,3380,8519058,373252448,44.2,45.45,42.55,42.95,-0.95,5785
2023-08-02,3380,5192373,218165838,43.5,43.5,41.1,41.4,-1.55,3682
2023-08-04,3380,7078268,275233696,38.95,39.95,37.8,39.45,-1.95,4460
2023-08-07,3380,5567484,216334173,39.05,39.95,37.85,39.5,0.05,3638
2023-08-08,3380,3298173,127517308,39.55,39.55,38.05,38.75,-0.75,2365
2023-08-09,3380,2959735,113801475,38.45,39.0,38.1,38.3,-0.45,1936
2023-08-10,3380,2873763,107399321,38.1,38.25,37.0,37.1,-1.2,2049
2023-08-11,3380,2286581,84545612,37.1,37.6,36.65,36.7,-0.4,1619
2023-08-14,3380,3158208,113532756,36.55,36.6,35.55,35.85,-0.85,2103
2023-08-15,3380,2125087,77522306,36.35,36.8,36.2,36.5,0.65,1688
2023-08-16,3380,2289442,82281348,36.1,36.3,35.5,36.1,-0.4,1667
2023-08-17,3380,3921278,145127278,36.1,37.75,35.65,37.75,1.65,2794
2023-08-18,3380,2617576,96802776,37.1,37.8,36.3,36.4,-1.35,1999
2023-08-21,3380,2562457,95319650,36.4,37.65,36.3,37.5,1.1,1703
2023-08-22,3380,6971507,265952930,38.15,38.5,37.5,38.15,0.65,4092
2023-08-23,3380,10462678,409332867,38.6,40.15,38.15,38.9,0.75,6588
2023-08-24,3380,9306028,369423309,39.4,40.65,39.2,39.5,0.6,5828
2023-08-25,3380,4715226,187015196,39.3,40.4,38.8,39.6,0.1,3206
2023-08-28,3380,5337611,209768850,40.2,40.2,38.5,39.0,-0.6,3370
2023-08-29,3380,1810191,70740898,39.2,39.5,38.7,39.15,0.15,1199
2023-08-30,3380,2750106,108131900,39.75,39.85,38.95,39.1,-0.05,1844
2023-08-31,3380,5556278,219663081,39.5,39.75,39.15,39.75,0.65,2789
2023-09-01,3380,3447615,134570165,39.75,39.8,38.6,38.6,-1.15,2309
2023-09-04,3380,1699393,65050187,38.85,38.85,37.7,38.3,-0.3,1298
2023-09-05,3380,1348547,51659336,37.95,38.5,37.9,38.45,0.15,926
2023-09-06,3380,2711409,105365301,38.55,39.05,38.45,38.95,0.5,1612
2023-09-07,3380,1309556,50564164,38.95,39.0,38.35,38.4,-0.55,1281
2023-09-08,3380,1539567,58225520,38.45,38.45,37.5,37.5,-0.9,1133
2023-09-11,3380,2113365,77449779,37.95,37.95,36.3,36.35,-1.15,1354
2023-09-12,3380,9029387,344752789,36.6,38.6,36.5,38.15,1.8,5001
2023-09-13,3380,5209308,200467272,38.0,39.1,37.6,39.0,0.85,3655
2023-09-14,3380,13933072,558566783,39.7,40.65,39.3,40.15,1.15,8261
2023-09-15,3380,6941513,276384571,40.45,40.65,39.35,39.45,-0.7,4587
2023-09-18,3380,3877410,154034555,39.0,40.05,38.75,39.8,0.35,2651
2023-09-19,3380,3832611,151570916,39.5,40.3,38.9,39.25,-0.55,2443
2023-09-20,3380,1953418,76214168,39.0,39.7,38.7,38.8,-0.45,1529
2023-09-21,3380,2360602,89742233,38.75,38.9,37.65,37.85,-0.95,1805
2023-09-22,3380,3459592,133314230,37.8,38.95,37.15,38.95,1.1,2062
2023-09-25,3380,2048880,80789532,39.05,39.65,38.95,39.5,0.55,1463
2023-09-26,3380,1541255,60639238,39.2,39.8,39.05,39.3,-0.2,1050
2023-09-27,3380,1995298,78788625,39.25,39.75,38.8,39.65,0.35,1480
2023-09-28,3380,1684947,66491896,39.6,39.9,39.15,39.35,-0.3,1292
2023-10-02,3380,1677077,66256409,39.45,39.75,39.25,39.65,0.3,1209
2023-10-03,3380,3784575,146978652,39.7,39.9,38.3,38.3,-1.35,2524
2023-10-04,3380,2495905,95951062,38.0,39.1,37.7,38.35,0.05,1632
2023-10-05,3380,3131755,119664414,38.95,39.15,37.7,37.75,-0.6,2289
2023-10-06,3380,2381678,88968362,37.95,38.0,37.15,37.4,-0.35,1728
2023-10-11,3380,4247285,155946742,37.7,37.85,36.55,36.55,-0.85,1730
2023-10-12,3380,1706776,62387224,36.8,36.9,36.3,36.6,0.05,1363
2023-10-13,3380,1809167,66639537,36.8,37.25,36.35,36.6,0.0,1370
2023-10-16,3380,1905101,68217497,36.45,36.45,35.65,35.7,-0.9,1375
2023-10-17,3380,2675489,94746595,36.0,36.1,35.05,35.05,-0.65,1912
2023-10-18,3380,2407722,83162519,35.1,35.25,34.3,34.4,-0.65,1585
2023-10-19,3380,1040138,36082954,34.5,35.05,34.35,34.95,0.55,829
2023-10-20,3380,2265321,77443937,34.9,34.9,33.75,34.45,-0.5,1559
2023-10-23,3380,766492,26567225,34.0,34.9,33.95,34.5,0.05,590
2023-10-24,3380,1097112,38207814,34.5,35.25,34.35,35.25,0.75,836
2023-10-25,3380,1033268,36579370,35.25,35.6,35.2,35.3,0.05,950
2023-10-26,3380,1215687,42059983,34.9,34.95,34.4,34.5,-0.8,982
2023-10-27,3380,1388038,47600050,34.4,34.6,34.0,34.2,-0.3,879
2023-10-30,3380,1415310,49024982,34.55,35.0,34.3,34.7,0.5,960
2023-10-31,3380,9316753,335325607,34.75,36.65,34.75,35.35,0.65,5178
2023-11-01,3380,5983851,203633131,35.5,35.5,33.35,33.55,-1.8,4138
