date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2023-07-17,1316,1801731,21213207,11.75,12.05,11.6,11.85,0.1,589
2023-07-18,1316,813787,9535607,11.85,11.85,11.65,11.7,-0.15,387
2023-07-19,1316,508958,5949142,11.75,11.8,11.65,11.7,0.0,261
2023-07-20,1316,2032164,24169144,11.7,12.05,11.7,11.9,0.2,466
2023-07-21,1316,1377220,16388914,11.8,12.0,11.8,11.85,-0.05,363
2023-07-24,1316,2155973,25123922,11.95,11.95,11.55,11.55,-0.3,610
2023-07-25,1316,1178163,13642886,11.55,11.65,11.5,11.55,0.0,346
2023-07-26,1316,1230353,14397466,11.6,11.8,11.6,11.65,0.1,343
2023-07-27,1316,1489771,17654787,11.7,12.0,11.7,11.95,0.3,430
2023-07-28,1316,1066192,12720346,12.0,12.0,11.85,11.85,-0.1,304
2023-07-31,1316,1074936,12651595,11.85,11.9,11.7,11.75,-0.1,306
2023-08-01,1316,875532,10293687,11.8,11.85,11.7,11.75,0.0,247
2023-08-02,1316,1858557,22384361,11.8,12.15,11.8,11.95,0.2,697
2023-08-04,1316,1083115,13023813,12.1,12.1,11.95,11.95,0.0,311
2023-08-07,1316,998813,11980552,11.95,12.05,11.95,12.0,0.05,235
2023-08-08,1316,2700337,33161251,12.05,12.45,12.05,12.35,0.35,830
2023-08-09,1316,1497179,18328937,12.4,12.4,12.05,12.2,-0.15,572
2023-08-10,1316,1550797,18740009,12.2,12.2,12.0,12.1,-0.1,475
2023-08-11,1316,2316122,27542027,12.0,12.05,11.8,11.95,-0.15,687
2023-08-14,1316,1880162,22018476,11.95,11.95,11.6,11.7,-0.25,448
2023-08-15,1316,1453488,17153632,11.75,11.95,11.7,11.9,0.2,259
2023-08-16,1316,1367706,16111742,11.65,11.85,11.65,11.75,-0.15,279
2023-08-17,1316,1566790,18526553,11.75,12.0,11.65,11.85,0.1,316
2023-08-18,1316,1671942,20041366,11.9,12.15,11.9,11.95,0.1,458
2023-08-21,1316,2099697,25284463,12.05,12.15,11.95,12.05,0.1,471
2023-08-22,1316,3002825,34819096,11.75,11.75,11.45,11.6,0.0,989
2023-08-23,1316,4046898,45154799,11.55,11.55,10.95,11.1,-0.5,1392
2023-08-24,1316,2723377,29402176,11.1,11.1,10.6,10.7,-0.4,963
2023-08-25,1316,850685,9089585,10.7,10.8,10.5,10.75,0.05,370
2023-08-28,1316,736110,7870080,10.75,10.8,10.6,10.8,0.05,336
2023-08-29,1316,367258,3943895,10.8,10.85,10.7,10.7,-0.1,228
2023-08-30,1316,889498,9525564,10.8,10.8,10.65,10.7,0.0,349
2023-08-31,1316,2563698,27226004,10.7,10.8,10.45,10.65,-0.05,638
2023-09-01,1316,1768603,18968781,10.65,10.8,10.65,10.75,0.1,446
2023-09-04,1316,1261087,13644827,10.9,10.9,10.75,10.85,0.1,455
2023-09-05,1316,1297694,14068579,10.85,10.9,10.75,10.85,0.0,456
2023-09-06,1316,2314376,24799146,10.85,10.85,10.65,10.8,-0.05,711
2023-09-07,1316,1251458,13353863,10.75,10.75,10.6,10.65,-0.15,399
2023-09-08,1316,4194136,43798265,10.6,10.65,10.35,10.5,-0.15,1053
2023-09-11,1316,6020746,61710345,10.4,10.4,10.15,10.15,-0.35,1077
2023-09-12,1316,5314783,54130514,10.2,10.3,10.1,10.2,0.05,885
2023-09-13,1316,3798371,39497795,10.25,10.6,10.2,10.35,0.15,957
2023-09-14,1316,1703170,17615817,10.45,10.45,10.25,10.3,-0.05,507
2023-09-15,1316,8041892,86603761,10.75,11.0,10.4,10.8,0.5,2012
2023-09-18,1316,2076113,22581288,10.9,11.0,10.8,10.85,0.05,768
2023-09-19,1316,1657237,17680001,10.85,10.85,10.6,10.6,-0.25,593
2023-09-20,1316,15809915,166146535,10.45,10.8,10.4,10.6,0.0,3203
2023-09-21,1316,4480300,48073249,10.75,10.95,10.6,10.65,0.05,1439
