date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2023-07-17,3036,文曄,TW0003036000,790482477,96063674,89.16,10.83,100.0,100.0,886546151,2023-05-25,
2023-07-18,3036,文曄,TW0003036000,790235477,96310674,89.13,10.86,100.0,100.0,886546151,2023-05-25,
2023-07-19,3036,文曄,TW0003036000,790501477,96044674,89.16,10.83,100.0,100.0,886546151,2023-05-25,
2023-07-20,3036,文曄,TW0003036000,790788476,95757675,89.19,10.8,100.0,100.0,886546151,2023-05-25,
2023-07-21,3036,文曄,TW0003036000,791063476,95482675,89.22,10.77,100.0,100.0,886546151,2023-05-25,
2023-07-24,3036,文曄,TW0003036000,791295476,95250675,89.25,10.74,100.0,100.0,886546151,2023-05-25,
2023-07-25,3036,文曄,TW0003036000,791540757,95005394,89.28,10.71,100.0,100.0,886546151,2023-05-25,
2023-07-26,3036,文曄,TW0003036000,791971076,94575075,89.33,10.66,100.0,100.0,886546151,2023-05-25,
2023-07-27,3036,文曄,TW0003036000,792507166,94038985,89.39,10.6,100.0,100.0,886546151,2023-05-25,
2023-07-28,3036,文曄,TW0003036000,792971296,93574855,89.44,10.55,100.0,100.0,886546151,2023-05-25,
2023-07-31,3036,文曄,TW0003036000,793431273,93114878,89.49,10.5,100.0,100.0,886546151,2023-05-25,
2023-08-01,3036,文曄,TW0003036000,793597372,92948779,89.51,10.48,100.0,100.0,886546151,2023-05-25,
2023-08-02,3036,文曄,TW0003036000,793957920,92588231,89.55,10.44,100.0,100.0,886546151,2023-05-25,
2023-08-04,3036,文曄,TW0003036000,793639140,92907011,89.52,10.47,100.0,100.0,886546151,2023-05-25,
2023-08-07,3036,文曄,TW0003036000,791756230,94789921,89.3,10.69,100.0,100.0,886546151,2023-05-25,
2023-08-08,3036,文曄,TW0003036000,792346228,94199923,89.37,10.62,100.0,100.0,886546151,2023-05-25,
2023-08-09,3036,文曄,TW0003036000,789728358,96817793,89.07,10.92,100.0,100.0,886546151,2023-05-25,
2023-08-10,3036,文曄,TW0003036000,790249358,96296793,89.13,10.86,100.0,100.0,886546151,2023-05-25,
2023-08-11,3036,文曄,TW0003036000,790750288,95795863,89.19,10.8,100.0,100.0,886546151,2023-05-25,
2023-08-14,3036,文曄,TW0003036000,790644703,95901448,89.18,10.81,100.0,100.0,886546151,2023-05-25,
2023-08-15,3036,文曄,TW0003036000,791325754,95220397,89.25,10.74,100.0,100.0,886546151,2023-05-25,
2023-08-16,3036,文曄,TW0003036000,790488515,96057636,89.16,10.83,100.0,100.0,886546151,2023-05-25,
2023-08-17,3036,文曄,TW0003036000,791344577,95201574,89.26,10.73,100.0,100.0,886546151,2023-05-25,
2023-08-18,3036,文曄,TW0003036000,787964421,98581730,88.88,11.11,100.0,100.0,886546151,2023-05-25,
2023-08-21,3036,文曄,TW0003036000,787231854,99313169,88.79,11.2,100.0,100.0,886546151,2023-05-25,
2023-08-22,3036,文曄,TW0003036000,786694551,99850472,88.73,11.26,100.0,100.0,886546151,2023-05-25,
2023-08-23,3036,文曄,TW0003036000,785979056,100565967,88.65,11.34,100.0,100.0,886546151,2023-05-25,
2023-08-24,3036,文曄,TW0003036000,786188485,100607538,88.65,11.34,100.0,100.0,886797151,2023-08-24, <a href='https://mops.twse.com.tw/mops/web/t98sb02' target=_blank>2</a>
2023-08-25,3036,文曄,TW0003036000,785938645,100856878,88.62,11.37,100.0,100.0,886797151,2023-08-24,
2023-08-28,3036,文曄,TW0003036000,785931645,100863878,88.62,11.37,100.0,100.0,886797151,2023-08-24,
2023-08-29,3036,文曄,TW0003036000,786016645,100778878,88.63,11.36,100.0,100.0,886797151,2023-08-24,
2023-08-30,3036,文曄,TW0003036000,785956645,100811878,88.62,11.36,100.0,100.0,886797151,2023-08-24,
