date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2023-07-17,2239,英利-KY,KYG1991F1081,27350205,91646219,22.98,77.01,100.0,28.5,118996424,2023-05-26,
2023-07-18,2239,英利-KY,KYG1991F1081,27398205,91598219,23.02,76.97,100.0,28.5,118996424,2023-05-26,
2023-07-19,2239,英利-KY,KYG1991F1081,27451205,91545219,23.06,76.93,100.0,28.5,118996424,2023-05-26,
2023-07-20,2239,英利-KY,KYG1991F1081,27454205,91542219,23.07,76.92,100.0,28.5,118996424,2023-05-26,
2023-07-21,2239,英利-KY,KYG1991F1081,27447205,91549219,23.06,76.93,100.0,28.5,118996424,2023-05-26,
2023-07-24,2239,英利-KY,KYG1991F1081,27498205,91498219,23.1,76.89,100.0,28.5,118996424,2023-05-26,
2023-07-25,2239,英利-KY,KYG1991F1081,27535466,91460958,23.13,76.86,100.0,28.5,118996424,2023-05-26,
2023-07-26,2239,英利-KY,KYG1991F1081,27587793,91408631,23.18,76.81,100.0,28.5,118996424,2023-05-26,
2023-07-27,2239,英利-KY,KYG1991F1081,27471793,91524631,23.08,76.91,100.0,28.5,118996424,2023-05-26,
2023-07-28,2239,英利-KY,KYG1991F1081,27470793,91525631,23.08,76.91,100.0,28.5,118996424,2023-05-26,
2023-07-31,2239,英利-KY,KYG1991F1081,27418793,91577631,23.04,76.95,100.0,28.5,118996424,2023-05-26,
2023-08-01,2239,英利-KY,KYG1991F1081,27428793,91567631,23.05,76.94,100.0,28.5,118996424,2023-05-26,
2023-08-02,2239,英利-KY,KYG1991F1081,27454793,91541631,23.07,76.92,100.0,28.5,118996424,2023-05-26,
2023-08-04,2239,英利-KY,KYG1991F1081,27450793,91545631,23.06,76.93,100.0,28.5,118996424,2023-05-26,
2023-08-07,2239,英利-KY,KYG1991F1081,27458793,91537631,23.07,76.92,100.0,28.5,118996424,2023-05-26,
2023-08-08,2239,英利-KY,KYG1991F1081,27550793,91445631,23.15,76.84,100.0,28.5,118996424,2023-05-26,
2023-08-09,2239,英利-KY,KYG1991F1081,27563793,91432631,23.16,76.83,100.0,28.5,118996424,2023-05-26,
2023-08-10,2239,英利-KY,KYG1991F1081,27574793,91421631,23.17,76.82,100.0,28.5,118996424,2023-05-26,
2023-08-11,2239,英利-KY,KYG1991F1081,27588793,91407631,23.18,76.81,100.0,28.5,118996424,2023-05-26,
2023-08-14,2239,英利-KY,KYG1991F1081,27600793,91395631,23.19,76.8,100.0,28.5,118996424,2023-05-26,
2023-08-15,2239,英利-KY,KYG1991F1081,27616793,91379631,23.2,76.79,100.0,28.5,118996424,2023-05-26,
2023-08-16,2239,英利-KY,KYG1991F1081,27622793,91373631,23.21,76.78,100.0,28.5,118996424,2023-05-26,
2023-08-17,2239,英利-KY,KYG1991F1081,27611793,91384631,23.2,76.79,100.0,28.5,118996424,2023-05-26,
2023-08-18,2239,英利-KY,KYG1991F1081,27597793,91398631,23.19,76.8,100.0,28.5,118996424,2023-05-26,
2023-08-21,2239,英利-KY,KYG1991F1081,27616793,91379631,23.2,76.79,100.0,28.5,118996424,2023-05-26,
2023-08-22,2239,英利-KY,KYG1991F1081,27623793,91372631,23.21,76.78,100.0,28.5,118996424,2023-05-26,
2023-08-23,2239,英利-KY,KYG1991F1081,27636793,91359631,23.22,76.77,100.0,28.5,118996424,2023-05-26,
2023-08-24,2239,英利-KY,KYG1991F1081,27645793,91350631,23.23,76.76,100.0,28.5,118996424,2023-05-26,
2023-08-25,2239,英利-KY,KYG1991F1081,27640793,91355631,23.22,76.77,100.0,28.5,118996424,2023-05-26,
2023-08-28,2239,英利-KY,KYG1991F1081,27632793,91363631,23.22,76.77,100.0,28.5,118996424,2023-05-26,
2023-08-29,2239,英利-KY,KYG1991F1081,27629793,91366631,23.21,76.78,100.0,28.5,118996424,2023-05-26,
2023-08-30,2239,英利-KY,KYG1991F1081,27632793,91363631,23.22,76.77,100.0,28.5,118996424,2023-05-26,
2023-08-31,2239,英利-KY,KYG1991F1081,27660793,91335631,23.24,76.75,100.0,28.5,118996424,2023-05-26,
2023-09-01,2239,英利-KY,KYG1991F1081,27673793,91322631,23.25,76.74,100.0,28.5,118996424,2023-05-26,
2023-09-04,2239,英利-KY,KYG1991F1081,27660793,91335631,23.24,76.75,100.0,28.5,118996424,2023-05-26,
2023-09-05,2239,英利-KY,KYG1991F1081,27682793,91313631,23.26,76.73,100.0,28.5,118996424,2023-05-26,
2023-09-06,2239,英利-KY,KYG1991F1081,27715793,91280631,23.29,76.7,100.0,28.5,118996424,2023-05-26,
2023-09-07,2239,英利-KY,KYG1991F1081,27780793,91215631,23.34,76.65,100.0,28.5,118996424,2023-05-26,
2023-09-08,2239,英利-KY,KYG1991F1081,27836793,91159631,23.39,76.6,100.0,28.5,118996424,2023-05-26,
2023-09-11,2239,英利-KY,KYG1991F1081,27860793,91135631,23.41,76.58,100.0,28.5,118996424,2023-05-26,
2023-09-12,2239,英利-KY,KYG1991F1081,27821793,91174631,23.38,76.61,100.0,28.5,118996424,2023-05-26,
2023-09-13,2239,英利-KY,KYG1991F1081,27815793,91180631,23.37,76.62,100.0,28.5,118996424,2023-05-26,
2023-09-14,2239,英利-KY,KYG1991F1081,27832793,91163631,23.38,76.61,100.0,28.5,118996424,2023-05-26,
2023-09-15,2239,英利-KY,KYG1991F1081,27849793,91146631,23.4,76.59,100.0,28.5,118996424,2023-05-26,
2023-09-18,2239,英利-KY,KYG1991F1081,27864793,91131631,23.41,76.58,100.0,28.5,118996424,2023-05-26,
2023-09-19,2239,英利-KY,KYG1991F1081,27867793,91128631,23.41,76.58,100.0,28.5,118996424,2023-05-26,
2023-09-20,2239,英利-KY,KYG1991F1081,27867793,91128631,23.41,76.58,100.0,28.5,118996424,2023-05-26,
2023-09-21,2239,英利-KY,KYG1991F1081,27887793,91108631,23.43,76.56,100.0,28.5,118996424,2023-05-26,
2023-09-22,2239,英利-KY,KYG1991F1081,27884793,91111631,23.43,76.56,100.0,28.5,118996424,2023-05-26,
2023-09-25,2239,英利-KY,KYG1991F1081,27910793,91085631,23.45,76.54,100.0,28.5,118996424,2023-05-26,
2023-09-26,2239,英利-KY,KYG1991F1081,27947793,91048631,23.48,76.51,100.0,28.5,118996424,2023-05-26,
2023-09-27,2239,英利-KY,KYG1991F1081,27934793,91061631,23.47,76.52,100.0,28.5,118996424,2023-05-26,
2023-09-28,2239,英利-KY,KYG1991F1081,27969793,91026631,23.5,76.49,100.0,28.5,118996424,2023-05-26,
2023-10-02,2239,英利-KY,KYG1991F1081,27970793,91025631,23.5,76.49,100.0,28.5,118996424,2023-05-26,
2023-10-03,2239,英利-KY,KYG1991F1081,28001185,90995239,23.53,76.46,100.0,28.5,118996424,2023-05-26,
2023-10-04,2239,英利-KY,KYG1991F1081,28016185,90980239,23.54,76.45,100.0,28.5,118996424,2023-05-26,
2023-10-05,2239,英利-KY,KYG1991F1081,28014185,90982239,23.54,76.45,100.0,28.5,118996424,2023-05-26,
2023-10-06,2239,英利-KY,KYG1991F1081,28025185,90971239,23.55,76.44,100.0,28.5,118996424,2023-05-26,
2023-10-11,2239,英利-KY,KYG1991F1081,28037185,90959239,23.56,76.43,100.0,28.5,118996424,2023-05-26,
2023-10-12,2239,英利-KY,KYG1991F1081,28044185,90952239,23.56,76.43,100.0,28.5,118996424,2023-05-26,
2023-10-13,2239,英利-KY,KYG1991F1081,28047185,90949239,23.56,76.43,100.0,28.5,118996424,2023-05-26,
2023-10-16,2239,英利-KY,KYG1991F1081,28066185,90930239,23.58,76.41,100.0,28.5,118996424,2023-05-26,
2023-10-17,2239,英利-KY,KYG1991F1081,28069185,90927239,23.58,76.41,100.0,28.5,118996424,2023-05-26,
2023-10-18,2239,英利-KY,KYG1991F1081,28068185,90928239,23.58,76.41,100.0,28.5,118996424,2023-05-26,
2023-10-19,2239,英利-KY,KYG1991F1081,28075185,90921239,23.59,76.4,100.0,28.5,118996424,2023-05-26,
2023-10-20,2239,英利-KY,KYG1991F1081,28108185,90888239,23.62,76.37,100.0,28.5,118996424,2023-05-26,
2023-10-23,2239,英利-KY,KYG1991F1081,28096185,90900239,23.61,76.38,100.0,28.5,118996424,2023-05-26,
2023-10-24,2239,英利-KY,KYG1991F1081,28094185,90902239,23.6,76.39,100.0,28.5,118996424,2023-05-26,
2023-10-25,2239,英利-KY,KYG1991F1081,28119185,90877239,23.63,76.36,100.0,28.5,118996424,2023-05-26,
2023-10-26,2239,英利-KY,KYG1991F1081,28145185,90851239,23.65,76.34,100.0,28.5,118996424,2023-05-26,
2023-10-27,2239,英利-KY,KYG1991F1081,28153185,90843239,23.65,76.34,100.0,28.5,118996424,2023-05-26,
2023-10-30,2239,英利-KY,KYG1991F1081,28150185,90846239,23.65,76.34,100.0,28.5,118996424,2023-05-26,
