date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2023-07-17,1721,三晃,TW0001721009,182245405,2638687,98.57,1.42,100.0,100.0,184884092,2023-05-16,
2023-07-18,1721,三晃,TW0001721009,182546405,2337687,98.73,1.26,100.0,100.0,184884092,2023-05-16,
2023-07-19,1721,三晃,TW0001721009,182616405,2267687,98.77,1.22,100.0,100.0,184884092,2023-05-16,
2023-07-20,1721,三晃,TW0001721009,182490405,2393687,98.7,1.29,100.0,100.0,184884092,2023-05-16,
2023-07-21,1721,三晃,TW0001721009,182828405,2055687,98.88,1.11,100.0,100.0,184884092,2023-05-16,
2023-07-24,1721,三晃,TW0001721009,183430405,1453687,99.21,0.78,100.0,100.0,184884092,2023-05-16,
2023-07-25,1721,三晃,TW0001721009,182969405,1914687,98.96,1.03,100.0,100.0,184884092,2023-05-16,
2023-07-26,1721,三晃,TW0001721009,183034405,1849687,98.99,1.0,100.0,100.0,184884092,2023-05-16,
2023-07-27,1721,三晃,TW0001721009,182698405,2185687,98.81,1.18,100.0,100.0,184884092,2023-05-16,
2023-07-28,1721,三晃,TW0001721009,182837405,2046687,98.89,1.1,100.0,100.0,184884092,2023-05-16,
2023-07-31,1721,三晃,TW0001721009,182748405,2135687,98.84,1.15,100.0,100.0,184884092,2023-05-16,
2023-08-01,1721,三晃,TW0001721009,182708405,2175687,98.82,1.17,100.0,100.0,184884092,2023-05-16,
2023-08-02,1721,三晃,TW0001721009,182506405,2377687,98.71,1.28,100.0,100.0,184884092,2023-05-16,
2023-08-04,1721,三晃,TW0001721009,182416405,2467687,98.66,1.33,100.0,100.0,184884092,2023-05-16,
2023-08-07,1721,三晃,TW0001721009,182332405,2551687,98.61,1.38,100.0,100.0,184884092,2023-05-16,
2023-08-08,1721,三晃,TW0001721009,182434405,2449687,98.67,1.32,100.0,100.0,184884092,2023-05-16,
2023-08-09,1721,三晃,TW0001721009,182708405,2175687,98.82,1.17,100.0,100.0,184884092,2023-05-16,
2023-08-10,1721,三晃,TW0001721009,182821405,2062687,98.88,1.11,100.0,100.0,184884092,2023-05-16,
2023-08-11,1721,三晃,TW0001721009,182865405,2018687,98.9,1.09,100.0,100.0,184884092,2023-05-16,
2023-08-14,1721,三晃,TW0001721009,182641355,2242737,98.78,1.21,100.0,100.0,184884092,2023-05-16,
2023-08-15,1721,三晃,TW0001721009,182449355,2434737,98.68,1.31,100.0,100.0,184884092,2023-05-16,
2023-08-16,1721,三晃,TW0001721009,182296355,2587737,98.6,1.39,100.0,100.0,184884092,2023-05-16,
2023-08-17,1721,三晃,TW0001721009,182131355,2752737,98.51,1.48,100.0,100.0,184884092,2023-05-16,
2023-08-18,1721,三晃,TW0001721009,182196355,2687737,98.54,1.45,100.0,100.0,184884092,2023-05-16,
2023-08-21,1721,三晃,TW0001721009,182230355,2653737,98.56,1.43,100.0,100.0,184884092,2023-05-16,
2023-08-22,1721,三晃,TW0001721009,182324355,2559737,98.61,1.38,100.0,100.0,184884092,2023-05-16,
2023-08-23,1721,三晃,TW0001721009,182319335,2564757,98.61,1.38,100.0,100.0,184884092,2023-05-16,
2023-08-24,1721,三晃,TW0001721009,182391335,2492757,98.65,1.34,100.0,100.0,184884092,2023-05-16,
2023-08-25,1721,三晃,TW0001721009,182250335,2633757,98.57,1.42,100.0,100.0,184884092,2023-05-16,
2023-08-28,1721,三晃,TW0001721009,182413335,2470757,98.66,1.33,100.0,100.0,184884092,2023-05-16,
2023-08-29,1721,三晃,TW0001721009,182386335,2497757,98.64,1.35,100.0,100.0,184884092,2023-05-16,
2023-08-30,1721,三晃,TW0001721009,182299335,2584757,98.6,1.39,100.0,100.0,184884092,2023-05-16,
2023-08-31,1721,三晃,TW0001721009,182171335,2712757,98.53,1.46,100.0,100.0,184884092,2023-05-16,
2023-09-01,1721,三晃,TW0001721009,182140335,2743757,98.51,1.48,100.0,100.0,184884092,2023-05-16,
2023-09-04,1721,三晃,TW0001721009,182200335,2683757,98.54,1.45,100.0,100.0,184884092,2023-05-16,
2023-09-05,1721,三晃,TW0001721009,182175335,2708757,98.53,1.46,100.0,100.0,184884092,2023-05-16,
2023-09-06,1721,三晃,TW0001721009,182322335,2561757,98.61,1.38,100.0,100.0,184884092,2023-05-16,
2023-09-07,1721,三晃,TW0001721009,182300335,2583757,98.6,1.39,100.0,100.0,184884092,2023-05-16,
2023-09-08,1721,三晃,TW0001721009,182313335,2570757,98.6,1.39,100.0,100.0,184884092,2023-05-16,
2023-09-11,1721,三晃,TW0001721009,182335335,2548757,98.62,1.37,100.0,100.0,184884092,2023-05-16,
2023-09-12,1721,三晃,TW0001721009,182243335,2640757,98.57,1.42,100.0,100.0,184884092,2023-05-16,
2023-09-13,1721,三晃,TW0001721009,181945335,2938757,98.41,1.58,100.0,100.0,184884092,2023-05-16,
2023-09-14,1721,三晃,TW0001721009,181925335,2958757,98.39,1.6,100.0,100.0,184884092,2023-05-16,
2023-09-15,1721,三晃,TW0001721009,181996335,2887757,98.43,1.56,100.0,100.0,184884092,2023-05-16,
2023-09-18,1721,三晃,TW0001721009,181788335,3095757,98.32,1.67,100.0,100.0,184884092,2023-05-16,
2023-09-19,1721,三晃,TW0001721009,181744335,3139757,98.3,1.69,100.0,100.0,184884092,2023-05-16,
2023-09-20,1721,三晃,TW0001721009,181851285,3032807,98.35,1.64,100.0,100.0,184884092,2023-05-16,
2023-09-21,1721,三晃,TW0001721009,181921285,2962807,98.39,1.6,100.0,100.0,184884092,2023-05-16,
2023-09-22,1721,三晃,TW0001721009,181812285,3071807,98.33,1.66,100.0,100.0,184884092,2023-05-16,
2023-09-25,1721,三晃,TW0001721009,181595285,3288807,98.22,1.77,100.0,100.0,184884092,2023-05-16,
2023-09-26,1721,三晃,TW0001721009,181584285,3299807,98.21,1.78,100.0,100.0,184884092,2023-05-16,
2023-09-27,1721,三晃,TW0001721009,181871285,3012807,98.37,1.62,100.0,100.0,184884092,2023-05-16,
2023-09-28,1721,三晃,TW0001721009,181718285,3165807,98.28,1.71,100.0,100.0,184884092,2023-05-16,
2023-10-02,1721,三晃,TW0001721009,181700285,3183807,98.27,1.72,100.0,100.0,184884092,2023-05-16,
2023-10-03,1721,三晃,TW0001721009,181179285,3704807,97.99,2.0,100.0,100.0,184884092,2023-05-16,
2023-10-04,1721,三晃,TW0001721009,180857285,4026807,97.82,2.17,100.0,100.0,184884092,2023-05-16,
2023-10-05,1721,三晃,TW0001721009,180843285,4040807,97.81,2.18,100.0,100.0,184884092,2023-05-16,
2023-10-06,1721,三晃,TW0001721009,180638285,4245807,97.7,2.29,100.0,100.0,184884092,2023-05-16,
2023-10-11,1721,三晃,TW0001721009,180705285,4178807,97.73,2.26,100.0,100.0,184884092,2023-05-16,
2023-10-12,1721,三晃,TW0001721009,180695285,4188807,97.73,2.26,100.0,100.0,184884092,2023-05-16,
2023-10-13,1721,三晃,TW0001721009,180598285,4285807,97.68,2.31,100.0,100.0,184884092,2023-05-16,
2023-10-16,1721,三晃,TW0001721009,180562285,4321807,97.66,2.33,100.0,100.0,184884092,2023-05-16,
2023-10-17,1721,三晃,TW0001721009,180593285,4290807,97.67,2.32,100.0,100.0,184884092,2023-05-16,
2023-10-18,1721,三晃,TW0001721009,180581285,4302807,97.67,2.32,100.0,100.0,184884092,2023-05-16,
2023-10-19,1721,三晃,TW0001721009,180583285,4300807,97.67,2.32,100.0,100.0,184884092,2023-05-16,
2023-10-20,1721,三晃,TW0001721009,180645285,4238807,97.7,2.29,100.0,100.0,184884092,2023-05-16,
2023-10-23,1721,三晃,TW0001721009,180526285,4357807,97.64,2.35,100.0,100.0,184884092,2023-05-16,
2023-10-24,1721,三晃,TW0001721009,181166285,3717807,97.98,2.01,100.0,100.0,184884092,2023-05-16,
2023-10-25,1721,三晃,TW0001721009,180800285,4083807,97.79,2.2,100.0,100.0,184884092,2023-05-16,
2023-10-26,1721,三晃,TW0001721009,180919493,3964599,97.85,2.14,100.0,100.0,184884092,2023-05-16,
2023-10-27,1721,三晃,TW0001721009,179225493,5658599,96.93,3.06,100.0,100.0,184884092,2023-05-16,
2023-10-30,1721,三晃,TW0001721009,179861493,5022599,97.28,2.71,100.0,100.0,184884092,2023-05-16,
2023-10-31,1721,三晃,TW0001721009,179442493,5441599,97.05,2.94,100.0,100.0,184884092,2023-05-16,
2023-11-01,1721,三晃,TW0001721009,179231493,5652599,96.94,3.05,100.0,100.0,184884092,2023-05-16,
2023-11-02,1721,三晃,TW0001721009,179059493,5824599,96.84,3.15,100.0,100.0,184884092,2023-05-16,
2023-11-03,1721,三晃,TW0001721009,179476493,5407599,97.07,2.92,100.0,100.0,184884092,2023-05-16,
2023-11-06,1721,三晃,TW0001721009,181477493,3406599,98.15,1.84,100.0,100.0,184884092,2023-05-16,
2023-11-07,1721,三晃,TW0001721009,181699493,3184599,98.27,1.72,100.0,100.0,184884092,2023-05-16,
2023-11-08,1721,三晃,TW0001721009,181954493,2929599,98.41,1.58,100.0,100.0,184884092,2023-05-16,
2023-11-09,1721,三晃,TW0001721009,181084493,3799599,97.94,2.05,100.0,100.0,184884092,2023-05-16,
2023-11-10,1721,三晃,TW0001721009,181867493,3016599,98.36,1.63,100.0,100.0,184884092,2023-05-16,
2023-11-13,1721,三晃,TW0001721009,182157493,2726599,98.52,1.47,100.0,100.0,184884092,2023-05-16,
2023-11-14,1721,三晃,TW0001721009,181863493,3020599,98.36,1.63,100.0,100.0,184884092,2023-05-16,
2023-11-15,1721,三晃,TW0001721009,181403493,3480599,98.11,1.88,100.0,100.0,184884092,2023-05-16,
2023-11-16,1721,三晃,TW0001721009,181214493,3669599,98.01,1.98,100.0,100.0,184884092,2023-05-16,
2023-11-17,1721,三晃,TW0001721009,181845493,3038599,98.35,1.64,100.0,100.0,184884092,2023-05-16,
2023-11-20,1721,三晃,TW0001721009,180950493,3933599,97.87,2.12,100.0,100.0,184884092,2023-05-16,
2023-11-21,1721,三晃,TW0001721009,180801493,4082599,97.79,2.2,100.0,100.0,184884092,2023-05-16,
2023-11-22,1721,三晃,TW0001721009,180797492,4086600,97.78,2.21,100.0,100.0,184884092,2023-05-16,
2023-11-23,1721,三晃,TW0001721009,180942492,3941600,97.86,2.13,100.0,100.0,184884092,2023-05-16,
2023-11-24,1721,三晃,TW0001721009,180819492,4064600,97.8,2.19,100.0,100.0,184884092,2023-05-16,
2023-11-27,1721,三晃,TW0001721009,180171492,4712600,97.45,2.54,100.0,100.0,184884092,2023-05-16,
2023-11-28,1721,三晃,TW0001721009,179848492,5035600,97.27,2.72,100.0,100.0,184884092,2023-05-16,
2023-11-29,1721,三晃,TW0001721009,180020492,4863600,97.36,2.63,100.0,100.0,184884092,2023-05-16,
2023-11-30,1721,三晃,TW0001721009,179573492,5310600,97.12,2.87,100.0,100.0,184884092,2023-05-16,
2023-12-01,1721,三晃,TW0001721009,180066492,4817600,97.39,2.6,100.0,100.0,184884092,2023-05-16,
2023-12-04,1721,三晃,TW0001721009,180070492,4813600,97.39,2.6,100.0,100.0,184884092,2023-05-16,
2023-12-05,1721,三晃,TW0001721009,179531392,5352700,97.1,2.89,100.0,100.0,184884092,2023-05-16,
2023-12-06,1721,三晃,TW0001721009,179846392,5037700,97.27,2.72,100.0,100.0,184884092,2023-05-16,
2023-12-07,1721,三晃,TW0001721009,179984392,4899700,97.34,2.65,100.0,100.0,184884092,2023-05-16,
2023-12-08,1721,三晃,TW0001721009,180745392,4138700,97.76,2.23,100.0,100.0,184884092,2023-05-16,
2023-12-11,1721,三晃,TW0001721009,180861392,4022700,97.82,2.17,100.0,100.0,184884092,2023-05-16,
2023-12-12,1721,三晃,TW0001721009,180963392,3920700,97.87,2.12,100.0,100.0,184884092,2023-05-16,
2023-12-13,1721,三晃,TW0001721009,180847392,4036700,97.81,2.18,100.0,100.0,184884092,2023-05-16,
2023-12-14,1721,三晃,TW0001721009,180917392,3966700,97.85,2.14,100.0,100.0,184884092,2023-05-16,
2023-12-15,1721,三晃,TW0001721009,180801392,4082700,97.79,2.2,100.0,100.0,184884092,2023-05-16,
2023-12-18,1721,三晃,TW0001721009,180810392,4073700,97.79,2.2,100.0,100.0,184884092,2023-05-16,
2023-12-19,1721,三晃,TW0001721009,180692392,4191700,97.73,2.26,100.0,100.0,184884092,2023-05-16,
2023-12-20,1721,三晃,TW0001721009,180596392,4287700,97.68,2.31,100.0,100.0,184884092,2023-05-16,
2023-12-21,1721,三晃,TW0001721009,181053392,3830700,97.92,2.07,100.0,100.0,184884092,2023-05-16,
2023-12-22,1721,三晃,TW0001721009,181093392,3790700,97.94,2.05,100.0,100.0,184884092,2023-05-16,
2023-12-25,1721,三晃,TW0001721009,180954392,3929700,97.87,2.12,100.0,100.0,184884092,2023-05-16,
2023-12-26,1721,三晃,TW0001721009,180605392,4278700,97.68,2.31,100.0,100.0,184884092,2023-05-16,
