date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2023-07-17,2033,佳大,TW0002033008,80008265,686271,99.14,0.85,100.0,100.0,80694536,2023-06-12,
2023-07-18,2033,佳大,TW0002033008,80018265,676271,99.16,0.83,100.0,100.0,80694536,2023-06-12,
2023-07-19,2033,佳大,TW0002033008,80014265,680271,99.15,0.84,100.0,100.0,80694536,2023-06-12,
2023-07-20,2033,佳大,TW0002033008,80013265,681271,99.15,0.84,100.0,100.0,80694536,2023-06-12,
2023-07-21,2033,佳大,TW0002033008,80009265,685271,99.15,0.84,100.0,100.0,80694536,2023-06-12,
2023-07-24,2033,佳大,TW0002033008,80016265,678271,99.15,0.84,100.0,100.0,80694536,2023-06-12,
2023-07-25,2033,佳大,TW0002033008,80014265,680271,99.15,0.84,100.0,100.0,80694536,2023-06-12,
2023-07-26,2033,佳大,TW0002033008,80010265,684271,99.15,0.84,100.0,100.0,80694536,2023-06-12,
2023-07-27,2033,佳大,TW0002033008,80013265,681271,99.15,0.84,100.0,100.0,80694536,2023-06-12,
2023-07-28,2033,佳大,TW0002033008,80017265,677271,99.16,0.83,100.0,100.0,80694536,2023-06-12,
2023-07-31,2033,佳大,TW0002033008,80019265,675271,99.16,0.83,100.0,100.0,80694536,2023-06-12,
2023-08-01,2033,佳大,TW0002033008,80028265,666271,99.17,0.82,100.0,100.0,80694536,2023-06-12,
2023-08-02,2033,佳大,TW0002033008,80010265,684271,99.15,0.84,100.0,100.0,80694536,2023-06-12,
2023-08-04,2033,佳大,TW0002033008,80014265,680271,99.15,0.84,100.0,100.0,80694536,2023-06-12,
2023-08-07,2033,佳大,TW0002033008,80015265,679271,99.15,0.84,100.0,100.0,80694536,2023-06-12,
2023-08-08,2033,佳大,TW0002033008,80017265,677271,99.16,0.83,100.0,100.0,80694536,2023-06-12,
2023-08-09,2033,佳大,TW0002033008,80017265,677271,99.16,0.83,100.0,100.0,80694536,2023-06-12,
2023-08-10,2033,佳大,TW0002033008,80020265,674271,99.16,0.83,100.0,100.0,80694536,2023-06-12,
2023-08-11,2033,佳大,TW0002033008,80020265,674271,99.16,0.83,100.0,100.0,80694536,2023-06-12,
2023-08-14,2033,佳大,TW0002033008,80019265,675271,99.16,0.83,100.0,100.0,80694536,2023-06-12,
2023-08-15,2033,佳大,TW0002033008,80008265,686271,99.14,0.85,100.0,100.0,80694536,2023-06-12,
2023-08-16,2033,佳大,TW0002033008,80009265,685271,99.15,0.84,100.0,100.0,80694536,2023-06-12,
2023-08-17,2033,佳大,TW0002033008,80011265,683271,99.15,0.84,100.0,100.0,80694536,2023-06-12,
2023-08-18,2033,佳大,TW0002033008,80007265,687271,99.14,0.85,100.0,100.0,80694536,2023-06-12,
2023-08-21,2033,佳大,TW0002033008,80008265,686271,99.14,0.85,100.0,100.0,80694536,2023-06-12,
2023-08-22,2033,佳大,TW0002033008,80006265,688271,99.14,0.85,100.0,100.0,80694536,2023-06-12,
