date,stock_id,country,revenue,revenue_month,revenue_year
2024-09-01,3380,Taiwan,1505533000,8,2024
2024-10-01,3380,Taiwan,1909565000,9,2024
2024-11-01,3380,Taiwan,1770171000,10,2024
2024-12-01,3380,Taiwan,1413401000,11,2024
2025-01-01,3380,Taiwan,2444416000,12,2024
2025-02-01,3380,Taiwan,1447372000,1,2025
2025-03-01,3380,Taiwan,1417063000,2,2025
2025-04-01,3380,Taiwan,1659723000,3,2025
2025-05-01,3380,Taiwan,1583849000,4,2025
2025-06-01,3380,Taiwan,1956543000,5,2025
2025-07-01,3380,Taiwan,2153618000,6,2025
2025-08-01,3380,Taiwan,1781219000,7,2025
2025-09-01,3380,Taiwan,1787191000,8,2025
