date,stock_id,country,revenue,revenue_month,revenue_year
2024-09-01,2375,Taiwan,453199000,8,2024
2024-10-01,2375,Taiwan,473833000,9,2024
2024-11-01,2375,Taiwan,409006000,10,2024
2024-12-01,2375,Taiwan,423880000,11,2024
2025-01-01,2375,Taiwan,433852000,12,2024
2025-02-01,2375,Taiwan,427698000,1,2025
2025-03-01,2375,Taiwan,385616000,2,2025
2025-04-01,2375,Taiwan,481165000,3,2025
2025-05-01,2375,Taiwan,530645000,4,2025
2025-06-01,2375,Taiwan,486847000,5,2025
2025-07-01,2375,Taiwan,458767000,6,2025
2025-08-01,2375,Taiwan,450284000,7,2025
2025-09-01,2375,Taiwan,475169000,8,2025
