date,stock_id,country,revenue,revenue_month,revenue_year
2024-09-01,8105,Taiwan,766422000,8,2024
2024-10-01,8105,Taiwan,819432000,9,2024
2024-11-01,8105,Taiwan,845820000,10,2024
2024-12-01,8105,Taiwan,766827000,11,2024
2025-01-01,8105,Taiwan,791931000,12,2024
2025-02-01,8105,Taiwan,648671000,1,2025
2025-03-01,8105,Taiwan,696858000,2,2025
2025-04-01,8105,Taiwan,701949000,3,2025
2025-05-01,8105,Taiwan,721009000,4,2025
2025-06-01,8105,Taiwan,763210000,5,2025
2025-07-01,8105,Taiwan,746928000,6,2025
2025-08-01,8105,Taiwan,634016000,7,2025
2025-09-01,8105,Taiwan,789452000,8,2025
