date,stock_id,country,revenue,revenue_month,revenue_year
2024-09-01,4722,Taiwan,397247000,8,2024
2024-10-01,4722,Taiwan,318145000,9,2024
2024-11-01,4722,Taiwan,295922000,10,2024
2024-12-01,4722,Taiwan,294626000,11,2024
2025-01-01,4722,Taiwan,375523000,12,2024
2025-02-01,4722,Taiwan,275111000,1,2025
2025-03-01,4722,Taiwan,287888000,2,2025
2025-04-01,4722,Taiwan,353815000,3,2025
2025-05-01,4722,Taiwan,370650000,4,2025
2025-06-01,4722,Taiwan,316735000,5,2025
2025-07-01,4722,Taiwan,285664000,6,2025
2025-08-01,4722,Taiwan,347993000,7,2025
2025-09-01,4722,Taiwan,330643000,8,2025
