date,stock_id,country,revenue,revenue_month,revenue_year
2024-09-01,3686,Taiwan,4192000,8,2024
2024-10-01,3686,Taiwan,5353000,9,2024
2024-11-01,3686,Taiwan,8603000,10,2024
2024-12-01,3686,Taiwan,7780000,11,2024
2025-01-01,3686,Taiwan,5161000,12,2024
2025-02-01,3686,Taiwan,7168000,1,2025
2025-03-01,3686,Taiwan,6942000,2,2025
2025-04-01,3686,Taiwan,4723000,3,2025
2025-05-01,3686,Taiwan,5746000,4,2025
2025-06-01,3686,Taiwan,7060000,5,2025
2025-07-01,3686,Taiwan,8053000,6,2025
2025-08-01,3686,Taiwan,7992000,7,2025
2025-09-01,3686,Taiwan,7004000,8,2025
