stock_id,date,BuyAfterSale,Volume,BuyAmount,SellAmount
2431,2023-07-17,,35000,404250,406450
2431,2023-07-18,,125000,1440250,1442200
2431,2023-07-19,,171000,2025450,2024300
2431,2023-07-20,,20000,233400,235100
2431,2023-07-21,,35000,406800,412200
2431,2023-07-24,,51000,598000,603400
2431,2023-07-25,,8000,94050,94750
2431,2023-07-26,Y,27000,319100,318250
2431,2023-07-27,Y,11000,129900,130250
2431,2023-07-28,Y,94000,1097900,1094650
2431,2023-07-31,Y,72000,832550,832400
2431,2023-08-01,Y,28000,321750,321850
2431,2023-08-02,,259000,2919700,2924700
2431,2023-08-03,,0,0,0
2431,2023-08-04,,13000,145700,145900
2431,2023-08-07,,39000,433850,434800
2431,2023-08-08,,23000,255500,255750
2431,2023-08-09,,11000,121250,119800
2431,2023-08-10,,14000,149650,149850
2431,2023-08-11,,2000,21400,21500
2431,2023-08-14,,11000,115050,114900
2431,2023-08-15,,5000,52500,52850
2431,2023-08-16,,23000,242550,240350
2431,2023-08-17,,10000,105550,105550
2431,2023-08-18,,1000,10550,10700
2431,2023-08-21,,3000,31650,32100
2431,2023-08-22,,2000,20800,21000
2431,2023-08-23,,36000,378700,382350
2431,2023-08-24,,44000,469400,467300
2431,2023-08-25,,12000,126350,126750
2431,2023-08-28,,2000,21200,21200
2431,2023-08-29,,7000,74300,74800
2431,2023-08-30,,2000,21200,21300
2431,2023-08-31,,2000,21600,21500
2431,2023-09-01,,16000,175500,177200
2431,2023-09-04,,7000,77250,77750
2431,2023-09-05,,15000,166300,167550
2431,2023-09-06,,43000,483950,484050
2431,2023-09-07,,1000,11100,11050
2431,2023-09-08,,2000,22150,22350
2431,2023-09-11,,10000,112000,112300
2431,2023-09-12,,117000,1330850,1330700
2431,2023-09-13,,4000,45350,45450
2431,2023-09-14,,3000,34150,34200
2431,2023-09-15,,17000,194150,193800
2431,2023-09-18,,1000,11350,11300
2431,2023-09-19,,5000,56450,56000
2431,2023-09-20,,5000,55550,55200
2431,2023-09-21,,3000,32800,32850
2431,2023-09-22,,2000,21850,22000
2431,2023-09-25,,5000,55000,55200
2431,2023-09-26,,1000,11100,11000
2431,2023-09-27,,9000,99450,100350
2431,2023-09-28,,11000,122150,122650
2431,2023-10-02,,29000,323300,323850
2431,2023-10-03,,3000,33400,33250
2431,2023-10-04,,10000,110850,112250
2431,2023-10-05,,12000,136150,136150
2431,2023-10-06,,1000,11300,11300
2431,2023-10-11,,12000,133950,133550
2431,2023-10-12,,1000,11050,11150
2431,2023-10-13,,5000,55400,55800
2431,2023-10-16,,11000,120700,119900
2431,2023-10-17,,3000,32400,32550
2431,2023-10-18,,3000,32000,31850
2431,2023-10-19,,22000,233200,233700
2431,2023-10-20,,25000,261400,264200
2431,2023-10-23,,15000,157850,159200
2431,2023-10-24,,6000,63800,63650
2431,2023-10-25,,5000,53100,53400
2431,2023-10-26,,20000,215550,216850
2431,2023-10-27,,0,0,0
2431,2023-10-30,,5000,54150,53950
2431,2023-10-31,,7000,75100,74700
2431,2023-11-01,,1000,10650,10700
2431,2023-11-02,,8000,86400,86300
2431,2023-11-03,,30000,323850,325400
2431,2023-11-06,,8000,87150,87250
2431,2023-11-07,,13000,141350,141500
2431,2023-11-08,,5000,54550,55100
2431,2023-11-09,,18000,196550,197350
2431,2023-11-10,,3000,32600,33000
2431,2023-11-13,,28000,303950,305150
2431,2023-11-14,,3000,32600,32300
2431,2023-11-15,,9000,97750,97450
2431,2023-11-16,,1000,10800,10850
2431,2023-11-17,,2000,21600,21700
2431,2023-11-20,,2000,21800,21800
2431,2023-11-21,,19000,209800,210650
2431,2023-11-22,,3000,33900,33550
2431,2023-11-23,,22000,249600,248600
2431,2023-11-24,,10000,113500,113650
2431,2023-11-27,,2000,22850,22300
2431,2023-11-28,,2000,22350,22600
2431,2023-11-29,,4000,45300,45400
2431,2023-11-30,,14000,158300,158800
2431,2023-12-01,,5000,56350,56750
2431,2023-12-04,,9000,102900,102800
2431,2023-12-05,,12000,136300,136250
2431,2023-12-06,,9000,102150,101750
2431,2023-12-07,,19000,213700,214400
2431,2023-12-08,,36000,405300,406600
