stock_id,date,BuyAfterSale,Volume,BuyAmount,SellAmount
3026,2023-07-17,Y,24000,2573500,2575000
3026,2023-07-18,Y,29000,3117500,3105500
3026,2023-07-19,Y,27000,2895000,2883000
3026,2023-07-20,Y,40000,3916500,3935500
3026,2023-07-21,Y,9000,878900,883100
3026,2023-07-24,,15000,1457100,1457000
3026,2023-07-25,,10000,967700,970500
3026,2023-07-26,,11000,1059500,1060200
3026,2023-07-27,,3000,290500,291400
3026,2023-07-28,,2000,194100,194500
3026,2023-07-31,,19000,1861000,1856900
3026,2023-08-01,,13000,1263500,1261900
3026,2023-08-02,,18000,1743800,1741000
3026,2023-08-03,,0,0,0
3026,2023-08-04,,5000,479600,483500
3026,2023-08-07,,6000,578200,579600
3026,2023-08-08,,6000,578000,580500
3026,2023-08-09,,5000,482100,482100
3026,2023-08-10,,4000,381600,381500
3026,2023-08-11,,8000,762100,764800
3026,2023-08-14,,23000,2159000,2166000
3026,2023-08-15,,13000,1219000,1225100
3026,2023-08-16,,40000,3742800,3748600
3026,2023-08-17,,50000,4663200,4677500
3026,2023-08-18,,7000,655000,656400
3026,2023-08-21,,5000,467200,468700
3026,2023-08-22,,7000,653000,653900
3026,2023-08-23,,12000,1120900,1124900
3026,2023-08-24,,6000,564700,564300
3026,2023-08-25,,10000,941700,946500
3026,2023-08-28,,3000,284300,284300
3026,2023-08-29,,4000,379600,380600
3026,2023-08-30,,3000,285900,287100
3026,2023-08-31,,27000,2599900,2629100
3026,2023-09-01,,639000,64424400,64549900
3026,2023-09-04,,69000,6896800,6904000
3026,2023-09-05,,13000,1299900,1303800
3026,2023-09-06,,15000,1497300,1497500
3026,2023-09-07,,23000,2292200,2292900
3026,2023-09-08,,13000,1290300,1290900
3026,2023-09-11,,22000,2167100,2169000
3026,2023-09-12,,2000,196700,197800
3026,2023-09-13,,4000,395100,395900
3026,2023-09-14,,7000,691600,692600
3026,2023-09-15,,15000,1485900,1485900
3026,2023-09-18,,11000,1090400,1093300
3026,2023-09-19,,5000,497700,496500
3026,2023-09-20,,7000,692700,693200
3026,2023-09-21,,21000,2055000,2060300
3026,2023-09-22,,16000,1565400,1564800
3026,2023-09-25,,9000,887600,891100
3026,2023-09-26,,9000,888000,884400
3026,2023-09-27,,7000,683900,685000
3026,2023-09-28,,3000,293700,293800
3026,2023-10-02,,11000,1078500,1079100
3026,2023-10-03,,9000,881900,883700
3026,2023-10-04,,15000,1460100,1467200
3026,2023-10-05,,4000,391600,390700
3026,2023-10-06,,1000,97500,97400
3026,2023-10-11,,18000,1738800,1741100
3026,2023-10-12,,19000,1832100,1839200
