date,stock_id,buy,name,sell
2023-08-17,6515,34000,Investment_Trust,108000
2023-08-17,6515,10000,Dealer_self,2136
2023-08-17,6515,39000,Dealer_Hedging,14083
2023-08-18,6515,324600,Foreign_Investor,336000
2023-08-18,6515,0,Foreign_Dealer_Self,0
2023-08-18,6515,3000,Investment_Trust,6000
2023-08-18,6515,2000,Dealer_self,0
2023-08-18,6515,8000,Dealer_Hedging,28920
2023-08-21,6515,231500,Foreign_Investor,289000
2023-08-21,6515,0,Foreign_Dealer_Self,0
2023-08-21,6515,0,Investment_Trust,0
2023-08-21,6515,40000,Dealer_self,1000
2023-08-21,6515,20500,Dealer_Hedging,11131
2023-08-22,6515,350700,Foreign_Investor,314100
2023-08-22,6515,0,Foreign_Dealer_Self,0
2023-08-22,6515,12000,Investment_Trust,220000
2023-08-22,6515,6000,Dealer_self,40000
2023-08-22,6515,13000,Dealer_Hedging,15630
2023-08-23,6515,266663,Foreign_Investor,225800
2023-08-23,6515,0,Foreign_Dealer_Self,0
2023-08-23,6515,28000,Investment_Trust,22000
2023-08-23,6515,2000,Dealer_self,1018
2023-08-23,6515,14000,Dealer_Hedging,3427
2023-08-24,6515,355400,Foreign_Investor,596000
2023-08-24,6515,0,Foreign_Dealer_Self,0
2023-08-24,6515,32000,Investment_Trust,0
2023-08-24,6515,55000,Dealer_self,1000
2023-08-24,6515,13100,Dealer_Hedging,21619
2023-08-25,6515,143000,Foreign_Investor,255000
2023-08-25,6515,0,Foreign_Dealer_Self,0
2023-08-25,6515,0,Investment_Trust,0
2023-08-25,6515,0,Dealer_self,52057
2023-08-25,6515,5000,Dealer_Hedging,17150
2023-08-28,6515,142000,Foreign_Investor,114000
2023-08-28,6515,0,Foreign_Dealer_Self,0
2023-08-28,6515,0,Investment_Trust,0
2023-08-28,6515,2000,Dealer_self,0
2023-08-28,6515,1000,Dealer_Hedging,2564
2023-08-29,6515,82800,Foreign_Investor,57000
2023-08-29,6515,0,Foreign_Dealer_Self,0
2023-08-29,6515,0,Investment_Trust,5000
2023-08-29,6515,2000,Dealer_self,0
2023-08-29,6515,3000,Dealer_Hedging,2799
2023-08-30,6515,156000,Foreign_Investor,245000
2023-08-30,6515,0,Foreign_Dealer_Self,0
2023-08-30,6515,15000,Investment_Trust,0
2023-08-30,6515,3081,Dealer_self,0
2023-08-30,6515,7000,Dealer_Hedging,3230
2023-08-31,6515,156100,Foreign_Investor,95000
2023-08-31,6515,0,Foreign_Dealer_Self,0
2023-08-31,6515,0,Investment_Trust,0
2023-08-31,6515,2001,Dealer_self,0
2023-08-31,6515,7000,Dealer_Hedging,3602
2023-09-01,6515,86000,Foreign_Investor,134000
2023-09-01,6515,0,Foreign_Dealer_Self,0
2023-09-01,6515,0,Investment_Trust,0
2023-09-01,6515,1000,Dealer_self,1
2023-09-01,6515,11000,Dealer_Hedging,11869
2023-09-04,6515,265000,Foreign_Investor,173000
2023-09-04,6515,0,Foreign_Dealer_Self,0
2023-09-04,6515,2000,Investment_Trust,0
2023-09-04,6515,8000,Dealer_self,8034
2023-09-04,6515,22030,Dealer_Hedging,2374
2023-09-05,6515,305938,Foreign_Investor,575000
2023-09-05,6515,0,Foreign_Dealer_Self,0
2023-09-05,6515,139000,Investment_Trust,0
2023-09-05,6515,10000,Dealer_self,12000
2023-09-05,6515,32384,Dealer_Hedging,10309
2023-09-06,6515,286000,Foreign_Investor,492800
2023-09-06,6515,0,Foreign_Dealer_Self,0
2023-09-06,6515,320000,Investment_Trust,0
2023-09-06,6515,17000,Dealer_self,17047
2023-09-06,6515,34237,Dealer_Hedging,11336
2023-09-07,6515,225300,Foreign_Investor,426000
2023-09-07,6515,0,Foreign_Dealer_Self,0
2023-09-07,6515,118000,Investment_Trust,0
2023-09-07,6515,9000,Dealer_self,6000
2023-09-07,6515,5307,Dealer_Hedging,24008
2023-09-08,6515,129000,Foreign_Investor,285000
2023-09-08,6515,0,Foreign_Dealer_Self,0
2023-09-08,6515,8000,Investment_Trust,13000
2023-09-08,6515,1000,Dealer_self,4000
2023-09-08,6515,7000,Dealer_Hedging,16574
2023-09-11,6515,152000,Foreign_Investor,108382
2023-09-11,6515,0,Foreign_Dealer_Self,0
2023-09-11,6515,7000,Investment_Trust,6000
2023-09-11,6515,0,Dealer_self,2000
2023-09-11,6515,0,Dealer_Hedging,21000
2023-09-12,6515,101000,Foreign_Investor,112900
2023-09-12,6515,0,Foreign_Dealer_Self,0
2023-09-12,6515,0,Investment_Trust,0
2023-09-12,6515,0,Dealer_self,0
2023-09-12,6515,4000,Dealer_Hedging,6652
2023-09-13,6515,252000,Foreign_Investor,193000
2023-09-13,6515,0,Foreign_Dealer_Self,0
2023-09-13,6515,187000,Investment_Trust,0
2023-09-13,6515,0,Dealer_self,2000
2023-09-13,6515,44897,Dealer_Hedging,2275
2023-09-14,6515,620452,Foreign_Investor,547000
2023-09-14,6515,0,Foreign_Dealer_Self,0
2023-09-14,6515,291000,Investment_Trust,0
2023-09-14,6515,62000,Dealer_self,18000
2023-09-14,6515,43274,Dealer_Hedging,33727
2023-09-15,6515,830000,Foreign_Investor,1004000
2023-09-15,6515,0,Foreign_Dealer_Self,0
2023-09-15,6515,204000,Investment_Trust,1000
2023-09-15,6515,8000,Dealer_self,24000
2023-09-15,6515,7000,Dealer_Hedging,24276
2023-09-18,6515,130000,Foreign_Investor,570000
2023-09-18,6515,0,Foreign_Dealer_Self,0
2023-09-18,6515,18000,Investment_Trust,29000
2023-09-18,6515,5000,Dealer_self,5000
2023-09-18,6515,8000,Dealer_Hedging,14052
2023-09-19,6515,112000,Foreign_Investor,183000
2023-09-19,6515,0,Foreign_Dealer_Self,0
2023-09-19,6515,29000,Investment_Trust,0
2023-09-19,6515,0,Dealer_self,11000
2023-09-19,6515,6168,Dealer_Hedging,7132
2023-09-20,6515,769000,Foreign_Investor,365000
2023-09-20,6515,0,Foreign_Dealer_Self,0
2023-09-20,6515,224000,Investment_Trust,0
2023-09-20,6515,8000,Dealer_self,2000
2023-09-20,6515,49219,Dealer_Hedging,8697
2023-09-21,6515,371000,Foreign_Investor,484737
2023-09-21,6515,0,Foreign_Dealer_Self,0
2023-09-21,6515,25000,Investment_Trust,0
2023-09-21,6515,2000,Dealer_self,2000
2023-09-21,6515,123,Dealer_Hedging,35356
2023-09-22,6515,218000,Foreign_Investor,208000
2023-09-22,6515,0,Foreign_Dealer_Self,0
2023-09-22,6515,9000,Investment_Trust,0
2023-09-22,6515,8000,Dealer_self,0
2023-09-22,6515,34100,Dealer_Hedging,0
2023-09-25,6515,63000,Foreign_Investor,280000
2023-09-25,6515,0,Foreign_Dealer_Self,0
2023-09-25,6515,0,Investment_Trust,0
2023-09-25,6515,15000,Dealer_self,10000
2023-09-25,6515,2000,Dealer_Hedging,35338
2023-09-26,6515,48000,Foreign_Investor,81000
2023-09-26,6515,0,Foreign_Dealer_Self,0
2023-09-26,6515,0,Investment_Trust,0
2023-09-26,6515,0,Dealer_self,12000
2023-09-26,6515,0,Dealer_Hedging,11885
2023-09-27,6515,83000,Foreign_Investor,59000
2023-09-27,6515,0,Foreign_Dealer_Self,0
2023-09-27,6515,49000,Investment_Trust,68000
2023-09-27,6515,0,Dealer_self,7000
2023-09-27,6515,1000,Dealer_Hedging,4131
2023-09-28,6515,274000,Foreign_Investor,121000
2023-09-28,6515,0,Foreign_Dealer_Self,0
2023-09-28,6515,33000,Investment_Trust,0
2023-09-28,6515,0,Dealer_self,0
2023-09-28,6515,4485,Dealer_Hedging,2000
2023-10-02,6515,147000,Foreign_Investor,156000
2023-10-02,6515,0,Foreign_Dealer_Self,0
2023-10-02,6515,8000,Investment_Trust,0
2023-10-02,6515,0,Dealer_self,0
2023-10-02,6515,0,Dealer_Hedging,0
2023-10-03,6515,140000,Foreign_Investor,108000
2023-10-03,6515,0,Foreign_Dealer_Self,0
2023-10-03,6515,0,Investment_Trust,0
2023-10-03,6515,3000,Dealer_self,30000
2023-10-03,6515,5603,Dealer_Hedging,2000
2023-10-04,6515,140270,Foreign_Investor,138000
2023-10-04,6515,0,Foreign_Dealer_Self,0
2023-10-04,6515,0,Investment_Trust,54000
2023-10-04,6515,1000,Dealer_self,1000
2023-10-04,6515,4038,Dealer_Hedging,2108
2023-10-05,6515,214000,Foreign_Investor,349000
2023-10-05,6515,0,Foreign_Dealer_Self,0
2023-10-05,6515,41000,Investment_Trust,31000
2023-10-05,6515,38000,Dealer_self,0
2023-10-05,6515,20619,Dealer_Hedging,11100
2023-10-06,6515,48931,Foreign_Investor,72000
2023-10-06,6515,0,Foreign_Dealer_Self,0
2023-10-06,6515,31000,Investment_Trust,0
2023-10-06,6515,0,Dealer_self,0
2023-10-06,6515,0,Dealer_Hedging,11200
2023-10-11,6515,234000,Foreign_Investor,226313
2023-10-11,6515,0,Foreign_Dealer_Self,0
2023-10-11,6515,3000,Investment_Trust,0
2023-10-11,6515,20000,Dealer_self,0
2023-10-11,6515,1000,Dealer_Hedging,9580
2023-10-12,6515,63000,Foreign_Investor,112000
2023-10-12,6515,0,Foreign_Dealer_Self,0
2023-10-12,6515,0,Investment_Trust,0
2023-10-12,6515,1000,Dealer_self,0
2023-10-12,6515,1000,Dealer_Hedging,0
2023-10-13,6515,70000,Foreign_Investor,241000
2023-10-13,6515,0,Foreign_Dealer_Self,0
2023-10-13,6515,0,Investment_Trust,117000
2023-10-13,6515,0,Dealer_self,31000
2023-10-13,6515,5000,Dealer_Hedging,12503
2023-10-16,6515,192000,Foreign_Investor,172000
2023-10-16,6515,0,Foreign_Dealer_Self,0
2023-10-16,6515,3000,Investment_Trust,13000
2023-10-16,6515,5000,Dealer_self,32000
2023-10-16,6515,1000,Dealer_Hedging,12777
2023-10-17,6515,61000,Foreign_Investor,94000
2023-10-17,6515,0,Foreign_Dealer_Self,0
2023-10-17,6515,0,Investment_Trust,85000
2023-10-17,6515,1000,Dealer_self,2000
2023-10-17,6515,4000,Dealer_Hedging,8887
2023-10-18,6515,197700,Foreign_Investor,119000
2023-10-18,6515,0,Foreign_Dealer_Self,0
2023-10-18,6515,6000,Investment_Trust,94000
2023-10-18,6515,0,Dealer_self,0
2023-10-18,6515,2000,Dealer_Hedging,13323
2023-10-19,6515,47000,Foreign_Investor,148000
2023-10-19,6515,0,Foreign_Dealer_Self,0
2023-10-19,6515,41000,Investment_Trust,44000
2023-10-19,6515,0,Dealer_self,0
2023-10-19,6515,4100,Dealer_Hedging,2394
2023-10-20,6515,51000,Foreign_Investor,85000
2023-10-20,6515,0,Foreign_Dealer_Self,0
2023-10-20,6515,19000,Investment_Trust,9000
2023-10-20,6515,0,Dealer_self,7000
2023-10-20,6515,2000,Dealer_Hedging,4004
2023-10-23,6515,39000,Foreign_Investor,50000
2023-10-23,6515,0,Foreign_Dealer_Self,0
2023-10-23,6515,17000,Investment_Trust,34000
2023-10-23,6515,0,Dealer_self,4000
2023-10-23,6515,3071,Dealer_Hedging,2145
2023-10-24,6515,140000,Foreign_Investor,112000
2023-10-24,6515,0,Foreign_Dealer_Self,0
2023-10-24,6515,3000,Investment_Trust,0
2023-10-24,6515,11000,Dealer_self,0
2023-10-24,6515,68298,Dealer_Hedging,0
2023-10-25,6515,340000,Foreign_Investor,264000
2023-10-25,6515,0,Foreign_Dealer_Self,0
2023-10-25,6515,149000,Investment_Trust,0
2023-10-25,6515,20000,Dealer_self,1000
2023-10-25,6515,15422,Dealer_Hedging,29000
2023-10-26,6515,101000,Foreign_Investor,111000
2023-10-26,6515,0,Foreign_Dealer_Self,0
2023-10-26,6515,13000,Investment_Trust,0
2023-10-26,6515,0,Dealer_self,11000
2023-10-26,6515,14000,Dealer_Hedging,23256
2023-10-27,6515,52061,Foreign_Investor,149000
2023-10-27,6515,0,Foreign_Dealer_Self,0
2023-10-27,6515,9000,Investment_Trust,0
2023-10-27,6515,0,Dealer_self,0
2023-10-27,6515,1000,Dealer_Hedging,28696
2023-10-30,6515,174000,Foreign_Investor,57000
2023-10-30,6515,0,Foreign_Dealer_Self,0
2023-10-30,6515,1000,Investment_Trust,19000
2023-10-30,6515,2000,Dealer_self,1000
2023-10-30,6515,15000,Dealer_Hedging,4000
2023-10-31,6515,117000,Foreign_Investor,140000
2023-10-31,6515,0,Foreign_Dealer_Self,0
2023-10-31,6515,1000,Investment_Trust,0
2023-10-31,6515,1000,Dealer_self,0
2023-10-31,6515,0,Dealer_Hedging,18168
2023-11-01,6515,67000,Foreign_Investor,148000
2023-11-01,6515,0,Foreign_Dealer_Self,0
2023-11-01,6515,65000,Investment_Trust,0
2023-11-01,6515,1000,Dealer_self,7000
2023-11-01,6515,0,Dealer_Hedging,1223
2023-11-02,6515,262000,Foreign_Investor,93000
2023-11-02,6515,0,Foreign_Dealer_Self,0
2023-11-02,6515,23000,Investment_Trust,0
2023-11-02,6515,32000,Dealer_self,1000
2023-11-02,6515,25736,Dealer_Hedging,1000
2023-11-03,6515,84000,Foreign_Investor,100000
2023-11-03,6515,0,Foreign_Dealer_Self,0
2023-11-03,6515,0,Investment_Trust,0
2023-11-03,6515,13000,Dealer_self,0
2023-11-03,6515,0,Dealer_Hedging,15000
2023-11-06,6515,104000,Foreign_Investor,66000
2023-11-06,6515,0,Foreign_Dealer_Self,0
2023-11-06,6515,35000,Investment_Trust,1000
2023-11-06,6515,5000,Dealer_self,0
2023-11-06,6515,2387,Dealer_Hedging,2000
2023-11-07,6515,298000,Foreign_Investor,147000
2023-11-07,6515,0,Foreign_Dealer_Self,0
2023-11-07,6515,75000,Investment_Trust,8000
2023-11-07,6515,9000,Dealer_self,0
2023-11-07,6515,15021,Dealer_Hedging,11000
2023-11-08,6515,24000,Foreign_Investor,98000
2023-11-08,6515,0,Foreign_Dealer_Self,0
2023-11-08,6515,5000,Investment_Trust,1000
2023-11-08,6515,7000,Dealer_self,0
2023-11-08,6515,1211,Dealer_Hedging,4018
2023-11-09,6515,115000,Foreign_Investor,301023
2023-11-09,6515,0,Foreign_Dealer_Self,0
2023-11-09,6515,0,Investment_Trust,1000
2023-11-09,6515,2000,Dealer_self,5000
2023-11-09,6515,0,Dealer_Hedging,4587
2023-11-10,6515,44000,Foreign_Investor,86000
2023-11-10,6515,0,Foreign_Dealer_Self,0
2023-11-10,6515,0,Investment_Trust,1000
2023-11-10,6515,0,Dealer_self,20000
2023-11-10,6515,3000,Dealer_Hedging,4232
2023-11-13,6515,225000,Foreign_Investor,39000
2023-11-13,6515,0,Foreign_Dealer_Self,0
2023-11-13,6515,30000,Investment_Trust,1000
2023-11-13,6515,0,Dealer_self,24000
2023-11-13,6515,12289,Dealer_Hedging,5000
2023-11-14,6515,224000,Foreign_Investor,91000
2023-11-14,6515,0,Foreign_Dealer_Self,0
2023-11-14,6515,0,Investment_Trust,0
2023-11-14,6515,43000,Dealer_self,1000
2023-11-14,6515,31885,Dealer_Hedging,5000
2023-11-15,6515,77000,Foreign_Investor,233000
2023-11-15,6515,0,Foreign_Dealer_Self,0
2023-11-15,6515,0,Investment_Trust,3000
2023-11-15,6515,25000,Dealer_self,7000
2023-11-15,6515,49,Dealer_Hedging,14362
2023-11-16,6515,211000,Foreign_Investor,65000
2023-11-16,6515,0,Foreign_Dealer_Self,0
2023-11-16,6515,20000,Investment_Trust,29000
2023-11-16,6515,11000,Dealer_self,5000
2023-11-16,6515,69714,Dealer_Hedging,8000
2023-11-17,6515,347000,Foreign_Investor,454000
2023-11-17,6515,0,Foreign_Dealer_Self,0
2023-11-17,6515,130000,Investment_Trust,1000
2023-11-17,6515,7000,Dealer_self,2000
2023-11-17,6515,45389,Dealer_Hedging,28100
2023-11-20,6515,158000,Foreign_Investor,218000
2023-11-20,6515,0,Foreign_Dealer_Self,0
2023-11-20,6515,0,Investment_Trust,0
2023-11-20,6515,3000,Dealer_self,3000
2023-11-20,6515,5797,Dealer_Hedging,44022
2023-11-21,6515,288000,Foreign_Investor,180000
2023-11-21,6515,0,Foreign_Dealer_Self,0
2023-11-21,6515,81000,Investment_Trust,0
2023-11-21,6515,4000,Dealer_self,30000
2023-11-21,6515,48297,Dealer_Hedging,10000
2023-11-22,6515,261000,Foreign_Investor,201000
2023-11-22,6515,0,Foreign_Dealer_Self,0
2023-11-22,6515,120000,Investment_Trust,1000
2023-11-22,6515,14000,Dealer_self,0
2023-11-22,6515,26808,Dealer_Hedging,44312
2023-11-23,6515,166000,Foreign_Investor,191000
