buy,date,name,sell
3807520860,2025-06-25,Dealer_self,3216481010
0,2025-06-25,Foreign_Dealer_Self,0
12565689731,2025-06-25,Dealer_Hedging,11335920546
27756105174,2025-06-25,Investment_Trust,22407267061
158900898575,2025-06-25,Foreign_Investor,123304342101
203030214340,2025-06-25,total,160264010718
3608493984,2025-06-26,Dealer_self,6983391520
0,2025-06-26,Foreign_Dealer_Self,0
10312904613,2025-06-26,Dealer_Hedging,17927196276
26620315041,2025-06-26,Investment_Trust,30503102817
169204266963,2025-06-26,Foreign_Investor,135352472162
209745980601,2025-06-26,total,190766162775
186821633793,2025-06-27,total,166093531212
153062895740,2025-06-27,Foreign_Investor,119689605338
21042713195,2025-06-27,Investment_Trust,18408109272
0,2025-06-27,Foreign_Dealer_Self,0
2897862385,2025-06-27,Dealer_self,10335182020
9818162473,2025-06-27,Dealer_Hedging,17660634582
4071187223,2025-06-30,Dealer_self,5960286428
0,2025-06-30,Foreign_Dealer_Self,0
10867005031,2025-06-30,Dealer_Hedging,9649658089
24967999050,2025-06-30,Investment_Trust,25830412161
137398249245,2025-06-30,Foreign_Investor,139817015444
177304440549,2025-06-30,total,181257372122
178301376951,2025-07-01,Foreign_Investor,130050094306
226878836270,2025-07-01,total,174325803681
25191809520,2025-07-01,Investment_Trust,29884082704
0,2025-07-01,Foreign_Dealer_Self,0
6106549493,2025-07-01,Dealer_self,3566532726
17279100306,2025-07-01,Dealer_Hedging,10825093945
3016894220,2025-07-02,Dealer_self,3175414923
0,2025-07-02,Foreign_Dealer_Self,0
7747520781,2025-07-02,Dealer_Hedging,6445804784
17930756118,2025-07-02,Investment_Trust,19247078014
116979300039,2025-07-02,Foreign_Investor,110879200144
145674471158,2025-07-02,total,139747497865
18353837191,2025-07-03,Investment_Trust,23562200438
181909593599,2025-07-03,total,152149323458
146567724776,2025-07-03,Foreign_Investor,116944245637
0,2025-07-03,Foreign_Dealer_Self,0
4677893020,2025-07-03,Dealer_self,4444969514
12310138612,2025-07-03,Dealer_Hedging,7197907869
109465313930,2025-07-04,Foreign_Investor,108910537067
3264067035,2025-07-04,Dealer_self,3579338163
0,2025-07-04,Foreign_Dealer_Self,0
9308492441,2025-07-04,Dealer_Hedging,8791711417
17466430317,2025-07-04,Investment_Trust,22084800900
139504303723,2025-07-04,total,143366387547
93454837612,2025-07-07,Foreign_Investor,99033853476
125498112940,2025-07-07,total,131239634723
17185018422,2025-07-07,Investment_Trust,19571760235
0,2025-07-07,Foreign_Dealer_Self,0
11836550096,2025-07-07,Dealer_Hedging,10196825259
3021706810,2025-07-07,Dealer_self,2437195753
3787415773,2025-07-08,Dealer_self,2676430305
0,2025-07-08,Foreign_Dealer_Self,0
11837935176,2025-07-08,Dealer_Hedging,8469709056
9767482261,2025-07-08,Investment_Trust,9901184637
106598768206,2025-07-08,Foreign_Investor,105959975764
131991601416,2025-07-08,total,127007299762
150010858547,2025-07-09,total,139256424269
119703311184,2025-07-09,Foreign_Investor,111453987525
15293785081,2025-07-09,Investment_Trust,15591016867
0,2025-07-09,Foreign_Dealer_Self,0
3750933812,2025-07-09,Dealer_self,3569575854
11262828470,2025-07-09,Dealer_Hedging,8641844023
3200102691,2025-07-10,Dealer_self,4936711114
0,2025-07-10,Foreign_Dealer_Self,0
11743691211,2025-07-10,Dealer_Hedging,9887338662
10821237050,2025-07-10,Investment_Trust,10748462845
119554009453,2025-07-10,Foreign_Investor,109441824991
145319040405,2025-07-10,total,135014337612
140825809935,2025-07-11,Foreign_Investor,123770476610
166397208230,2025-07-11,total,148744027649
11501825539,2025-07-11,Investment_Trust,13704139431
0,2025-07-11,Foreign_Dealer_Self,0
3489558357,2025-07-11,Dealer_self,3444544464
10580014399,2025-07-11,Dealer_Hedging,7824867144
0,2025-07-14,Foreign_Dealer_Self,0
2388567371,2025-07-14,Dealer_self,9950611454
9479835756,2025-07-14,Dealer_Hedging,9653083769
8867250995,2025-07-14,Investment_Trust,9857610153
95554395495,2025-07-14,Foreign_Investor,98300157755
116290049617,2025-07-14,total,127761463131
0,2025-07-15,Foreign_Dealer_Self,0
3896683333,2025-07-15,Dealer_self,4603609024
14189158712,2025-07-15,Dealer_Hedging,10111027509
5519217793,2025-07-15,Investment_Trust,5969731557
114251108062,2025-07-15,Foreign_Investor,95698773715
137856167900,2025-07-15,total,116383141805
15964117594,2025-07-16,Investment_Trust,13432481053
18053225938,2025-07-16,Dealer_Hedging,10593353591
136924940946,2025-07-16,Foreign_Investor,123020485319
6200916305,2025-07-16,Dealer_self,5800225997
0,2025-07-16,Foreign_Dealer_Self,0
177143200783,2025-07-16,total,152846545960
122266113585,2025-07-17,Foreign_Investor,121774655234
155560382191,2025-07-17,total,145632142374
11939899831,2025-07-17,Investment_Trust,12814270195
0,2025-07-17,Foreign_Dealer_Self,0
16243343384,2025-07-17,Dealer_Hedging,8386005132
5111025391,2025-07-17,Dealer_self,2657211813
5256656316,2025-07-18,Dealer_self,3747600719
0,2025-07-18,Foreign_Dealer_Self,0
15955225177,2025-07-18,Dealer_Hedging,9947392416
12230521683,2025-07-18,Investment_Trust,8854528194
141274313480,2025-07-18,Foreign_Investor,110266763229
174716716656,2025-07-18,total,132816284558
129673613085,2025-07-21,total,126345032484
106091109741,2025-07-21,Foreign_Investor,101961464446
9722364591,2025-07-21,Investment_Trust,12609653174
11046187101,2025-07-21,Dealer_Hedging,9235734851
0,2025-07-21,Foreign_Dealer_Self,0
2813951652,2025-07-21,Dealer_self,2538180013
4284791893,2025-07-22,Dealer_self,4530084590
0,2025-07-22,Foreign_Dealer_Self,0
17109556679,2025-07-22,Dealer_Hedging,12567972857
13318593547,2025-07-22,Investment_Trust,15839616011
145020285184,2025-07-22,Foreign_Investor,134995798730
179733227303,2025-07-22,total,167933472188
154637250873,2025-07-23,total,136681487392
123378151446,2025-07-23,Foreign_Investor,114946462596
7468924368,2025-07-23,Investment_Trust,8661084852
0,2025-07-23,Foreign_Dealer_Self,0
9156226260,2025-07-23,Dealer_self,4302560147
14633948799,2025-07-23,Dealer_Hedging,8771379797
4036672718,2025-07-24,Dealer_self,2635805844
0,2025-07-24,Foreign_Dealer_Self,0
10392874627,2025-07-24,Dealer_Hedging,8481104091
6478978806,2025-07-24,Investment_Trust,7234440116
122222803205,2025-07-24,Foreign_Investor,112069957216
143131329356,2025-07-24,total,130421307267
10717303679,2025-07-25,Dealer_Hedging,8535555226
125012815006,2025-07-25,total,114533339079
102529626873,2025-07-25,Foreign_Investor,95168421631
0,2025-07-25,Foreign_Dealer_Self,0
3007103676,2025-07-25,Dealer_self,4101611965
8758780778,2025-07-25,Investment_Trust,6727750257
106988875510,2025-07-28,Foreign_Investor,102313484880
3468149004,2025-07-28,Dealer_self,2437621858
0,2025-07-28,Foreign_Dealer_Self,0
12578694193,2025-07-28,Dealer_Hedging,8284568640
10263654248,2025-07-28,Investment_Trust,6814870002
133299372955,2025-07-28,total,119850545380
121140414232,2025-07-29,Foreign_Investor,137673633543
156070241876,2025-07-29,total,162196780928
12670019227,2025-07-29,Investment_Trust,8832159871
0,2025-07-29,Foreign_Dealer_Self,0
5050254905,2025-07-29,Dealer_self,3653419165
17209553512,2025-07-29,Dealer_Hedging,12037568349
4793726681,2025-07-30,Dealer_self,3476899126
0,2025-07-30,Foreign_Dealer_Self,0
14833994796,2025-07-30,Dealer_Hedging,10777055233
7738218313,2025-07-30,Investment_Trust,6301013112
118926391095,2025-07-30,Foreign_Investor,104814187005
146292330885,2025-07-30,total,125369154476
9010987356,2025-07-31,Investment_Trust,8993161828
6791157240,2025-07-31,Dealer_self,3994661296
0,2025-07-31,Foreign_Dealer_Self,0
17131101610,2025-07-31,Dealer_Hedging,11528460155
153878480798,2025-07-31,Foreign_Investor,144489908990
186811727004,2025-07-31,total,169006192269
