date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance
2025-07-07,1419,24,0,75010,44,2919,2939, ,1,20,0,75010,3,133,150
2025-07-08,1419,65,0,75010,91,2893,2919, ,1,22,0,75010,3,114,133
2025-07-09,1419,26,0,75010,43,2876,2893, ,0,41,0,75010,0,73,114
2025-07-10,1419,72,0,75010,186,2762,2876, ,2,25,0,75010,2,50,73
2025-07-11,1419,24,0,75010,47,2739,2762, ,0,7,0,75010,4,47,50
2025-07-14,1419,54,0,75010,19,2774,2739, ,0,19,0,75010,6,34,47
2025-07-15,1419,9,1,75010,18,2764,2774, ,0,8,0,75010,4,30,34
2025-07-16,1419,133,0,75010,118,2779,2764, ,3,5,0,75010,22,47,30
2025-07-17,1419,37,0,75010,47,2769,2779,X ,0,33,0,75010,5,19,47
2025-07-18,1419,40,0,75010,48,2761,2769,X ,0,10,0,75010,0,9,19
2025-07-21,1419,30,0,75010,22,2769,2761,X ,0,0,9,75010,0,0,9
2025-07-22,1419,36,0,75010,25,2779,2768,X ,0,0,0,75010,0,0,0
2025-07-23,1419,13,0,75010,63,2729,2779, ,0,0,0,75010,0,0,0
2025-07-24,1419,30,0,75010,97,2662,2729, ,4,0,0,75010,11,11,0
2025-07-25,1419,120,2,75010,580,2200,2662, ,1,9,0,75010,5,7,11
2025-07-28,1419,118,0,75010,370,1948,2200, ,0,1,0,75010,38,44,7
2025-07-29,1419,64,0,75010,23,1989,1948, ,0,3,0,75010,14,55,44
2025-07-30,1419,3,0,75010,10,1982,1989, ,0,5,0,75010,1,51,55
2025-07-31,1419,32,1,75010,22,1991,1982, ,0,11,0,75010,0,40,51
2025-08-01,1419,17,0,75010,9,1999,1991, ,0,9,0,75010,0,31,40
2025-08-04,1419,5,0,75010,0,2004,1999, ,0,0,0,75010,0,31,31
2025-08-05,1419,21,0,75010,23,2002,2004, ,0,26,0,75010,0,5,31
2025-08-06,1419,73,0,75010,40,2035,2002, ,0,0,0,75010,4,9,5
2025-08-07,1419,37,0,75010,17,2055,2035, ,0,1,0,75010,0,8,9
2025-08-08,1419,9,0,75010,7,2057,2055, ,0,3,0,75010,0,5,8
2025-08-11,1419,17,0,75010,35,2039,2057, ,0,0,0,75010,2,7,5
2025-08-12,1419,233,0,75010,55,2217,2039, ,0,0,0,75010,6,13,7
2025-08-13,1419,30,0,75010,22,2225,2217, ,0,0,0,75010,5,18,13
2025-08-14,1419,75,0,75010,9,2291,2225, ,0,2,0,75010,0,16,18
2025-08-15,1419,64,1,75010,109,2245,2291, ,0,0,0,75010,0,16,16
2025-08-18,1419,106,0,75010,127,2224,2245, ,0,1,0,75010,3,18,16
2025-08-19,1419,44,0,75010,129,2139,2224, ,0,0,0,75010,2,20,18
2025-08-20,1419,19,1,75010,39,2118,2139, ,0,0,0,75010,0,20,20
2025-08-21,1419,22,0,75010,40,2100,2118, ,0,0,0,75010,0,20,20
2025-08-22,1419,238,0,75010,29,2309,2100, ,13,1,0,75010,3,22,20
2025-08-25,1419,132,0,75010,108,2333,2309, ,16,0,0,75010,2,24,22
2025-08-26,1419,38,0,75010,25,2346,2333, ,18,0,0,75010,0,24,24
2025-08-27,1419,6,0,75010,32,2320,2346, ,0,1,0,75010,0,23,24
2025-08-28,1419,33,0,75010,14,2339,2320, ,0,0,0,75010,1,24,23
2025-08-29,1419,25,0,75010,32,2332,2339, ,0,0,0,75010,0,24,24
2025-09-01,1419,11,0,75010,35,2308,2332, ,0,2,0,75010,0,22,24
2025-09-02,1419,24,0,75010,54,2278,2308, ,0,0,0,75010,0,22,22
2025-09-03,1419,14,5,75010,36,2251,2278, ,0,0,0,75010,0,22,22
2025-09-04,1419,57,1,75010,129,2178,2251, ,0,0,0,75010,1,23,22
2025-09-05,1419,36,0,75010,31,2183,2178, ,0,2,0,75010,0,21,23
2025-09-08,1419,53,0,75010,67,2169,2183, ,0,0,0,75010,0,21,21
2025-09-09,1419,38,0,75010,28,2179,2169, ,0,0,0,75010,0,21,21
2025-09-10,1419,38,0,75010,30,2187,2179, ,0,0,0,75010,0,21,21
2025-09-11,1419,104,0,75010,34,2257,2187, ,0,1,0,75010,1,21,21
2025-09-12,1419,36,0,75010,36,2257,2257, ,0,0,0,75010,0,21,21
2025-09-15,1419,7,8,75010,9,2247,2257, ,0,0,0,75010,0,21,21
2025-09-16,1419,35,0,75010,17,2265,2247, ,0,0,0,75010,0,21,21
2025-09-17,1419,274,0,75010,69,2470,2265, ,1,1,0,75010,4,24,21
2025-09-18,1419,68,0,75010,57,2481,2470, ,0,1,0,75010,0,23,24
2025-09-19,1419,48,0,75010,31,2498,2481, ,0,1,0,75010,1,23,23
2025-09-22,1419,62,0,75010,13,2547,2498, ,0,1,0,75010,0,22,23
2025-09-23,1419,27,0,75010,48,2526,2547, ,0,0,0,75010,3,25,22
