date,stock_id,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsProvidedFromFinancingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,DecreaseInDepositDeposit,DecreaseInShortTermLoans,Depreciation,InterestExpense,InterestIncome,InventoryIncrease,OtherInvestingActivities,OtherNonCurrentLiabilitiesIncrease,PayTheInterest,ProceedsFromLongTermDebt,PropertyAndPlantAndEquipment,ReceivableIncrease,RedemptionOfBonds,RentalPrincipalRepayments,RepaymentOfLongTermDebt,TotalIncomeLossItems
2025-03-31,2301,,,4989263000.0,,,,,,,,,,,,,,,,,,,
2025-06-30,2301,,,,-1484803000.0,,,,,,,,,,,,,,,,,,
2023-09-30,2317,,,,,,,,,,,,,,,,,-71584266000.0,,,,,
2023-12-31,2317,,,,,,,,,,,,,,,,,-111744970000.0,,,,,
2024-03-31,2317,,1163447564000.0,,,,,,,,,,,,,,,,,,,,
2024-06-30,2317,,,,,,,,,,,,-57642048000.0,,,,,,,,,,
2024-09-30,2317,,,,,,,,,,,,-126889716000.0,,,,,,,,,,
2024-12-31,2317,,,,,,,,,,,,-76007046000.0,,,,,,,,,,
2025-03-31,2317,,929283294000.0,,,,,,,,,,,,,,,,,,,,
2025-06-30,2317,,870519926000.0,,,,,,,,,,,,,,,,,,,,
2023-09-30,2331,5200183000.0,,,,,,,,,,,,,,,,,,,,,
2023-12-31,2331,,5665075000.0,,,,,,,,,,,,,,,,,,,,
2024-03-31,2331,,,-1753087000.0,,,,,,,,,,,,,,,,,,,
2024-06-30,2331,,,-2242228000.0,,,,,,,,,,,,,,,,,,,
2024-09-30,2331,,,-1849460000.0,,,,,,,,,,,,,,,,,,,
2024-12-31,2331,,,-1257598000.0,,,,,,,,,,,,,,,,,,,
2025-03-31,2331,,,-367697000.0,,,,,,,,,,,,,,,,,,,
2025-06-30,2331,,,-708287000.0,,,,,,,,,,,,,,,,,,,
2023-09-30,2344,,,-49985000.0,,,,,,,,,,,,,,,,,,,
2023-12-31,2344,,,,,,,,,,,,,,,,12239430000.0,,,,,,
2024-03-31,2344,,,,,,,,,2951668000.0,,,,,,,,,,,,,
2024-06-30,2344,,,,,,,,,6046001000.0,,,,,,,,,,,,,
2024-09-30,2344,,,-1457938000.0,,,,,,,,,,,,,,,,,,,
2024-12-31,2344,,,,,,,,,12272420000.0,,,,,,,,,,,,,
2025-03-31,2344,,,4278093000.0,,,,,,,,,,,,,,,,,,,
2025-06-30,2344,,,,,,,,,,,,,,,,,-2993636000.0,,,,,
2023-09-30,2356,,,,,,,,,,,,,,,-3604353000.0,,,,,,,
2023-12-31,2356,,,,,,,,,,,,,,147866000.0,,,,,,,,
2024-03-31,2356,,,,,-672759000.0,,,,,,,,,,,,,,,,,
2024-06-30,2356,,,,,-6580061000.0,,,,,,,,,,,,,,,,,
2024-09-30,2356,,,,,,,,,2165173000.0,,,,,,,,,,,,,
2024-12-31,2356,,,,,-7638673000.0,,,,,,,,,,,,,,,,,
2025-03-31,2356,,,,,,,,,735214000.0,,,,,,,,,,,,,
2025-06-30,2356,,,,,1941661000.0,,,,,,,,,,,,,,,,,
2023-09-30,2375,,,,,,,,,,,,,,,,,,,,,,180871000.0
2023-12-31,2375,,645151000.0,,,,,,,,,,,,,,,,,,,,
2024-03-31,2375,,,,,,,,,,,,,,,,,-64137000.0,,,,,
2024-06-30,2375,,,,,,,,,,,,,,,,,-92731000.0,,,,,
2024-09-30,2375,,,,,,,,,,,,,,,,,-139749000.0,,,,,
2024-12-31,2375,,,,,,,,,,,,,,,,,-221431000.0,,,,,
2025-03-31,2375,,,,,,,,,,,,,,,,,-50144000.0,,,,,
2025-06-30,2375,771192000.0,,,,,,,,,,,,,,,,,,,,,
2023-09-30,2431,,,,,,,,,,,,,,,,,-7359000.0,,,,,
2023-12-31,2431,,,,,,,,,,,,,,,,,-8287000.0,,,,,
2024-03-31,2431,,,,,-461000.0,,,,,,,,,,,,,,,,,
2024-06-30,2431,,,,,-156060000.0,,,,,,,,,,,,,,,,,
2024-09-30,2431,,,,,-162301000.0,,,,,,,,,,,,,,,,,
2024-12-31,2431,,,,-16480000.0,,,,,,,,,,,,,,,,,,
2025-03-31,2431,,,,,,,,,,143000.0,,,,,,,,,,,,
2025-06-30,2431,,,,,,,,,,278000.0,,,,,,,,,,,,
2023-09-30,2492,,,,,,,,,,,,,,,-237098000.0,,,,,,,
2023-12-31,2492,,,,,,,,,,,,,,,,0.0,,,,,,
2024-03-31,2492,,,,,,,,,1245890000.0,,,,,,,,,,,,,
2024-06-30,2492,,,,,,,,,,,,,,,,,-685607000.0,,,,,
2024-09-30,2492,6621395000.0,,,,,,,,,,,,,,,,,,,,,
2024-12-31,2492,,,,,,,,,,,,,,,,,-1238374000.0,,,,,
2025-03-31,2492,,,1456781000.0,,,,,,,,,,,,,,,,,,,
2025-06-30,2492,,,,,,,,,,,,,,,,,-490351000.0,,,,,
2023-09-30,2753,,,,,,,,,,,,,,,,,-755860000.0,,,,,
2023-12-31,2753,,,,,,,,,,,,,,,,,,,,,,717352000.0
2024-03-31,2753,,,-20156000.0,,,,,,,,,,,,,,,,,,,
2024-06-30,2753,,,180560000.0,,,,,,,,,,,,,,,,,,,
2024-09-30,2753,,,315317000.0,,,,,,,,,,,,,,,,,,,
2024-12-31,2753,,,158626000.0,,,,,,,,,,,,,,,,,,,
2025-03-31,2753,,,147292000.0,,,,,,,,,,,,,,,,,,,
2025-06-30,2753,,,,,-321389000.0,,,,,,,,,,,,,,,,,
2023-09-30,2812,,,,,-21505058000.0,,,,,,,,,,,,,,,,,
2023-12-31,2812,,,,,,,,,,,,,,,,,,,,,,-10510555000.0
2024-03-31,2812,,,,,,,249529000.0,,,,,,,,,,,,,,,
2024-06-30,2812,,,,,,,0.0,,,,,,,,,,,,,,,
2024-09-30,2812,,,,,,,0.0,,,,,,,,,,,,,,,
2024-12-31,2812,,,,,,,,,,,,,,,-12707501000.0,,,,,,,
2025-03-31,2812,,,,,,,0.0,,,,,,,,,,,,,,,
2025-06-30,2812,,,,,,,,,,,,,,,-6807178000.0,,,,,,,
2023-09-30,2832,,,,,,,1932000.0,,,,,,,,,,,,,,,
2023-12-31,2832,3074610000.0,,,,,,,,,,,,,,,,,,,,,
2024-03-31,2832,,,,,,,,,,,,,,,,,,,,-8956000.0,,
2024-06-30,2832,,,,,,485890000.0,,,,,,,,,,,,,,,,
2024-09-30,2832,,,,,,,,,,,,,,,,,,,,-26674000.0,,
2024-12-31,2832,,,,,,935489000.0,,,,,,,,,,,,,,,,
2025-03-31,2832,,,,,,-266310000.0,,,,,,,,,,,,,,,,
2025-06-30,2832,,,,,,685840000.0,,,,,,,,,,,,,,,,
2023-09-30,2855,,,,18175713000.0,,,,,,,,,,,,,,,,,,
2023-12-31,2855,6194573000.0,,,,,,,,,,,,,,,,,,,,,
2024-03-31,2855,,,,,,,,,,359050000.0,,,,,,,,,,,,
2024-06-30,2855,,,,,,,,,,739627000.0,,,,,,,,,,,,
2024-09-30,2855,,,,,,,,,,1172029000.0,,,,,,,,,,,,
2024-12-31,2855,,,,,,,,,,1605888000.0,,,,,,,,,,,,
2025-03-31,2855,,,,,,,,,,422184000.0,,,,,,,,,,,,
2025-06-30,2855,7720139000.0,,,,,,,,,,,,,,,,,,,,,
2023-09-30,2885,,187132959000.0,,,,,,,,,,,,,,,,,,,,
2023-12-31,2885,,218948309000.0,,,,,,,,,,,,,,,,,,,,
2024-03-31,2885,,,,,,,,,,,,,,,-8057002000.0,,,,,,,
2024-06-30,2885,,,,,,,,,,18370579000.0,,,,,,,,,,,,
2024-09-30,2885,,,,,,,,,,28718547000.0,,,,,,,,,,,,
2024-12-31,2885,,,,,,,,,,39110042000.0,,,,,,,,,,,,
2025-03-31,2885,,,,,,,,,,10160750000.0,,,,,,,,,,,,
2025-06-30,2885,,,,,,,,,,19666012000.0,,,,,,,,,,,,
2023-09-30,3006,,,137134000.0,,,,,,,,,,,,,,,,,,,
2023-12-31,3006,4764681000.0,,,,,,,,,,,,,,,,,,,,,
2024-03-31,3006,,,-280087000.0,,,,,,,,,,,,,,,,,,,
2024-06-30,3006,,,,-780557000.0,,,,,,,,,,,,,,,,,,
2024-09-30,3006,,,-302492000.0,,,,,,,,,,,,,,,,,,,
2024-12-31,3006,,,,,398167000.0,,,,,,,,,,,,,,,,,
2025-03-31,3006,,,-406540000.0,,,,,,,,,,,,,,,,,,,
2025-06-30,3006,,,,,,,,,189405000.0,,,,,,,,,,,,,
2023-09-30,3026,,,,,,,,,,,,,,,-53863000.0,,,,,,,
2023-12-31,3026,,,,,,,,,,,,,,,,0.0,,,,,,
2024-03-31,3026,,,,,-51748000.0,,,,,,,,,,,,,,,,,
2024-06-30,3026,,,,,,,,,373531000.0,,,,,,,,,,,,,
2024-09-30,3026,,,,,284186000.0,,,,,,,,,,,,,,,,,
2024-12-31,3026,,,,,,,,,720602000.0,,,,,,,,,,,,,
2025-03-31,3026,,,,,,,,,174678000.0,,,,,,,,,,,,,
2025-06-30,3026,,,,,,,,,355218000.0,,,,,,,,,,,,,
2023-09-30,3036,,,,,,,,,,,,,,,-1939703000.0,,,,,,,
2023-12-31,3036,,,,,,,,,,,,,,,,,,,,-279375000.0,,
2024-03-31,3036,,,32262539000.0,,,,,,,,,,,,,,,,,,,
2024-06-30,3036,,,,,,,,,419578000.0,,,,,,,,,,,,,
2024-09-30,3036,,,15010771000.0,,,,,,,,,,,,,,,,,,,
2024-12-31,3036,,,16980177000.0,,,,,,,,,,,,,,,,,,,
2025-03-31,3036,,,3790519000.0,,,,,,,,,,,,,,,,,,,
2025-06-30,3036,,,-12813791000.0,,,,,,,,,,,,,,,,,,,
2023-09-30,3037,,,-10226230000.0,,,,,,,,,,,,,,,,,,,
2023-12-31,3037,,,,,,,,,,,,,,,,,,,,-339957000.0,,
2024-03-31,3037,,,,,,,,,3962504000.0,,,,,,,,,,,,,
2024-06-30,3037,,,,,,,,,8094664000.0,,,,,,,,,,,,,
2024-09-30,3037,,,,,,,,,12341826000.0,,,,,,,,,,,,,
2024-12-31,3037,,,,,,,,,16730224000.0,,,,,,,,,,,,,
2025-03-31,3037,,,,,,,,,4468909000.0,,,,,,,,,,,,,
2025-06-30,3037,,,,,,,,,,,,,,,,,-13402542000.0,,,,,
2023-09-30,3138,,,-355203000.0,,,,,,,,,,,,,,,,,,,
2023-12-31,3138,,1156776000.0,,,,,,,,,,,,,,,,,,,,
2024-03-31,3138,,,,332778000.0,,,,,,,,,,,,,,,,,,
2024-06-30,3138,,,,291912000.0,,,,,,,,,,,,,,,,,,
2024-09-30,3138,,,,225804000.0,,,,,,,,,,,,,,,,,,
2024-12-31,3138,,,-265394000.0,,,,,,,,,,,,,,,,,,,
2025-03-31,3138,,,,,,,,,16408000.0,,,,,,,,,,,,,
2025-06-30,3138,,,,,,,,,32699000.0,,,,,,,,,,,,,
2023-09-30,3149,,,,,,,,,,,,,,,,,-25829000.0,,,,,
2023-12-31,3149,682275000.0,,,,,,,,,,,,,,,,,,,,,
2024-03-31,3149,,,-118994000.0,,,,,,,,,,,,,,,,,,,
2024-06-30,3149,,,,,,,,,,,,,,,,,-8759000.0,,,,,
2024-09-30,3149,,,,,,,,,,,,,,,,,-17381000.0,,,,,
2024-12-31,3149,,,,,,,,,,,,,,,,,-39850000.0,,,,,
2025-03-31,3149,,,,,,,,,35883000.0,,,,,,,,,,,,,
2025-06-30,3149,,,,,,,,,,,,,,,,,-92145000.0,,,,,
2023-09-30,3231,,,,,,,,,,,,,,,-7614767000.0,,,,,,,
2023-12-31,3231,,,,,,,,,,,,,,,,34808464000.0,,,,,,
2024-03-31,3231,,,,,,,,,2658694000.0,,,,,,,,,,,,,
2024-06-30,3231,,,,,,,,,5334277000.0,,,,,,,,,,,,,
2024-09-30,3231,,,,,,,,,8005501000.0,,,,,,,,,,,,,
2024-12-31,3231,,79880425000.0,,,,,,,,,,,,,,,,,,,,
2025-03-31,3231,,,,,,,,,2728510000.0,,,,,,,,,,,,,
2025-06-30,3231,,,,,,,,,5586779000.0,,,,,,,,,,,,,
2023-09-30,3380,,,,,,,,,,,,,,11026000.0,,,,,,,,
2023-12-31,3380,,,,,,,,,,,,,,,-152011000.0,,,,,,,
2024-03-31,3380,,,,,,,,,130238000.0,,,,,,,,,,,,,
2024-06-30,3380,,,,,407123000.0,,,,,,,,,,,,,,,,,
2024-09-30,3380,,,,,331689000.0,,,,,,,,,,,,,,,,,
2024-12-31,3380,,,,,,,,,,,,,,,,,-606530000.0,,,,,
2025-03-31,3380,,,,,,,,,136748000.0,,,,,,,,,,,,,
2025-06-30,3380,,,,,-99439000.0,,,,,,,,,,,,,,,,,
2023-09-30,3419,272902000.0,,,,,,,,,,,,,,,,,,,,,
2023-12-31,3419,,,,,,,,,,,,,,,,,,,,,-57981000.0,
2024-03-31,3419,,,-15932000.0,,,,,,,,,,,,,,,,,,,
2024-06-30,3419,,,-43152000.0,,,,,,,,,,,,,,,,,,,
2024-09-30,3419,,,,,,,,,54918000.0,,,,,,,,,,,,,
2024-12-31,3419,,,,,,,,,74954000.0,,,,,,,,,,,,,
2025-03-31,3419,,,23729000.0,,,,,,,,,,,,,,,,,,,
2025-06-30,3419,,,-77129000.0,,,,,,,,,,,,,,,,,,,
2023-09-30,3450,,,,,,,,,,,,,,,,,,,,-31955000.0,,
2023-12-31,3450,,,,,,,,-71170000.0,,,,,,,,,,,,,,
2024-03-31,3450,,,,,-21564000.0,,,,,,,,,,,,,,,,,
2024-06-30,3450,,,,,-136836000.0,,,,,,,,,,,,,,,,,
2024-09-30,3450,,,,,-311366000.0,,,,,,,,,,,,,,,,,
2024-12-31,3450,,,,,-712169000.0,,,,,,,,,,,,,,,,,
2025-03-31,3450,,,,,,,,,193395000.0,,,,,,,,,,,,,
2025-06-30,3450,,,,,-763422000.0,,,,,,,,,,,,,,,,,
2023-09-30,3686,42308000.0,,,,,,,,,,,,,,,,,,,,,
2023-12-31,3686,,,,,,,,,,51000.0,,,,,,,,,,,,
2024-03-31,3686,,20592000.0,,,,,,,,,,,,,,,,,,,,
2024-06-30,3686,,,,,,,,,,13000.0,,,,,,,,,,,,
2024-09-30,3686,,,,,,,,,,17000.0,,,,,,,,,,,,
2024-12-31,3686,,,,,,,,,,18000.0,,,,,,,,,,,,
2025-03-31,3686,,50633000.0,,,,,,,,,,,,,,,,,,,,
2025-06-30,3686,,,,,,,,,,55000.0,,,,,,,,,,,,
2023-09-30,3711,,,5033475000.0,,,,,,,,,,,,,,,,,,,
2023-12-31,3711,,,,,,,,,,,,,,,,,,,,,-300531590000.0,
2024-03-31,3711,,75105130000.0,,,,,,,,,,,,,,,,,,,,
2024-06-30,3711,,66172642000.0,,,,,,,,,,,,,,,,,,,,
2024-09-30,3711,,,,,,,,,,,,,,,,,,,-10800000000.0,,,
2024-12-31,3711,,,,,,,,,55995198000.0,,,,,,,,,,,,,
2025-03-31,3711,,,,,,,,,15153219000.0,,,,,,,,,,,,,
2025-06-30,3711,,,,,,,,,,,,,,,,,-81019446000.0,,,,,
2023-09-30,4536,,,,,,,,,,,,,,,,,-1108583000.0,,,,,
2023-12-31,4536,6986828000.0,,,,,,,,,,,,,,,,,,,,,
2024-03-31,4536,,,,,,,,,101990000.0,,,,,,,,,,,,,
2024-06-30,4536,,,,,,,,,199867000.0,,,,,,,,,,,,,
2024-09-30,4536,,,,,,,,,307247000.0,,,,,,,,,,,,,
2024-12-31,4536,,,,,,,,,414107000.0,,,,,,,,,,,,,
2025-03-31,4536,,,,,,,,,107269000.0,,,,,,,,,,,,,
2025-06-30,4536,,,,,,,,,208112000.0,,,,,,,,,,,,,
2023-09-30,4722,,,-300149000.0,,,,,,,,,,,,,,,,,,,
2023-12-31,4722,,,,,,,,,,,,,,,-10462000.0,,,,,,,
2024-03-31,4722,,,,,,,,,16859000.0,,,,,,,,,,,,,
2024-06-30,4722,,,121497000.0,,,,,,,,,,,,,,,,,,,
2024-09-30,4722,,,34329000.0,,,,,,,,,,,,,,,,,,,
2024-12-31,4722,,,26106000.0,,,,,,,,,,,,,,,,,,,
2025-03-31,4722,,,47649000.0,,,,,,,,,,,,,,,,,,,
2025-06-30,4722,,,200115000.0,,,,,,,,,,,,,,,,,,,
2023-09-30,4755,,,,,,,,,,,,,,,,,,-37330000.0,,,,
2023-12-31,4755,602138000.0,,,,,,,,,,,,,,,,,,,,,
2024-03-31,4755,,,-22266000.0,,,,,,,,,,,,,,,,,,,
2024-06-30,4755,,,-177722000.0,,,,,,,,,,,,,,,,,,,
2024-09-30,4755,,,-35038000.0,,,,,,,,,,,,,,,,,,,
2024-12-31,4755,,,31426000.0,,,,,,,,,,,,,,,,,,,
2025-03-31,4755,,,243760000.0,,,,,,,,,,,,,,,,,,,
2025-06-30,4755,,,197710000.0,,,,,,,,,,,,,,,,,,,
2023-09-30,5469,,,,,,,,,,,,,,-30826000.0,,,,,,,,
2023-12-31,5469,21974911000.0,,,,,,,,,,,,,,,,,,,,,
2024-03-31,5469,,,,,,,,,581419000.0,,,,,,,,,,,,,
2024-06-30,5469,,,,,-3711263000.0,,,,,,,,,,,,,,,,,
2024-09-30,5469,,,,,,,,,1784542000.0,,,,,,,,,,,,,
2024-12-31,5469,,,,,,,,,2395488000.0,,,,,,,,,,,,,
2025-03-31,5469,,,,,,,,,668723000.0,,,,,,,,,,,,,
2025-06-30,5469,,,,,,,,,1444921000.0,,,,,,,,,,,,,
2023-09-30,6116,,,,,,,,,,,,,,,-40315000.0,,,,,,,
2023-12-31,6116,5312098000.0,,,,,,,,,,,,,,,,,,,,,
2024-03-31,6116,,,,,-682107000.0,,,,,,,,,,,,,,,,,
2024-06-30,6116,,,,,1367001000.0,,,,,,,,,,,,,,,,,
2024-09-30,6116,,,,,3158336000.0,,,,,,,,,,,,,,,,,
2024-12-31,6116,,,,,,,,,3021603000.0,,,,,,,,,,,,,
2025-03-31,6116,,,,,,,,,738697000.0,,,,,,,,,,,,,
2025-06-30,6116,,,,,-449563000.0,,,,,,,,,,,,,,,,,
2023-09-30,6515,1504089000.0,,,,,,,,,,,,,,,,,,,,,
2023-12-31,6515,1504089000.0,,,,,,,,,,,,,,,,,,,,,
2024-03-31,6515,,,,,-426547000.0,,,,,,,,,,,,,,,,,
2024-06-30,6515,,,,,-508879000.0,,,,,,,,,,,,,,,,,
