date,stock_id,-,BadDebts,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent,Expense,GrossProfit,Income,IncomeAfterTax,IncomeAfterTaxes,IncomeBeforeTaxFromContinuingOperations,IncomeFromContinuingOperations,IncomeLossFromDiscontinuedOperation,NetChangeInProvisionsForInsuranceLiabilities,NetInterestIncome,NetNonInterestIncome,NoncontrollingInterests,OTHNOE,OperatingExpenses,OperatingIncome,OtherComprehensiveIncome,OtherComprehensiveIncomeAfterTax,OtherComprehensiveIncomeAfterTaxThePeriod,PreTaxIncome,RealizedGain,Revenue,TAX,TotalConsolidatedProfitForThePeriod,TotalNonbusinessIncome,TotalNonoperatingIncomeAndExpense,UnrealizedGain
2025-06-30,1414,,,,110329000.0,0.04,9300000.0,,16150000.0,,,9300000.0,,9300000.0,,,,,,,20184000.0,-4034000.0,-17802000.0,,,9602000.0,,126479000.0,302000.0,-8502000.0,,13636000.0,
2023-09-30,1419,,,,585667000.0,0.97,290032000.0,,230888000.0,,,290032000.0,,290032000.0,,,,,,0.0,153687000.0,77201000.0,297743000.0,,,316469000.0,,816555000.0,26437000.0,587775000.0,,239268000.0,
2023-12-31,1419,,,,734088000.0,0.34,100855000.0,,320400000.0,,,100855000.0,,100855000.0,,,,,,0.0,180677000.0,139723000.0,599862000.0,,,106657000.0,,1054488000.0,5802000.0,700717000.0,,-33066000.0,
2024-03-31,1419,,,,634913000.0,0.3,89726000.0,,226712000.0,,,89726000.0,,89726000.0,,,,,,1000.0,172796000.0,53917000.0,893538000.0,,,116808000.0,,861625000.0,27082000.0,983264000.0,,62891000.0,
2024-06-30,1419,,,,610565000.0,0.71,213446000.0,,277606000.0,,,213446000.0,,213446000.0,,,,,,33000.0,196020000.0,81619000.0,737355000.0,,,374210000.0,,888171000.0,160764000.0,950801000.0,,292591000.0,
2024-09-30,1419,,,,804956000.0,0.8,239628000.0,,330793000.0,,,239628000.0,,239628000.0,,,,,,0.0,181335000.0,149458000.0,-181992000.0,,,261516000.0,,1135749000.0,21888000.0,57636000.0,,112058000.0,
2024-12-31,1419,,,,930633000.0,1.09,326214000.0,,398311000.0,,,326214000.0,,326214000.0,,,,,,0.0,224999000.0,173312000.0,395260000.0,,,359135000.0,,1328944000.0,32921000.0,721474000.0,,185823000.0,
2025-03-31,1419,,,0.0,770801000.0,0.33,98701000.0,,292959000.0,,,98701000.0,,98701000.0,,,,,0.0,0.0,186931000.0,106028000.0,179304000.0,,,143873000.0,,1063760000.0,45172000.0,278005000.0,,37845000.0,
2025-06-30,1419,,,0.0,666110000.0,1.09,324802000.0,,270670000.0,,,324802000.0,,324802000.0,,,,,0.0,,201141000.0,69529000.0,-634765000.0,,,304513000.0,,936780000.0,-20289000.0,-309963000.0,,234984000.0,
2023-09-30,1504,,,65034000.0,11357039000.0,0.47,981154000.0,,3708063000.0,,,1109420000.0,,1109420000.0,,,,,128266000.0,,2033584000.0,1677171000.0,-4087048000.0,,,1608950000.0,0.0,15065102000.0,499530000.0,-2977628000.0,,-68221000.0,-2692000.0
2023-12-31,1504,,,78492000.0,10640428000.0,0.51,1092114000.0,,3723886000.0,,,1225230000.0,,1225230000.0,,,,,133116000.0,,2212094000.0,1508341000.0,49902000.0,,,1699822000.0,0.0,14364314000.0,474592000.0,1275132000.0,,191481000.0,3451000.0
2024-03-31,1504,,,133790000.0,10172677000.0,0.55,1159139000.0,,3556921000.0,,,1286957000.0,,1286957000.0,,,,,127818000.0,,1922102000.0,1634045000.0,-2295197000.0,,,1769881000.0,10419000.0,13729598000.0,482924000.0,-1008240000.0,,135836000.0,11193000.0
