mkt_price,stock_id,date,mkt_ret_1d,mkt_ret_5d,mkt_ret_20d
36741.47,TAIEX,2023-07-18,,,
36511.33,TAIEX,2023-07-19,-0.0062637668008383995,,
36641.17,TAIEX,2023-07-20,0.003556156404053157,,
36358.14,TAIEX,2023-07-21,-0.007724371246878858,,
36365.21,TAIEX,2023-07-24,0.00019445439178134016,,
36728.74,TAIEX,2023-07-25,0.009996642395300404,-0.0003464749777296605,
36671.3,TAIEX,2023-07-26,-0.001563897917543411,0.004381379697754095,
36852.39,TAIEX,2023-07-27,0.004938194173645272,0.005764553915718285,
36966.99,TAIEX,2023-07-28,0.0031097033326739076,0.01674590614371363,
36654.26,TAIEX,2023-07-31,-0.008459709594965559,0.00794853102731996,
36810.67,TAIEX,2023-08-01,0.004267171128267133,0.002230678210033865,
36133.38,TAIEX,2023-08-02,-0.01839928477259445,-0.014668691865300842,
36072.73,TAIEX,2023-08-04,-0.0016785033672463978,-0.02115629406939401,
36399.79,TAIEX,2023-08-07,0.009066682782256752,-0.015343418547195675,
36145.48,TAIEX,2023-08-08,-0.00698657876872355,-0.013880514843295111,
36142.32,TAIEX,2023-08-09,-8.742448571730232e-05,-0.018156420407452467,
35659.69,TAIEX,2023-08-10,-0.013353597666115435,-0.013109484913949254,
35596.18,TAIEX,2023-08-11,-0.0017810025830287124,-0.013210810493134328,
35151.09,TAIEX,2023-08-14,-0.012503869797264922,-0.034305142969231484,
35282.85,TAIEX,2023-08-15,0.003748390163718973,-0.023865501301960967,
35269.75,TAIEX,2023-08-16,-0.00037128519946660887,-0.02414261176371635,-0.04005610009615845
35428.05,TAIEX,2023-08-17,0.004488265439930972,-0.006495850076094323,-0.029669694311327488
35141.0,TAIEX,2023-08-18,-0.008102336990040482,-0.012787327179489494,-0.04094219698770529
35141.56,TAIEX,2023-08-21,1.5935801485289502e-05,-0.00027111534805890347,-0.03346100763130355
35262.22,TAIEX,2023-08-22,0.0034335413681123583,-0.000584703333205705,-0.0303309124297646
35563.32,TAIEX,2023-08-23,0.008538883825238486,0.008323563393559663,-0.03173046502548138
35984.99,TAIEX,2023-08-24,0.011856879503938211,0.015720312012656557,-0.018715180536277853
35370.65,TAIEX,2023-08-25,-0.017072118124806912,0.006535101448450487,-0.04020743295075291
35435.95,TAIEX,2023-08-28,0.0018461634151476503,0.008377260428962252,-0.04141640961300885
35686.65,TAIEX,2023-08-29,0.007074736249486957,0.012036394759036728,-0.026398295859744514
35893.63,TAIEX,2023-08-30,0.0057999279842742,0.009287940495994018,-0.024912341992145204
35715.18,TAIEX,2023-08-31,-0.004971634242621814,-0.0074978484084613495,-0.011573785790313429
35737.71,TAIEX,2023-09-01,0.0006308242041619394,0.010377530523187906,-0.009287348088154235
36049.5,TAIEX,2023-09-04,0.008724397841943343,0.01731433755832712,-0.009623407168008358
36054.19,TAIEX,2023-09-05,0.00013009889180159995,0.01029908943540514,-0.002525626994025254
