stock_id,stock_name,industry_category,type,date
6830,汎銓,其他電子業,twse,2025-09-24
6831,邁科,電腦及週邊設備業,emerging,2025-09-24
6832,金鼎科,其他,emerging,2025-09-24
6833,太康精密,電子零組件業,emerging,2025-09-24
6834,天二科技,電子工業,twse,2025-09-24
6835,圓裕,電子工業,twse,2025-09-24
6838,台新藥,化學生技醫療,twse,2025-09-24
6839,開陽能源,綠能環保,emerging,2025-09-24
6840,東研信超,其他電子類,tpex,2025-09-24
6841,長佳智能,生技醫療業,tpex,2025-09-24
6842,一元素,半導體業,emerging,2025-09-24
6843,進典,電機機械,tpex,2025-09-24
6844,諾貝兒,生技醫療業,tpex,2025-09-24
6846,綠茵,食品工業,tpex,2025-09-24
6847,普瑞博,生技醫療業,emerging,2025-09-24
6848,拉法醫,生技醫療業,emerging,2025-09-24
6849,奇鼎科技,其他電子業,emerging,2025-09-24
6850,光鼎生技,生技醫療業,emerging,2025-09-24
6854,錼創科技-KY創,創新板股票,twse,2025-09-24
6855,數泓科,其他電子類,tpex,2025-09-24
6856,鑫傳,文化創意業,tpex,2025-09-24
6857,宏碁智醫,生技醫療業,emerging,2025-09-24
6858,愛比科技,電腦及週邊設備業,emerging,2025-09-24
6859,伯特光,光電業,tpex,2025-09-24
6861,睿生光電,化學生技醫療,twse,2025-09-24
6862,三集瑞-KY,電子工業,twse,2025-09-24
6863,永道-KY,通信網路業,twse,2025-09-24
6864,元樟生技,生技醫療業,emerging,2025-09-24
6865,偉康科技,數位雲端類,tpex,2025-09-24
6867,坦德科技,光電業,emerging,2025-09-24
6868,采威國際,資訊服務業,emerging,2025-09-24
6869,雲豹能源,綠能環保,twse,2025-09-24
6870,騰雲,數位雲端類,tpex,2025-09-24
6872,浩宇生醫,生技醫療業,tpex,2025-09-24
6873,泓德能源,綠能環保,twse,2025-09-24
6874,倍力,資訊服務業,tpex,2025-09-24
6875,國邑*,生技醫療業,tpex,2025-09-24
6876,朗齊生醫*,生技醫療業,emerging,2025-09-24
6877,鏵友益,其他電子類,tpex,2025-09-24
6878,歐付寶,金融業,emerging,2025-09-24
6879,大江基因,生技醫療業,emerging,2025-09-24
6881,潤德,其他,tpex,2025-09-24
6882,甲尚,資訊服務業,emerging,2025-09-24
6883,微電能源,綠能環保,emerging,2025-09-24
6884,海柏特,資訊服務業,emerging,2025-09-24
6885,全福生技,生技醫療業,twse,2025-09-24
6886,遠東生技,食品工業,emerging,2025-09-24
6887,寶綠特-KY,綠能環保,twse,2025-09-24
6890,來億-KY,運動休閒,twse,2025-09-24
6891,樂迦再生,生技醫療業,emerging,2025-09-24
6892,台寶生醫,生技醫療業,emerging,2025-09-24
6894,衛司特,綠能環保類,tpex,2025-09-24
6895,宏碩系統,半導體業,tpex,2025-09-24
6898,程曦資訊,資訊服務業,emerging,2025-09-24
6899,創為精密,光電業,tpex,2025-09-24
6901,鑽石投資,其他,twse,2025-09-24
6902,GOGOLOOK,數位雲端,twse,2025-09-24
6903,巨漢,其他電子類,tpex,2025-09-24
6904,伯鑫,其他,tpex,2025-09-24
6906,現觀科,數位雲端,twse,2025-09-24
6908,宏碁遊戲,電子通路業,emerging,2025-09-24
6909,創控,半導體業,twse,2025-09-24
6910,德鴻,數位雲端,emerging,2025-09-24
6911,群運,其他,emerging,2025-09-24
6912,益鈞環科*,綠能環保,emerging,2025-09-24
6913,鴻呈,電子零組件業,tpex,2025-09-24
6914,阜爾運通,其他,twse,2025-09-24
6915,美強光,電子零組件業,emerging,2025-09-24
6916,華凌,電子工業,twse,2025-09-24
6917,竟天,生技醫療業,emerging,2025-09-24
6918,愛派司,化學生技醫療,twse,2025-09-24
6919,康霈*,化學生技醫療,twse,2025-09-24
6920,恆勁科技,半導體業,emerging,2025-09-24
6922,宸曜,電腦及週邊設備業,tpex,2025-09-24
6923,中台,綠能環保,twse,2025-09-24
6924,榮惠-KY創,創新板股票,twse,2025-09-24
6925,意藍,數位雲端類,tpex,2025-09-24
6926,聖安生醫,生技醫療業,emerging,2025-09-24
6927,聯合聚晶,半導體業,emerging,2025-09-24
6928,攸泰科技,電子工業,twse,2025-09-24
6929,佑全,生技醫療業,tpex,2025-09-24
6931,青松健康,化學生技醫療,twse,2025-09-24
6932,水星生醫*,生技醫療業,emerging,2025-09-24
6933,AMAX-KY,電子工業,twse,2025-09-24
6934,心誠鎂,生技醫療業,emerging,2025-09-24
6935,王子製藥,食品工業,emerging,2025-09-24
6936,永鴻生技,化學生技醫療,twse,2025-09-24
6937,天虹,半導體業,twse,2025-09-24
6938,藍新資訊,資訊服務業,emerging,2025-09-24
6939,啟弘生技,生技醫療業,emerging,2025-09-24
6940,格斯科技*,電子零組件業,emerging,2025-09-24
6944,兆聯實業,綠能環保,twse,2025-09-24
6945,圓祥生技,生技醫療業,emerging,2025-09-24
6946,三地能源,綠能環保,emerging,2025-09-24
6947,台鎔科技,綠能環保,emerging,2025-09-24
6949,沛爾生醫-創,創新板股票,twse,2025-09-24
6951,青新-創,創新板股票,twse,2025-09-24
6952,大武山,其他,twse,2025-09-24
6953,家碩,半導體業,tpex,2025-09-24
6955,邦睿生技-創,創新板股票,twse,2025-09-24
6957,裕慶-KY,其他,twse,2025-09-24
6958,日盛台駿,其他,twse,2025-09-24
6959,兆捷科技,化學工業,emerging,2025-09-24
6961,旅天下,觀光餐旅,emerging,2025-09-24
6962,奕力-KY,電子工業,twse,2025-09-24
6963,品元,食品工業,emerging,2025-09-24
6965,中傑-KY,運動休閒,twse,2025-09-24
6967,汎瑋材料,電子零組件業,tpex,2025-09-24
6968,萬達寵物,居家生活類,tpex,2025-09-24
6969,成信實業*-創,創新板股票,twse,2025-09-24
6971,惠民實業,綠能環保,emerging,2025-09-24
6972,博瑞達應材,化學工業,emerging,2025-09-24
6973,永立榮,生技醫療業,emerging,2025-09-24
6976,育世博-KY,生技醫療業,emerging,2025-09-24
6977,聯純,綠能環保,emerging,2025-09-24
6979,勝釩,光電業,emerging,2025-09-24
6980,鐳洋科技,通信網路業,emerging,2025-09-24
6982,大井泵浦,電機機械,tpex,2025-09-24
6983,華洋精機,其他電子業,emerging,2025-09-24
6984,ACpay,數位雲端,emerging,2025-09-24
6986,和迅,生技醫療業,emerging,2025-09-24
6987,寶晶能源*,綠能環保,emerging,2025-09-24
6988,威力暘-創,創新板股票,twse,2025-09-24
6990,華鉬,綠能環保,emerging,2025-09-24
6994,富威電力,綠能環保,twse,2025-09-24
6995,野獸國,其他,emerging,2025-09-24
6996,力領科技,半導體業,tpex,2025-09-24
6997,博弘,數位雲端類,tpex,2025-09-24
6999,瀚醫生技,生技醫療業,emerging,2025-09-24
7402,邑錡,光電業,tpex,2025-09-24
7419,達勝,電子零組件業,emerging,2025-09-24
7427,華上生醫,生技醫療業,emerging,2025-09-24
7443,凡事康,其他,emerging,2025-09-24
7455,樺緯物聯,電腦及週邊設備業,emerging,2025-09-24
7507,環拓科技,綠能環保,emerging,2025-09-24
7516,清淨海,其他,emerging,2025-09-24
7530,鋒魁科技,半導體業,emerging,2025-09-24
7547,碩網,數位雲端類,tpex,2025-09-24
7551,知識科技,數位雲端,emerging,2025-09-24
7555,美萌,生技醫療業,emerging,2025-05-23
7556,意德士,半導體業,tpex,2025-09-24
7558,群利科技,其他,emerging,2025-09-24
7561,光晟生技,生技醫療業,emerging,2025-09-24
7562,博來科技,電腦及週邊設備業,emerging,2025-09-24
7566,亞果遊艇,觀光餐旅,emerging,2025-09-24
7575,安美得,生技醫療業,emerging,2025-09-24
7578,利百景,其他,emerging,2025-09-24
7583,國際海洋,綠能環保,emerging,2025-09-24
7584,樂意,文化創意業,tpex,2025-09-24
7590,怡和國際,其他,emerging,2025-09-24
7595,世基生醫,生技醫療業,emerging,2025-09-24
7607,通用幹細胞*,生技醫療業,emerging,2025-09-24
7610,聯友金屬-創,綠能環保,twse,2025-09-24
7631,聚賢研發-創,電子工業,twse,2025-09-24
7642,昶瑞機電,電機機械,tpex,2025-09-24
7702,前端風電,綠能環保,emerging,2025-09-24
7703,銳澤,其他電子類,tpex,2025-09-24
7704,明遠精密,半導體業,tpex,2025-09-24
7705,三商餐飲,觀光餐旅,twse,2025-09-24
7706,宏碁創達,其他,emerging,2025-09-24
7707,益芯科,半導體業,emerging,2025-09-24
7708,全家餐飲,觀光餐旅,tpex,2025-09-24
7709,榮田,電機機械,tpex,2025-09-24
7711,永擎,電腦及週邊設備業,emerging,2025-09-24
7712,博盛半導體,半導體業,tpex,2025-09-24
7713,威力德生醫,生技醫療業,tpex,2025-09-24
7714,創泓科技,數位雲端類,tpex,2025-09-24
7715,裕山,綠能環保類,tpex,2025-09-24
7716,昱臺國際,航運業,emerging,2025-09-24
7718,友鋮,鋼鐵工業,tpex,2025-09-24
7719,碳基,其他,emerging,2025-09-24
7721,微程式,數位雲端,twse,2025-09-24
7722,LINEPAY,數位雲端,twse,2025-09-24
7723,築間,觀光餐旅,tpex,2025-09-24
7724,諾亞克,生技醫療業,emerging,2025-09-24
7725,列特博,生技醫療業,emerging,2025-09-24
7726,暄達,生技醫療業,emerging,2025-09-24
7728,光焱科技,其他電子類,tpex,2025-09-24
7729,仲恩生醫,生技醫療業,emerging,2025-09-24
7730,暉盛,半導體業,emerging,2025-09-24
7731,火星生技*,食品工業,emerging,2025-09-24
7732,金興精密,汽車工業,twse,2025-09-24
7734,印能科技,半導體業,tpex,2025-09-24
7736,虎山,汽車工業,twse,2025-09-24
7737,凱鈿,數位雲端,emerging,2025-09-24
7738,東聯互動,數位雲端,emerging,2025-09-24
7740,熙特爾-創,創新板股票,twse,2025-09-24
7742,天弘化,化學工業,emerging,2025-09-24
7743,金利食安,食品工業,tpex,2025-09-24
7744,崴寶,電子零組件業,emerging,2025-09-24
7747,昕奇雲端,數位雲端類,tpex,2025-09-24
7748,鑫囍創業,其他,emerging,2025-09-24
7749,意騰-KY,半導體業,twse,2025-09-24
7750,新代,電機機械,twse,2025-09-24
7751,竑騰,半導體業,tpex,2025-09-24
7752,世紀樺欣,綠能環保,emerging,2025-09-24
7753,星亞,光電業,tpex,2025-09-24
7754,安基生技,生技醫療業,emerging,2025-09-24
7756,多那之,觀光餐旅,emerging,2025-09-24
7757,金色三麥,觀光餐旅,emerging,2025-09-24
7758,睿騰能源,電子零組件業,emerging,2025-09-24
7759,視航生醫,生技醫療業,emerging,2025-09-24
7760,享溫馨,觀光餐旅,emerging,2025-09-24
7761,三大未來,綠能環保,emerging,2025-09-24
7762,吉晟生,生技醫療業,emerging,2025-09-24
7763,崇舜,化學工業,emerging,2025-09-24
7764,聖州,其他,emerging,2025-09-24
7765,中華資安,數位雲端,twse,2025-09-24
7767,仁大資訊,資訊服務業,emerging,2025-09-24
7768,頌勝科技,半導體業,emerging,2025-09-24
7769,鴻勁,半導體業,emerging,2025-09-24
7770,君曜,半導體業,emerging,2025-09-24
7772,耀穎,半導體業,emerging,2025-09-24
7773,富禾生醫,生技醫療業,emerging,2025-09-24
7776,奧孟亞,生技醫療業,emerging,2025-09-24
7777,能率亞洲,其他,emerging,2025-09-24
7779,鍇睿國際,運動休閒,emerging,2025-09-24
7780,大研生醫,食品工業,twse,2025-09-24
7781,昕力資*,數位雲端,emerging,2025-09-24
7782,光速火箭,居家生活,emerging,2025-09-24
7783,佳運,綠能環保,emerging,2025-09-24
7785,北祥科服,數位雲端,emerging,2025-09-24
7786,東方風能,綠能環保,emerging,2025-09-24
7788,松川精密,電子零組件業,emerging,2025-09-24
7789,開展,觀光餐旅,emerging,2025-09-24
7790,思必瑞特,生技醫療業,emerging,2025-09-24
7791,皇家可口,食品工業,emerging,2025-09-24
7792,安葆,其他電子業,emerging,2025-09-24
7794,宏碁智新,居家生活,emerging,2025-09-24
7795,長廣,電子零組件業,emerging,2025-09-24
7796,擷發科,半導體業,emerging,2025-09-24
7797,Q Burger,觀光餐旅,emerging,2025-09-24
7799,禾榮科,化學生技醫療,twse,2025-09-24
7801,華芸科技,資訊服務業,emerging,2025-09-24
7803,雲象科技,生技醫療業,emerging,2025-09-24
7805,威聯通,數位雲端,emerging,2025-09-24
7806,精華生醫,食品工業,emerging,2025-09-24
7808,訊聯智藥,生技醫療業,emerging,2025-09-24
7810,捷創科技,半導體業,emerging,2025-09-24
7811,民盛,運動休閒,emerging,2025-09-24
7812,稜研科技*,通信網路業,emerging,2025-09-24
7813,宇辰系統,其他電子業,emerging,2025-09-24
7814,海昌生技,生技醫療業,emerging,2025-09-24
7815,新特,半導體業,emerging,2025-09-24
7816,來穎,電子零組件業,emerging,2025-09-24
7818,溢泰實業,其他,emerging,2025-09-24
7819,精誠金融,資訊服務業,emerging,2025-09-24
7820,立盈,綠能環保,emerging,2025-09-24
7821,神數,其他電子業,emerging,2025-09-24
7822,倍利科,半導體業,emerging,2025-09-24
7824,智寶,其他,emerging,2025-09-24
7825,和亞智慧,其他電子業,emerging,2025-09-24
7826,極風雲創,數位雲端,emerging,2025-09-24
7827,漢康-KY,生技醫療業,emerging,2025-09-24
7828,創新服務,半導體業,emerging,2025-09-24
7829,思捷優達-KY,生技醫療業,emerging,2025-09-24
7831,捷博,居家生活,emerging,2025-09-24
7832,智新生技*,生技醫療業,emerging,2025-09-24
7833,綠岩能源,綠能環保,emerging,2025-09-24
7834,來毅數位,資訊服務業,emerging,2025-09-24
7836,今網智慧,其他,emerging,2025-09-24
7837,啟新生,生技醫療業,emerging,2025-09-24
7839,達人網,數位雲端,emerging,2025-09-24
7840,祥圃,農業科技,emerging,2025-09-24
7841,經貿聯網,資訊服務業,emerging,2025-09-24
7842,天能綠電,綠能環保,emerging,2025-09-24
7843,英柏得,半導體業,emerging,2025-09-24
7846,德揚,綠能環保,emerging,2025-09-24
7847,豊漁,觀光餐旅,emerging,2025-09-24
7848,騏億鑫,其他電子業,emerging,2025-09-24
7849,旭誼,其他電子業,emerging,2025-09-24
7850,寶泰生醫,生技醫療業,emerging,2025-09-24
7856,漢測,半導體業,emerging,2025-09-24
7857,合水先進,綠能環保,emerging,2025-09-24
7860,得生製藥,生技醫療業,emerging,2025-09-24
