price,stock_id,date
44856.39,TAIEX,2024-04-11
44844.18,TAIEX,2024-04-12
44223.94,TAIEX,2024-04-15
43039.29,TAIEX,2024-04-16
43712.64,TAIEX,2024-04-17
43903.96,TAIEX,2024-04-18
42230.39,TAIEX,2024-04-19
41979.74,TAIEX,2024-04-22
42386.44,TAIEX,2024-04-23
43537.96,TAIEX,2024-04-24
42946.11,TAIEX,2024-04-25
43515.12,TAIEX,2024-04-26
44326.15,TAIEX,2024-04-29
44112.21,TAIEX,2024-04-30
43735.55,TAIEX,2024-05-02
43968.87,TAIEX,2024-05-03
44386.24,TAIEX,2024-05-06
44667.87,TAIEX,2024-05-07
44769.5,TAIEX,2024-05-08
44467.27,TAIEX,2024-05-09
44787.5,TAIEX,2024-05-10
45109.46,TAIEX,2024-05-13
45386.61,TAIEX,2024-05-14
45735.57,TAIEX,2024-05-15
46075.24,TAIEX,2024-05-16
45976.31,TAIEX,2024-05-17
46004.77,TAIEX,2024-05-20
45929.33,TAIEX,2024-05-21
46610.76,TAIEX,2024-05-22
46731.01,TAIEX,2024-05-23
46639.97,TAIEX,2024-05-24
47155.74,TAIEX,2024-05-27
47273.9,TAIEX,2024-05-28
46850.42,TAIEX,2024-05-29
46207.63,TAIEX,2024-05-30
45797.29,TAIEX,2024-05-31
46583.96,TAIEX,2024-06-03
46196.03,TAIEX,2024-06-04
46477.92,TAIEX,2024-06-05
47384.11,TAIEX,2024-06-06
47289.2,TAIEX,2024-06-07
47151.88,TAIEX,2024-06-11
47711.37,TAIEX,2024-06-12
48348.58,TAIEX,2024-06-13
48767.02,TAIEX,2024-06-14
48750.2,TAIEX,2024-06-17
49339.22,TAIEX,2024-06-18
50321.38,TAIEX,2024-06-19
50772.22,TAIEX,2024-06-20
50445.25,TAIEX,2024-06-21
49505.93,TAIEX,2024-06-24
49650.53,TAIEX,2024-06-25
49896.81,TAIEX,2024-06-26
49769.18,TAIEX,2024-06-27
50048.9,TAIEX,2024-06-28
50159.02,TAIEX,2024-07-01
49852.62,TAIEX,2024-07-02
50501.99,TAIEX,2024-07-03
51339.0,TAIEX,2024-07-04
51415.47,TAIEX,2024-07-05
52135.78,TAIEX,2024-07-08
52209.5,TAIEX,2024-07-09
52479.11,TAIEX,2024-07-10
53330.65,TAIEX,2024-07-11
52302.48,TAIEX,2024-07-12
52248.36,TAIEX,2024-07-15
52529.47,TAIEX,2024-07-16
52045.59,TAIEX,2024-07-17
51266.41,TAIEX,2024-07-18
50130.36,TAIEX,2024-07-19
48792.77,TAIEX,2024-07-22
50151.75,TAIEX,2024-07-23
48539.19,TAIEX,2024-07-26
48644.25,TAIEX,2024-07-29
48777.14,TAIEX,2024-07-30
48730.19,TAIEX,2024-07-31
49729.5,TAIEX,2024-08-01
47524.87,TAIEX,2024-08-02
43565.81,TAIEX,2024-08-05
45043.44,TAIEX,2024-08-06
46789.33,TAIEX,2024-08-07
45880.56,TAIEX,2024-08-08
47197.17,TAIEX,2024-08-09
47867.63,TAIEX,2024-08-12
47931.29,TAIEX,2024-08-13
48445.96,TAIEX,2024-08-14
48167.04,TAIEX,2024-08-15
49168.48,TAIEX,2024-08-16
49305.49,TAIEX,2024-08-19
49349.07,TAIEX,2024-08-20
48929.24,TAIEX,2024-08-21
48743.9,TAIEX,2024-08-22
48766.18,TAIEX,2024-08-23
48951.57,TAIEX,2024-08-26
48839.28,TAIEX,2024-08-27
49252.17,TAIEX,2024-08-28
48885.27,TAIEX,2024-08-29
49032.31,TAIEX,2024-08-30
48960.74,TAIEX,2024-09-02
48647.56,TAIEX,2024-09-03
46447.84,TAIEX,2024-09-04
46663.02,TAIEX,2024-09-05
47208.33,TAIEX,2024-09-06
46568.93,TAIEX,2024-09-09
46391.97,TAIEX,2024-09-10
46319.12,TAIEX,2024-09-11
47767.18,TAIEX,2024-09-12
48002.35,TAIEX,2024-09-13
48201.91,TAIEX,2024-09-16
47824.16,TAIEX,2024-09-18
48627.23,TAIEX,2024-09-19
48884.73,TAIEX,2024-09-20
49162.92,TAIEX,2024-09-23
49486.36,TAIEX,2024-09-24
50214.86,TAIEX,2024-09-25
50433.97,TAIEX,2024-09-26
50354.5,TAIEX,2024-09-27
49034.57,TAIEX,2024-09-30
49400.47,TAIEX,2024-10-01
49207.14,TAIEX,2024-10-04
50089.32,TAIEX,2024-10-07
49888.19,TAIEX,2024-10-08
49993.41,TAIEX,2024-10-09
50528.56,TAIEX,2024-10-11
50691.06,TAIEX,2024-10-14
51389.92,TAIEX,2024-10-15
50769.8,TAIEX,2024-10-16
50864.37,TAIEX,2024-10-17
51820.95,TAIEX,2024-10-18
51942.88,TAIEX,2024-10-21
51927.27,TAIEX,2024-10-22
51484.62,TAIEX,2024-10-23
51170.78,TAIEX,2024-10-24
51514.82,TAIEX,2024-10-25
51183.03,TAIEX,2024-10-28
50584.04,TAIEX,2024-10-29
50349.83,TAIEX,2024-10-30
50261.53,TAIEX,2024-11-01
50670.37,TAIEX,2024-11-04
50982.36,TAIEX,2024-11-05
51226.38,TAIEX,2024-11-06
51648.76,TAIEX,2024-11-07
51968.85,TAIEX,2024-11-08
51915.34,TAIEX,2024-11-11
50706.53,TAIEX,2024-11-12
50438.36,TAIEX,2024-11-13
50118.77,TAIEX,2024-11-14
50179.21,TAIEX,2024-11-15
49746.25,TAIEX,2024-11-18
50413.13,TAIEX,2024-11-19
50059.15,TAIEX,2024-11-20
49766.37,TAIEX,2024-11-21
50535.64,TAIEX,2024-11-22
50633.11,TAIEX,2024-11-25
50038.25,TAIEX,2024-11-26
49279.3,TAIEX,2024-11-27
49200.65,TAIEX,2024-11-28
49120.33,TAIEX,2024-11-29
50167.12,TAIEX,2024-12-02
50808.14,TAIEX,2024-12-03
51310.92,TAIEX,2024-12-04
51338.84,TAIEX,2024-12-05
51174.1,TAIEX,2024-12-06
51350.59,TAIEX,2024-12-09
51027.33,TAIEX,2024-12-10
50538.67,TAIEX,2024-12-11
50926.92,TAIEX,2024-12-12
50868.77,TAIEX,2024-12-13
50911.67,TAIEX,2024-12-16
50863.3,TAIEX,2024-12-17
51197.77,TAIEX,2024-12-18
50675.89,TAIEX,2024-12-19
49743.34,TAIEX,2024-12-20
51056.61,TAIEX,2024-12-23
51091.32,TAIEX,2024-12-24
51312.04,TAIEX,2024-12-25
51371.36,TAIEX,2024-12-26
51434.88,TAIEX,2024-12-27
51245.97,TAIEX,2024-12-30
50903.23,TAIEX,2024-12-31
50486.46,TAIEX,2025-01-02
