price,stock_id,date
430.78,TPEx,2024-05-14
431.49,TPEx,2024-05-15
434.99,TPEx,2024-05-16
436.65,TPEx,2024-05-17
436.34,TPEx,2024-05-20
436.57,TPEx,2024-05-21
441.1,TPEx,2024-05-22
437.97,TPEx,2024-05-23
442.59,TPEx,2024-05-24
446.47,TPEx,2024-05-27
450.85,TPEx,2024-05-28
451.57,TPEx,2024-05-29
448.38,TPEx,2024-05-30
448.25,TPEx,2024-05-31
452.8,TPEx,2024-06-03
450.63,TPEx,2024-06-04
451.08,TPEx,2024-06-05
451.09,TPEx,2024-06-06
454.6,TPEx,2024-06-07
454.58,TPEx,2024-06-11
459.43,TPEx,2024-06-12
463.09,TPEx,2024-06-13
464.44,TPEx,2024-06-14
465.8,TPEx,2024-06-17
468.3,TPEx,2024-06-18
467.65,TPEx,2024-06-19
473.13,TPEx,2024-06-20
471.65,TPEx,2024-06-21
466.19,TPEx,2024-06-24
467.53,TPEx,2024-06-25
472.75,TPEx,2024-06-26
470.09,TPEx,2024-06-27
477.12,TPEx,2024-06-28
481.13,TPEx,2024-07-01
482.23,TPEx,2024-07-02
483.14,TPEx,2024-07-03
485.49,TPEx,2024-07-04
491.36,TPEx,2024-07-05
488.12,TPEx,2024-07-08
487.32,TPEx,2024-07-09
490.93,TPEx,2024-07-10
493.63,TPEx,2024-07-11
488.63,TPEx,2024-07-12
489.26,TPEx,2024-07-15
491.45,TPEx,2024-07-16
493.9,TPEx,2024-07-17
486.96,TPEx,2024-07-18
477.69,TPEx,2024-07-19
464.66,TPEx,2024-07-22
470.77,TPEx,2024-07-23
466.32,TPEx,2024-07-26
458.91,TPEx,2024-07-29
464.77,TPEx,2024-07-30
462.91,TPEx,2024-07-31
471.46,TPEx,2024-08-01
455.42,TPEx,2024-08-02
419.64,TPEx,2024-08-05
416.12,TPEx,2024-08-06
437.92,TPEx,2024-08-07
436.01,TPEx,2024-08-08
445.87,TPEx,2024-08-09
451.61,TPEx,2024-08-12
454.23,TPEx,2024-08-13
459.99,TPEx,2024-08-14
463.63,TPEx,2024-08-15
470.71,TPEx,2024-08-16
475.38,TPEx,2024-08-19
477.54,TPEx,2024-08-20
474.55,TPEx,2024-08-21
477.06,TPEx,2024-08-22
480.51,TPEx,2024-08-23
477.05,TPEx,2024-08-26
481.92,TPEx,2024-08-27
482.34,TPEx,2024-08-28
483.76,TPEx,2024-08-29
486.04,TPEx,2024-08-30
482.48,TPEx,2024-09-02
479.47,TPEx,2024-09-03
463.95,TPEx,2024-09-04
462.5,TPEx,2024-09-05
463.58,TPEx,2024-09-06
461.48,TPEx,2024-09-09
453.36,TPEx,2024-09-10
455.15,TPEx,2024-09-11
464.19,TPEx,2024-09-12
468.07,TPEx,2024-09-13
469.5,TPEx,2024-09-16
465.82,TPEx,2024-09-18
474.27,TPEx,2024-09-19
472.95,TPEx,2024-09-20
473.59,TPEx,2024-09-23
471.89,TPEx,2024-09-24
478.58,TPEx,2024-09-25
480.0,TPEx,2024-09-26
478.86,TPEx,2024-09-27
475.51,TPEx,2024-09-30
478.75,TPEx,2024-10-01
474.25,TPEx,2024-10-04
480.13,TPEx,2024-10-07
477.94,TPEx,2024-10-08
474.7,TPEx,2024-10-09
477.35,TPEx,2024-10-11
478.79,TPEx,2024-10-14
479.74,TPEx,2024-10-15
478.99,TPEx,2024-10-16
481.48,TPEx,2024-10-17
476.0,TPEx,2024-10-18
482.69,TPEx,2024-10-21
484.61,TPEx,2024-10-22
485.54,TPEx,2024-10-23
478.73,TPEx,2024-10-24
478.51,TPEx,2024-10-25
473.0,TPEx,2024-10-28
468.36,TPEx,2024-10-29
468.1,TPEx,2024-10-30
469.36,TPEx,2024-11-01
467.6,TPEx,2024-11-04
467.26,TPEx,2024-11-05
469.66,TPEx,2024-11-06
474.07,TPEx,2024-11-07
472.22,TPEx,2024-11-08
470.48,TPEx,2024-11-11
461.46,TPEx,2024-11-12
460.69,TPEx,2024-11-13
453.86,TPEx,2024-11-14
454.36,TPEx,2024-11-15
446.08,TPEx,2024-11-18
454.07,TPEx,2024-11-19
453.23,TPEx,2024-11-20
457.01,TPEx,2024-11-21
459.9,TPEx,2024-11-22
463.82,TPEx,2024-11-25
460.15,TPEx,2024-11-26
452.49,TPEx,2024-11-27
447.95,TPEx,2024-11-28
454.85,TPEx,2024-11-29
456.84,TPEx,2024-12-02
459.1,TPEx,2024-12-03
465.28,TPEx,2024-12-04
466.67,TPEx,2024-12-05
463.35,TPEx,2024-12-06
461.49,TPEx,2024-12-09
457.52,TPEx,2024-12-10
456.75,TPEx,2024-12-11
456.04,TPEx,2024-12-12
452.35,TPEx,2024-12-13
443.16,TPEx,2024-12-16
449.75,TPEx,2024-12-17
452.06,TPEx,2024-12-18
451.43,TPEx,2024-12-19
447.28,TPEx,2024-12-20
450.44,TPEx,2024-12-23
452.43,TPEx,2024-12-24
454.53,TPEx,2024-12-25
455.89,TPEx,2024-12-26
453.96,TPEx,2024-12-27
450.82,TPEx,2024-12-30
453.52,TPEx,2024-12-31
447.98,TPEx,2025-01-02
447.36,TPEx,2025-01-03
452.62,TPEx,2025-01-06
455.41,TPEx,2025-01-07
454.18,TPEx,2025-01-08
444.83,TPEx,2025-01-09
443.81,TPEx,2025-01-10
430.0,TPEx,2025-01-13
435.58,TPEx,2025-01-14
