date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2024-07-11,3037,175.5,172.49,3.0,息,189.5,155.5,172.5,172.49
2025-07-10,3037,122.5,120.99,1.5,息,133.0,109.0,121.0,120.99
