date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2024-06-27,6768,97.3,93.5,3.8,息,102.5,84.2,93.5,93.5
2025-06-23,6768,106.0,99.82,6.18,息,109.5,89.9,99.8,99.82
