date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2024-06-18,2832,28.45,27.15,1.3,息,29.85,24.45,27.15,27.15
2025-06-16,2832,33.85,31.85,2.0,息,35.0,28.7,31.85,31.85
