date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2024-07-11,2356,57.0,55.5,1.5,息,61.0,49.95,55.5,55.5
2025-07-10,2356,44.0,42.3,1.7,息,46.5,38.1,42.3,42.3
