date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2024-03-22,1313,13.5,13.3,0.2,息,14.6,12.0,13.3,13.3
2025-06-26,1313,7.78,7.63,0.15,息,8.39,6.87,7.63,7.63
