date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2024-06-18,1504,57.6,55.4,2.2,息,60.9,49.9,55.4,55.4
2025-06-19,1504,52.6,50.4,2.2,息,55.4,45.4,50.4,50.4
