date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2024-07-04,3006,103.0,102.4,0.6,息,112.5,92.2,102.5,102.4
2025-07-09,3006,50.3,49.3,1.0,息,54.2,44.4,49.3,49.3
