date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2024-07-29,2331,30.45,29.45,1.0,息,32.35,26.55,29.45,29.45
2025-08-05,2331,18.25,18.03,0.21,息,19.8,16.25,18.05,18.03
