date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2024-06-20,1605,36.85,35.75,1.1,息,39.3,32.2,35.75,35.75
2025-06-04,1605,20.9,20.36,0.54,權息,22.4,18.35,20.4,20.4
