date,stock_id,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
2024-05-28,3149,26.1,24.69,1.4,權,28.7,22.25,26.1,26.1
2025-03-20,3149,36.75,35.55,1.19,權,40.4,32.0,36.75,36.75
