date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2025-06-16,3686,達能,TW0003686002,75959259,535859,99.29,0.7,100.0,100.0,76495118,2025-05-20,
2025-06-17,3686,達能,TW0003686002,75951259,543859,99.28,0.71,100.0,100.0,76495118,2025-05-20,
2025-06-18,3686,達能,TW0003686002,75938259,556859,99.27,0.72,100.0,100.0,76495118,2025-05-20,
2025-06-19,3686,達能,TW0003686002,75984259,510859,99.33,0.66,100.0,100.0,76495118,2025-05-20,
2025-06-20,3686,達能,TW0003686002,75976259,518859,99.32,0.67,100.0,100.0,76495118,2025-05-20,
2025-06-23,3686,達能,TW0003686002,75967259,527859,99.3,0.69,100.0,100.0,76495118,2025-05-20,
2025-06-24,3686,達能,TW0003686002,75943259,551859,99.27,0.72,100.0,100.0,76495118,2025-05-20,
2025-06-25,3686,達能,TW0003686002,75944259,550859,99.27,0.72,100.0,100.0,76495118,2025-05-20,
2025-06-26,3686,達能,TW0003686002,75815259,679859,99.11,0.88,100.0,100.0,76495118,2025-05-20,
2025-06-27,3686,達能,TW0003686002,75876059,619059,99.19,0.8,100.0,100.0,76495118,2025-05-20,
2025-06-30,3686,達能,TW0003686002,75909059,586059,99.23,0.76,100.0,100.0,76495118,2025-05-20,
2025-07-01,3686,達能,TW0003686002,75873059,622059,99.18,0.81,100.0,100.0,76495118,2025-05-20,
2025-07-02,3686,達能,TW0003686002,75871059,624059,99.18,0.81,100.0,100.0,76495118,2025-05-20,
2025-07-03,3686,達能,TW0003686002,75823059,672059,99.12,0.87,100.0,100.0,76495118,2025-05-20,
2025-07-04,3686,達能,TW0003686002,75862059,633059,99.17,0.82,100.0,100.0,76495118,2025-05-20,
2025-07-07,3686,達能,TW0003686002,75874059,621059,99.18,0.81,100.0,100.0,76495118,2025-05-20,
2025-07-08,3686,達能,TW0003686002,75878059,617059,99.19,0.8,100.0,100.0,76495118,2025-05-20,
2025-07-09,3686,達能,TW0003686002,75888059,607059,99.2,0.79,100.0,100.0,76495118,2025-05-20,
2025-07-10,3686,達能,TW0003686002,75890059,605059,99.2,0.79,100.0,100.0,76495118,2025-05-20,
2025-07-11,3686,達能,TW0003686002,75866059,629059,99.17,0.82,100.0,100.0,76495118,2025-05-20,
2025-07-14,3686,達能,TW0003686002,75916059,579059,99.24,0.75,100.0,100.0,76495118,2025-05-20,
2025-07-15,3686,達能,TW0003686002,75921059,574059,99.24,0.75,100.0,100.0,76495118,2025-05-20,
2025-07-16,3686,達能,TW0003686002,75923059,572059,99.25,0.74,100.0,100.0,76495118,2025-05-20,
2025-07-17,3686,達能,TW0003686002,75911059,584059,99.23,0.76,100.0,100.0,76495118,2025-05-20,
2025-07-18,3686,達能,TW0003686002,75922059,573059,99.25,0.74,100.0,100.0,76495118,2025-05-20,
2025-07-21,3686,達能,TW0003686002,75894059,601059,99.21,0.78,100.0,100.0,76495118,2025-05-20,
2025-07-22,3686,達能,TW0003686002,75900059,595059,99.22,0.77,100.0,100.0,76495118,2025-05-20,
2025-07-23,3686,達能,TW0003686002,75836059,659059,99.13,0.86,100.0,100.0,76495118,2025-05-20,
2025-07-24,3686,達能,TW0003686002,75781059,714059,99.06,0.93,100.0,100.0,76495118,2025-05-20,
2025-07-25,3686,達能,TW0003686002,75766059,729059,99.04,0.95,100.0,100.0,76495118,2025-05-20,
2025-07-28,3686,達能,TW0003686002,75765059,730059,99.04,0.95,100.0,100.0,76495118,2025-05-20,
2025-07-29,3686,達能,TW0003686002,75775059,720059,99.05,0.94,100.0,100.0,76495118,2025-05-20,
2025-07-30,3686,達能,TW0003686002,75770059,725059,99.05,0.94,100.0,100.0,76495118,2025-05-20,
2025-07-31,3686,達能,TW0003686002,75771059,724059,99.05,0.94,100.0,100.0,76495118,2025-05-20,
2025-08-01,3686,達能,TW0003686002,75757059,738059,99.03,0.96,100.0,100.0,76495118,2025-05-20,
