date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2025-06-16,3450,聯鈞,TW0003450003,122992073,22689309,84.42,15.57,100.0,100.0,145681382,2025-05-19,
2025-06-17,3450,聯鈞,TW0003450003,124898819,20782563,85.73,14.26,100.0,100.0,145681382,2025-05-19,
2025-06-18,3450,聯鈞,TW0003450003,125800188,19881194,86.35,13.64,100.0,100.0,145681382,2025-05-19,
2025-06-19,3450,聯鈞,TW0003450003,127188634,18492748,87.3,12.69,100.0,100.0,145681382,2025-05-19,
2025-06-20,3450,聯鈞,TW0003450003,125764422,19916960,86.32,13.67,100.0,100.0,145681382,2025-05-19,
2025-06-23,3450,聯鈞,TW0003450003,125560207,20121175,86.18,13.81,100.0,100.0,145681382,2025-05-19,
2025-06-24,3450,聯鈞,TW0003450003,129152786,16528596,88.65,11.34,100.0,100.0,145681382,2025-05-19,
2025-06-25,3450,聯鈞,TW0003450003,129831886,15849496,89.12,10.87,100.0,100.0,145681382,2025-05-19,
2025-06-26,3450,聯鈞,TW0003450003,129957295,15724087,89.2,10.79,100.0,100.0,145681382,2025-05-19,
2025-06-27,3450,聯鈞,TW0003450003,130971318,14710064,89.9,10.09,100.0,100.0,145681382,2025-05-19,
2025-06-30,3450,聯鈞,TW0003450003,130416201,15265181,89.52,10.47,100.0,100.0,145681382,2025-05-19,
2025-07-01,3450,聯鈞,TW0003450003,131433350,14248032,90.21,9.78,100.0,100.0,145681382,2025-05-19,
2025-07-02,3450,聯鈞,TW0003450003,131041250,14640132,89.95,10.04,100.0,100.0,145681382,2025-05-19,
2025-07-03,3450,聯鈞,TW0003450003,131463138,14218244,90.24,9.75,100.0,100.0,145681382,2025-05-19,
2025-07-04,3450,聯鈞,TW0003450003,133604108,12077274,91.7,8.29,100.0,100.0,145681382,2025-05-19,
2025-07-07,3450,聯鈞,TW0003450003,134148718,11532664,92.08,7.91,100.0,100.0,145681382,2025-05-19,
2025-07-08,3450,聯鈞,TW0003450003,132841698,12839684,91.18,8.81,100.0,100.0,145681382,2025-05-19,
