stock_id,stock_name,industry_category,score_tech_ret_20d,score_tech_sma20_gap_pct,score_tech_sma60_gap_pct,score_tech_sma120_gap_pct,score_tech_rsi14,score_tech_vol_mult_20d,score_chip_chip_net5_sum,score_chip_chip_net20_sum,score_chip_foreign_ratio_5d_chg,score_chip_foreign_ratio_20d_chg,score_chip_margin_delta_5d_sum,score_chip_margin_delta_20d_sum,score_fund_revenue_yoy,score_fund_revenue_mom,score_fund_pe,score_fund_pb,score_risk_rolling_vol_20d_w,score_tech,score_chip,score_fund,score_risk,score_total
1313,聯成,塑膠工業,2.0,8.0,14.000000000000002,42.0,18.0,64.0,74.0,62.0,50.0,62.0,38.0,16.0,14.000000000000002,36.0,82.0,96.0,58.0,24.666666666666668,50.333333333333336,57.0,58.0,45.39999999999999
1316,上曜,建材營造,62.0,30.0,36.0,6.0,2.0,2.0,64.0,76.0,56.00000000000001,20.0,12.0,8.0,100.0,66.0,82.0,70.0,42.00000000000001,23.0,39.333333333333336,79.5,42.00000000000001,46.75
1414,東和,紡織纖維,50.0,42.0,32.0,14.000000000000002,90.0,56.00000000000001,36.0,48.0,63.0,46.0,34.0,22.0,12.0,30.0,2.0,65.0,88.0,47.333333333333336,41.5,27.25,88.0,43.625
1419,新紡,紡織纖維,22.0,26.0,6.0,8.0,12.0,30.0,22.0,46.0,66.0,60.0,52.0,54.0,40.0,100.0,48.0,77.0,70.0,17.333333333333332,50.0,66.25,70.0,47.075
1504,東元,電機機械,94.0,90.0,96.0,96.0,78.0,92.0,96.0,94.0,10.0,4.0,88.0,94.0,48.0,32.0,24.0,16.0,8.0,91.0,64.33333333333333,30.0,8.0,56.39999999999999
1560,中砂,電機機械,12.0,24.0,24.0,54.0,22.0,80.0,56.00000000000001,64.0,20.0,24.0,68.0,60.0,68.0,46.0,16.0,4.0,74.0,36.0,48.666666666666664,33.5,74.0,42.849999999999994
1603,華電,電器電纜,4.0,10.0,4.0,16.0,14.000000000000002,20.0,44.0,56.00000000000001,50.0,38.0,50.0,56.00000000000001,66.0,6.0,62.0,86.0,66.0,11.333333333333334,49.0,55.0,66.0,41.199999999999996
1605,華新,電器電纜,14.000000000000002,32.0,42.0,38.0,6.0,12.0,80.0,2.0,68.0,94.0,78.0,86.0,18.0,14.000000000000002,4.0,91.0,34.0,24.0,68.0,31.75,34.0,40.525
1721,三晃,化學工業,10.0,4.0,18.0,24.0,24.0,10.0,50.0,52.0,84.0,88.0,30.0,18.0,2.0,2.0,82.0,65.0,56.0,15.0,53.666666666666664,37.75,56.0,37.525
2023,燁輝,鋼鐵工業,20.0,18.0,12.0,4.0,80.0,66.0,70.0,70.0,79.0,68.0,26.0,20.0,56.00000000000001,80.0,82.0,88.0,98.0,33.333333333333336,55.5,76.5,98.0,59.39999999999999
