stock_id,date,stock_name,industry_category,close,ret_5d,ret_20d,excess_ret_20d,chip_net5_sum,chip_net20_sum,foreign_ratio_5d_chg,revenue_yoy,pe,pb,score_tech,score_chip,score_fund,score_risk,score_total
2344,2025-09-24,華邦電,半導體業,35.2,0.197278911564626,0.7777777777777779,0.7068344337006878,57964384.0,214288998.0,-1.980000000000004,0.0021411795136723,0.0,1.81,92.85714285714286,70.83333333333333,64.0625,50.0,73.32589285714286
6770,2025-09-24,力積電,半導體業,23.85,0.1691176470588236,0.5047318611987384,0.43378851712164823,54285976.0,118258246.0,-1.3400000000000034,0.007796990446812,0.0,1.18,80.35714285714286,75.0,70.3125,37.5,71.45089285714286
2375,2025-09-24,凱美,電子工業,80.3,0.2166666666666665,0.3361064891846921,0.26516314510760197,-2571334.0,-2585184.0,1.2000000000000028,0.04847760034775,23.28,0.97,92.06349206349206,68.51851851851852,50.0,22.222222222222214,65.39682539682539
2492,2025-09-24,華新科,電子零組件業,109.5,0.2943262411347518,0.3419117647058824,0.27096842062879234,-1300568.0,-1085429.0,0.3399999999999892,0.0203712263497766,30.59,1.21,88.28571428571429,64.66666666666667,49.0,16.0,62.18571428571429
2855,2025-09-24,統一證,金融保險,23.1,0.0358744394618835,0.1213592233009708,0.0504158792238807,2379732.0,9582871.0,-0.14000000000000057,0.9762191703417252,18.48,0.99,50.0,47.0,79.5,92.0,62.150000000000006
3380,2025-09-24,明泰,通信網路業,33.3,0.2065217391304346,0.1522491349480967,0.08130579087100659,-1326320.0,-5005593.0,0.19999999999998863,0.1870819171682054,0.0,2.08,75.71428571428571,56.0,62.5,30.0,61.26428571428571
2832,2025-09-24,台產,金融保險,36.75,0.0530085959885386,0.1019490254872563,0.0310056814101662,717000.0,1991997.0,-0.1700000000000017,0.146302214755956,12.89,1.1,53.142857142857146,51.0,61.0,94.0,58.94285714285714
2023,2025-09-24,燁輝,鋼鐵工業,15.65,0.0296052631578949,0.0364238410596027,-0.0345195030174874,1876086.0,4467805.0,0.09000000000000341,0.0747953340402969,0.0,0.86,31.428571428571427,55.5,76.5,98.0,58.82857142857142
5469,2025-09-24,瀚宇博,電子工業,102.0,0.2639405204460965,0.2303980699638117,0.1594547258867216,12650757.0,-1457952.0,-4.159999999999997,0.2917866248460177,17.23,1.75,73.01587301587301,59.25925925925926,58.33333333333333,11.111111111111114,58.2936507936508
3026,2025-09-24,禾伸堂,電子零組件業,97.3,0.0994350282485876,0.1514792899408283,0.08053594586373819,-1511012.0,-481090.0,0.23000000000000398,-0.014041963502937,15.59,1.71,68.57142857142857,56.5,46.5,62.0,57.67142857142858
2885,2025-09-24,元大金,金融保險,35.05,0.021865889212828,0.0834621329211744,0.012518788844084291,-4959408.0,38526118.0,0.06999999999999318,0.4091366257364792,13.18,1.47,42.857142857142854,42.0,73.0,96.0,56.957142857142856
1504,2025-09-24,東元,電機機械,101.5,0.1680092059838893,0.4397163120567375,0.3687729679796474,35962242.0,101279006.0,-1.5799999999999983,0.0392984669680271,38.45,3.1,91.42857142857143,64.33333333333333,30.0,8.0,56.528571428571425
3419,2025-09-24,譁裕,通信網路業,14.7,0.1439688715953306,0.1484374999999997,0.07749415592290959,-21000.0,29750.0,0.01999999999999602,0.5222683748879109,0.0,1.76,67.42857142857143,42.166666666666664,61.0,50.0,56.17857142857143
2239,2025-09-24,英利-KY,汽車工業,35.95,0.0893939393939395,0.2885304659498209,0.2175871218727308,-25000.0,42750.0,0.129999999999999,-0.0243197056213154,0.0,0.41,58.285714285714285,57.666666666666664,56.5,43.99999999999999,56.13571428571428
6116,2025-09-24,彩晶,光電業,8.14,0.0696452036793693,0.0824468085106384,0.0115034644335483,4581529.0,10213812.0,-0.09999999999999432,0.3837496920108412,0.0,0.74,48.0,46.5,74.5,52.0,55.9
2812,2025-09-24,台中銀,金融保險,23.15,0.0451467268623024,0.0792540792540792,0.00831073517698909,13420755.0,22045244.0,-0.21000000000000796,0.1652990293476759,15.54,1.51,39.42857142857143,53.333333333333336,63.5,90.0,55.87857142857143
2301,2025-09-24,光寶科,電子工業,175.0,0.0971786833855798,0.3358778625954197,0.2649345185183296,-4820500.0,-22658206.0,0.04000000000000625,0.2982458221663799,30.43,4.94,77.77777777777779,44.444444444444436,52.77777777777777,33.33333333333334,55.83333333333333
2331,2025-09-24,精英,電子工業,21.4,0.0699999999999998,0.0918367346938773,0.020893390616787202,1073710.0,-1087901.0,-0.20000000000000284,0.2295615750615047,33.44,1.11,47.61904761904761,61.11111111111111,58.333333333333336,55.55555555555556,55.67460317460317
