stock_id,stock_name,industry_category,score_tech_ret_20d,score_tech_excess_ret_20d,score_tech_sma20_gap_pct,score_tech_sma60_gap_pct,score_tech_sma120_gap_pct,score_tech_rsi14,score_tech_vol_mult_20d,score_chip_chip_net5_sum,score_chip_chip_net20_sum,score_chip_foreign_ratio_5d_chg,score_chip_foreign_ratio_20d_chg,score_chip_margin_delta_5d_sum,score_chip_margin_delta_20d_sum,score_fund_revenue_yoy,score_fund_revenue_mom,score_fund_pe,score_fund_pb,score_risk_rolling_vol_20d_w,score_tech,score_chip,score_fund,score_risk,score_total
2308,台達電,電子零組件業,91.66666666666666,91.66666666666666,91.66666666666666,83.33333333333334,91.66666666666666,91.66666666666666,50.0,16.666666666666664,16.666666666666664,58.333333333333336,75.0,66.66666666666666,75.0,,83.33333333333334,16.666666666666657,41.666666666666664,50.0,84.52380952380952,51.388888888888886,47.22222222222222,50.0,59.94047619047618
2344,華邦電,電子工業,100.0,100.0,100.0,100.0,83.33333333333334,100.0,66.66666666666666,100.0,100.0,8.333333333333332,8.333333333333332,100.0,100.0,,41.66666666666667,83.33333333333334,91.66666666666667,25.0,92.85714285714286,69.44444444444444,72.22222222222223,25.0,72.85714285714286
2379,瑞昱,半導體業,25.0,25.0,33.33333333333333,16.666666666666664,33.33333333333333,25.0,16.666666666666664,91.66666666666666,25.0,33.33333333333333,83.33333333333334,25.0,41.66666666666667,,25.0,66.66666666666667,66.66666666666667,75.0,24.999999999999996,50.00000000000001,52.77777777777778,75.0,45.83333333333333
2383,台光電,電子零組件業,50.0,50.0,50.0,50.0,58.333333333333336,54.166666666666664,8.333333333333332,66.66666666666666,33.33333333333333,50.0,41.66666666666667,8.333333333333332,8.333333333333332,,66.66666666666666,41.666666666666664,25.0,33.33333333333334,45.83333333333333,34.72222222222223,44.444444444444436,33.33333333333334,40.83333333333333
2454,聯發科,電子工業,41.66666666666667,41.66666666666667,25.0,41.66666666666667,41.66666666666667,41.66666666666667,75.0,25.0,91.66666666666666,41.66666666666667,33.33333333333333,50.0,16.666666666666664,,58.333333333333336,58.33333333333333,75.0,66.66666666666667,44.04761904761905,43.05555555555555,63.888888888888886,66.66666666666667,51.96428571428571
3035,智原,電子工業,58.333333333333336,58.333333333333336,66.66666666666666,33.33333333333333,16.666666666666664,66.66666666666666,100.0,41.66666666666667,66.66666666666666,75.0,66.66666666666666,75.0,66.66666666666666,,16.666666666666664,25.0,83.33333333333334,58.33333333333333,57.14285714285713,65.27777777777777,41.666666666666664,58.33333333333333,55.0595238095238
3293,鈊象,文化創意業,33.33333333333333,33.33333333333333,41.66666666666667,25.0,25.0,54.166666666666664,33.33333333333333,58.333333333333336,83.33333333333334,66.66666666666666,50.0,16.666666666666664,50.0,,50.0,50.0,8.333333333333343,91.66666666666667,35.11904761904761,54.16666666666668,36.111111111111114,91.66666666666667,46.78571428571429
3535,晶彩科,電子工業,66.66666666666666,66.66666666666666,83.33333333333334,75.0,75.0,83.33333333333334,58.333333333333336,33.33333333333333,50.0,100.0,58.333333333333336,83.33333333333334,91.66666666666666,,100.0,83.33333333333334,58.33333333333333,8.333333333333343,72.61904761904762,69.44444444444444,80.55555555555556,8.333333333333343,67.61904761904762
6231,系微,資訊服務業,83.33333333333334,83.33333333333334,75.0,58.333333333333336,50.0,75.0,91.66666666666666,50.0,41.66666666666667,91.66666666666666,91.66666666666666,58.333333333333336,58.333333333333336,,91.66666666666666,33.33333333333334,16.666666666666657,41.666666666666664,73.80952380952381,65.27777777777777,47.22222222222222,41.666666666666664,60.0595238095238
6643,M31,半導體業,16.666666666666664,16.666666666666664,16.666666666666664,8.333333333333332,8.333333333333332,8.333333333333332,83.33333333333334,75.0,75.0,83.33333333333334,16.666666666666664,41.66666666666667,33.33333333333333,,8.333333333333332,83.33333333333334,33.33333333333334,83.33333333333334,22.619047619047617,54.166666666666664,41.66666666666667,83.33333333333334,43.86904761904762
8358,金居,電子零組件業,75.0,75.0,58.333333333333336,91.66666666666666,100.0,33.33333333333333,25.0,8.333333333333332,8.333333333333332,16.666666666666664,100.0,91.66666666666666,83.33333333333334,,33.33333333333333,8.333333333333343,50.0,0.0,65.47619047619047,51.388888888888886,30.555555555555557,0.0,44.22619047619047
8932,智通*,其他,8.333333333333332,8.333333333333332,8.333333333333332,66.66666666666666,66.66666666666666,16.666666666666664,41.66666666666667,83.33333333333334,58.333333333333336,25.0,25.0,33.33333333333333,25.0,,75.0,0.0,0.0,16.666666666666657,30.952380952380945,41.666666666666664,25.0,16.666666666666657,30.952380952380945
