stock_id,open,high,low,close,volume,ret_5d,ret_20d,rsi_14,breakout_20d,volatility_20d,volume_ratio_20d,inst_net_buy_5d_ratio,inst_consistency_20d,stock_name,industry
0050,57.85,58.6,57.85,58.45,92241987,0.02995594713656402,0.1080568720379147,94.5205479452055,-0.0025597269624573205,0.008293131941763742,1.4960255225668473,-0.39334882303589047,0.45,元大台灣50,ETF
0051,87.35,87.35,86.3,86.75,155074,0.018790369935407947,0.04897218863361541,73.09941520467831,-0.006868918145392033,0.009572221789226992,1.2313010944616303,0.04433239743681613,0.7,元大中型100,ETF
0052,229.1,232.0,228.75,231.9,1543555,0.03411371237458205,0.11812921890067507,93.55828220858898,-0.0004310344827586077,0.010296590365322367,1.9604229663463824,-0.08464148667780089,0.6,富邦科技,ETF
0053,127.0,128.15,126.35,128.15,28001,0.03138832997987939,0.11337966985230241,89.97289972899725,0.0,0.010943290209598673,1.7456710462742164,-0.2897652758076172,0.35,元大電子,ETF
0055,30.74,30.76,30.63,30.74,172339,0.001629195177582199,0.02843760455001676,80.67226890756295,-0.008387096774193581,0.003993311240013047,1.4923186362099354,0.0019142052739891673,0.65,元大MSCI金融,ETF
0056,36.88,37.07,36.83,36.94,56878480,0.01735059212338186,0.058149527356058384,91.28787878787867,-0.00350687887779888,0.004771630411530457,1.50194698513582,0.4059263308414637,0.8,元大高股息,ETF
0057,170.55,172.2,170.15,171.45,192364,0.023582089552238727,0.09622762148337594,92.11822660098524,-0.004355400696864131,0.008497648750484652,3.8646554910879316,0.10379865402824301,0.45,富邦摩台,ETF
0061,21.35,21.59,21.21,21.27,857320,-0.00046992481203012026,0.005673758865248235,50.224215246636724,-0.02071823204419887,0.011430154293387921,1.4504561013789838,0.3255761428269325,0.9,元大寶滬深,ETF
1101,24.05,24.05,23.5,23.75,66096545,0.0674157303370786,0.02813852813852802,62.962962962962955,-0.038461538461538436,0.02196664849198948,1.5753978400309614,-0.04323216140415531,0.5,台泥,水泥工業
1102,37.2,37.25,36.65,36.85,5949084,0.016551724137931156,-0.01733333333333331,56.923076923077,-0.021248339973439445,0.008713762494665177,1.0002786835593624,-0.07433108364857927,0.15,亞泥,水泥工業
1103,13.6,13.6,13.45,13.5,317531,0.011235955056179803,0.00746268656716409,60.71428571428577,-0.014598540145985384,0.008055329987382832,0.6673666151075579,-0.05358445879947711,0.35,嘉泥,水泥工業
1104,29.75,29.95,29.7,29.8,886793,-0.0016750418760469454,-0.009966777408637939,51.93798449612403,-0.06874999999999998,0.02659902470279474,0.2559913172417503,0.09482938303954264,0.65,環泥,水泥工業
1108,15.15,15.15,15.0,15.05,70231,0.0,-0.019543973941367976,25.000000000000085,-0.025889967637540368,0.004773165998752761,0.33152835558517957,0.054885492455686316,0.55,幸福,水泥工業
1109,15.75,15.8,15.65,15.7,146558,-0.0031746031746032743,0.0031948881789136685,37.49999999999997,-0.02786377708978327,0.004757070197361903,1.6126709071012515,0.01908029516844812,0.3,信大,水泥工業
1110,17.05,17.15,16.85,16.95,131571,-0.0423728813559322,-0.028653295128939882,34.21052631578948,-0.055710306406685284,0.01060131644253388,1.0948169875495366,-0.13680181921844384,0.45,東泥,水泥工業
1201,15.5,15.5,15.4,15.45,202905,-0.006430868167202619,-0.012779552715655007,44.44444444444438,-0.01904761904761909,0.004726631458522445,0.9153824447146763,-0.219109268789169,0.55,味全,食品工業
1203,39.35,40.05,39.35,40.05,39088,0.011363636363636243,0.011363636363636243,43.283582089552205,-0.023170731707317094,0.007960697703049016,1.716395954912112,-0.3010977728636866,0.4,味王,食品工業
1210,52.6,52.6,51.8,52.0,2318487,-0.017013232514177634,-0.018867924528301883,33.33333333333327,-0.03525046382189234,0.006021464090252089,1.5820355900297423,-0.35835169346700524,0.1,大成,食品工業
1213,12.2,12.2,12.05,12.05,15041,-0.020325203252032464,-0.028225806451612878,36.36363636363634,-0.06225680933852129,0.016144496732576032,0.8503673467080137,,0.0,大飲,食品工業
1215,133.5,135.0,132.5,134.0,737415,0.015151515151515138,0.0037453183520599342,47.61904761904762,-0.02898550724637683,0.012174177488084777,1.1527727340871279,-0.0033089968964504788,0.5,卜蜂,食品工業
1216,78.2,78.5,78.2,78.4,8343420,-0.012594458438287104,0.02752293577981657,55.31914893617026,-0.018773466833541974,0.006012134446322297,1.1408436115871223,-0.06675423744231301,0.4,統一,食品工業
1217,10.7,10.7,10.6,10.6,547057,-0.009345794392523366,-0.02752293577981657,26.666666666666856,-0.05777777777777782,0.005959627021027577,0.8730573605150916,-0.2772507764659279,0.2,愛之味,食品工業
1218,19.05,19.05,18.9,19.0,405240,0.005291005291005346,0.02425876010781658,60.71428571428573,-0.03307888040712459,0.006308094302913821,0.6662707580728854,0.08343487715069346,0.5,泰山,食品工業
1219,13.4,13.4,13.3,13.35,215128,-0.003731343283582156,-0.02197802197802201,38.88888888888879,-0.03260869565217395,0.005623941007909845,1.1629244581293572,-0.12025337131875423,0.5,福壽,食品工業
1220,13.05,13.05,12.85,12.85,95920,-0.003875968992248069,-0.02281368821292784,45.00000000000003,-0.030188679245283012,0.006493083212855319,0.8294359843953275,-0.09443990273106054,0.3,台榮,食品工業
1225,32.0,32.6,31.5,31.65,1538100,-0.009389671361502372,0.0015822784810126667,66.66666666666664,-0.03211009174311941,0.013696441211228417,5.897220205062691,0.4147689032884131,0.6,福懋油,食品工業
1227,30.15,30.15,30.0,30.1,753892,-0.0066006600660065695,-0.0033112582781456013,48.387096774193644,-0.014729950900163602,0.003824802194141911,1.7883294313780305,-0.24181492041921596,0.25,佳格,食品工業
