stock_id,stock_name,industry_category,score_tech_ret_20d,score_tech_excess_ret_20d,score_tech_sma20_gap_pct,score_tech_sma60_gap_pct,score_tech_sma120_gap_pct,score_tech_rsi14,score_tech_vol_mult_20d,score_chip_chip_net5_sum,score_chip_chip_net20_sum,score_chip_foreign_ratio_5d_chg,score_chip_foreign_ratio_20d_chg,score_chip_margin_delta_5d_sum,score_chip_margin_delta_20d_sum,score_fund_revenue_yoy,score_fund_revenue_mom,score_fund_pe,score_fund_pb,score_risk_rolling_vol_20d_w,score_tech,score_chip,score_fund,score_risk,score_total
1313,聯成,塑膠工業,6.0,6.0,36.0,36.0,40.0,30.0,90.0,66.0,48.0,54.0,72.0,28.000000000000004,12.0,,,82.0,96.0,64.0,34.857142857142854,46.666666666666664,89.0,64.0,57.55714285714286
1316,上曜,建材營造,60.0,60.0,44.0,38.0,36.0,24.0,12.0,70.0,78.0,12.0,18.0,12.0,8.0,,,82.0,69.0,42.00000000000001,39.142857142857146,33.0,75.5,42.00000000000001,48.49285714285715
1414,東和,紡織纖維,46.0,46.0,40.0,28.000000000000004,26.0,88.0,18.0,22.0,36.0,78.0,54.0,50.0,20.0,,,2.0,66.0,88.0,41.714285714285715,43.333333333333336,34.0,88.0,44.514285714285705
1419,新紡,紡織纖維,20.0,20.0,18.0,4.0,4.0,16.0,14.000000000000002,24.0,34.0,66.0,62.0,72.0,54.0,,,47.0,76.0,72.0,13.714285714285714,52.0,61.5,72.0,45.364285714285714
1504,東元,電機機械,88.0,88.0,82.0,96.0,96.0,57.99999999999999,62.0,6.0,84.0,83.0,14.000000000000002,76.0,94.0,,,24.0,16.0,8.0,81.42857142857143,59.5,20.0,8.0,49.07857142857142
1560,中砂,電機機械,10.0,10.0,2.0,10.0,10.0,6.0,40.0,54.0,60.0,41.0,24.0,62.0,38.0,,,18.0,4.0,74.0,12.571428571428571,46.5,11.0,74.0,28.42142857142857
1603,華電,電器電纜,3.0,3.0,6.0,8.0,8.0,18.0,8.0,40.0,44.0,51.0,42.0,30.0,48.0,,,62.0,84.0,62.0,7.714285714285714,42.5,73.0,62.0,43.16428571428571
1605,華新,電器電纜,18.0,18.0,26.0,40.0,38.0,20.0,30.0,82.0,2.0,68.0,98.0,86.0,86.0,,,4.0,92.0,34.0,27.142857142857142,70.33333333333333,48.0,34.0,47.04285714285714
1721,三晃,化學生技醫療,3.0,3.0,4.0,18.0,18.0,12.0,4.0,44.0,42.0,92.0,96.0,32.0,14.000000000000002,,,82.0,64.0,56.0,8.857142857142858,53.333333333333336,73.0,56.0,46.15714285714286
2023,燁輝,鋼鐵工業,12.0,12.0,8.0,6.0,6.0,60.0,56.00000000000001,57.99999999999999,66.0,86.0,79.0,36.0,18.0,,,82.0,88.0,98.0,22.857142857142858,57.166666666666664,85.0,98.0,59.30714285714285
2033,佳大,鋼鐵工業,72.0,72.0,57.99999999999999,70.0,68.0,42.0,94.0,20.0,16.0,74.0,86.0,60.0,64.0,,,14.0,60.0,36.0,68.0,53.333333333333336,37.0,36.0,51.1
