date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2024-07-15,4755,112年第4季,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.5,2024-07-09,2024-07-29,0.0,0.0,0.0,0.0,0.0,100706000.0,2024-06-21,15:11:07
2025-07-05,4755,113年,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.5,2025-06-27,2025-07-18,0.0,0.0,0.0,0.0,0.0,100706000.0,2025-06-10,11:44:32
