date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2024-08-04,2331,112年,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2024-07-29,2024-08-23,0.0,0.0,0.0,0.0,0.0,557402968.0,2024-06-12,18:22:35
2025-08-11,2331,113年,0.0,0.0,,0.0,0.0,0.0,0.0,0.210466,0.0,2025-08-05,2025-08-29,0.0,0.0,0.0,0.0,0.0,557402968.0,2025-07-21,15:36:02
