date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2024-06-28,1605,112年,0.0,0.0,,0.0,0.0,0.0,0.0,1.1,0.0,2024-06-20,2024-07-18,0.0,0.0,0.0,0.0,0.0,4031332948.0,2024-06-04,17:22:33
2025-06-10,1605,113年,0.0,0.0,2025-06-04,0.0,0.0,0.0,0.0,0.5,0.0,2025-06-04,2025-07-08,0.0,400000000.0,7.94,20.0,0.0,4031332948.0,2025-05-27,17:41:59
